Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
371-U1510B-1H-1-A,0,5.0,0.0,0.05,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 8/2 (pale yellow),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,1,A,,,
371-U1510B-1H-1-A,5,64.0,0.05,0.64,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,1,A,,,
371-U1510B-1H-1-A,64,145.0,0.64,1.45,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 6/2 (light brownish gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,1,H,1,A,,,
371-U1510B-1H-2-A,0,16.0,1.5,1.66,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 6/2 (light brownish gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,1,H,2,A,,,
371-U1510B-1H-2-A,16,150.0,1.66,3.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,2,A,,,
371-U1510B-1H-3-A,0,73.0,3.0,3.73,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,3,A,,,
371-U1510B-1H-3-A,73,150.0,3.73,4.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 6/2 (light brownish gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,1,H,3,A,,,
371-U1510B-1H-4-A,0,103.0,4.5,5.53,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 6/2 (light brownish gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,1,H,4,A,,,
371-U1510B-1H-4-A,103,150.0,5.53,6.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,4,A,,,
371-U1510B-1H-5-A,0,150.0,6.0,7.5,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,5,A,,,
