Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
375-U1518C-1H-1-A,0,150,0.0,1.5,1,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,10GY 5/1 (greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1.0,,,,,,,,,"Base of sand layers (30, 43, 50, 61, 63, 68, 76, 86, 107, 126 cm). Base of sand is inclined in the 86, 107, and 126 cm layers",,,,375,U1518,C,1,H,1,A,,,
375-U1518C-1H-2-A,0,119,1.5,2.69,1,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,10GY 5/1 (greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed,unconsolidated,normal grading,poor,parallel bedding,slight,1.0,,,,,,,,,"Base of sand layers (3, 13, 40, 58, 66, 88, 102, 116 cm); additional disseminated sand layers in entire section",,,,375,U1518,C,1,H,2,A,,,
375-U1518C-1H-2-A,119,125,2.69,2.75,2,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5Y 7/1 (light gray),planar,sharp,planar sharp,inclined,,unconsolidated,normal grading,well,,,,,,,,,,,,Course grain size,,,,375,U1518,C,1,H,2,A,,,
375-U1518C-1H-2-A,125,151,2.75,3.01,1,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,10GY 5/1 (greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed,unconsolidated,normal grading,poor,parallel bedding,slight,1.0,,,,,,,,,Base of sand layers (145 cm),,,,375,U1518,C,1,H,2,A,,,
375-U1518C-1H-3-A,0,129,3.01,4.3,1,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,10GY 5/1 (greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,medium bed,unconsolidated,normal grading,poor,parallel bedding,slight,1.0,,,,,,,,,"Base of sand layers (8, 22, 29, 47, 59, 70, 98, 107, 113, 124 cm).",,,,375,U1518,C,1,H,3,A,,,
375-U1518C-1H-3-A,129,134,4.3,4.35,2,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,N 8 (white),planar,sharp,planar sharp,horizontal,thin bed,unconsolidated,normal grading,well,,,,,,,,,,,,Fine grain size,,,,375,U1518,C,1,H,3,A,,,
375-U1518C-1H-3-A,134,152,4.35,4.53,1,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,10GY 5/1 (greenish gray),planar,sharp,planar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1.0,,,,,,,,,"Base of sand layers (136, 144 147, 149 cm)",,,,375,U1518,C,1,H,3,A,,,
