Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1483B-1H-1-A,0,15,0,0.15,foraminiferal-bearing nannofossil-rich [X363],clay [Leg210],foraminiferal-bearing nannofossil-rich clay,,10YR 5/2 (grayish brown),moderate [DB86],,,,,,patches of darker brown (5Y 4/1); mudline,,,,,,,,,,,,
363-U1483B-1H-1-A,15,82,0.15,0.82,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,42-46 cm: large crack,,,,,,,,,,,,
363-U1483B-1H-2-A,0,38,0.87,1.25,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-1H-2-A,38,102,1.25,1.89,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-1H-CC-A,0,11,1.89,2,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-2H-1-A,0,147,2,3.47,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-2-A,0,147,3.47,4.94,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,pteropod,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-3-A,0,130,4.94,6.24,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-3-A,130,146,6.24,6.4,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-4-A,0,146,6.4,7.86,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-5-A,0,43,7.86,8.29,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-5-A,43,140,8.29,9.26,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-5-A,140,142,9.26,9.28,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5G 4/1 (dark greenish gray),heavy [DB86],,,,,,glauconite,,,,,,,,,,,,
363-U1483B-2H-5-A,142,147,9.28,9.33,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-6-A,0,146,9.33,10.79,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
