Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1432C-1H-1-A,0,13,0.0,0.13,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,2.5Y 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,1,A
349-U1432C-1H-1-A,13,66,0.13,0.66,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,1,A
349-U1432C-1H-1-A,66,82,0.66,0.82,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,sub-horizontal,medium bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,1,A
349-U1432C-1H-1-A,82,150,0.82,1.5,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,1,A
349-U1432C-1H-2-A,0,68,1.5,2.18,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,2,A
349-U1432C-1H-2-A,68,145,2.18,2.95,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],color banding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,2,A
349-U1432C-1H-3-A,0,45,3.0,3.45,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],,,,,,,,,,,,,,planar,inclined,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,3,A
349-U1432C-1H-3-A,45,47,3.45,3.47,,ash(tuff) [MMK88m],,ash(tuff) ,ash(tuff) ,,7.5YR 7/1 (light gray),very slightly consolidated [B84],silt [W22_1],2,silt [W22_1],2,very well [BP01],P [A92],1,,,,,,,,,,,,planar,inclined,thin bed [B01],,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,3,A
349-U1432C-1H-3-A,47,129,3.47,4.29,,clay [Leg339],,clay ,clay ,95,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],P [A92],1,,,ash(tuff) [MMK88m],,ash(tuff) ,ash(tuff) ,5,100,,rare,1 cm pod of ash at 87 cm,gradational,,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,3,A
349-U1432C-1H-4-A,0,25,4.34,4.59,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,,medium bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,4,A
