Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,File Data,Exp,Site,Hole,Core,Type,Section,A/W
368-U1501D-2R-1-A,0,150,433.5,435.0,,clayey silt [MMK88],with sand [2014],clayey silt,clayey silt with sand,,GLEY 1 4/5GY (dark greenish gray),well consolidated [B84],silt [W22_1],2,coarse sand [W22_2],6,moderate [2014],,,glauconite-rich sand with shell fragments (up to 1.5 cm),,,thick lamina [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,1,A
368-U1501D-2R-2-A,0,150,435.0,436.5,sand rich,silt [Leg339],with clay [2014],sand rich silt,sand rich silt with clay,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],fine sand [W22_2],4,very coarse sand [W22_2],7,moderate [2014],,,with abundant glauconite grains and shell fragments,,,,fining upward,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,2,A
368-U1501D-2R-3-A,0,22,436.5,436.72,sand rich,silt [Leg339],with clay [2014],sand rich silt,sand rich silt with clay,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],fine sand [W22_2],4,very coarse sand [W22_2],7,moderate [2014],,,with glauconite grains and abundant shell fragments,,,,massive [BJ84],slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,3,A
368-U1501D-2R-3-A,22,151,436.72,438.01,,clayey silt [MMK88],with sand [2014],clayey silt,clayey silt with sand,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],silt [W22_1],2,coarse sand [W22_2],6,moderately well [BP01],,,with sand-sized glauconite and shell fragments,,,thick lamina [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,3,A
368-U1501D-2R-4-A,0,119,438.01,439.2,,clayey silt [MMK88],with sand [2014],clayey silt,clayey silt with sand,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],silt [W22_1],2,coarse sand [W22_2],6,moderately well [BP01],,,with sand-sized glauconite and shell fragments,,,thick lamina [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,4,A
368-U1501D-2R-4-A,119,136,439.2,439.37,sand rich,silt [Leg339],with clay [2014],sand rich silt,sand rich silt with clay,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],fine sand [W22_2],4,very coarse sand [W22_2],7,moderate [2014],,,with abundant glauconite grains and shell fragments,,,thick lamina [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,4,A
368-U1501D-2R-5-A,0,148,439.52,441.0,sand rich,silt [Leg339],with clay [2014],sand rich silt,sand rich silt with clay,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],fine sand [W22_2],4,very coarse sand [W22_2],7,moderate [2014],,,with abundant sand-sized glauconite grains and shell fragments; glauconite may be enriched in thin flaser beds together with quartz and feldspar ; cm-thick pyrite burrows,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,5,A
368-U1501D-2R-CC-A,0,6,441.0,441.06,sand rich,silt [Leg339],with clay [2014],sand rich silt,sand rich silt with clay,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],fine sand [W22_2],4,very coarse sand [W22_2],7,moderate [2014],,,with abundant sand-sized glauconite grains and shell fragments,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,2,R,CC,A
368-U1501D-3R-1-A,0,150,443.1,444.6,,silty sand [Leg339],with clay [2014],silty sand,silty sand with clay,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],fine sand [W22_2],4,very coarse sand [W22_2],7,moderate [2014],,,with abundant sand-sized quartz and glauconite grains and fewer shell fragments ; glauconite may be enriched in thin flaser beds together with quartz and feldspar; pyrite burrow at 18-19 cm,,,,lens or pod [BJ84],none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,3,R,1,A
368-U1501D-3R-2-A,0,149,444.6,446.09,,silty sand [Leg339],with clay [2014],silty sand,silty sand with clay,,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],medium sand [W22_2],5,very coarse sand [W22_2],7,moderate [BP01],,,with abundant sand-sized quartz and glauconite grains and fewer shell fragments ; cm-thick pyrite burrow at 124-125 cm,,,,lens or pod [BJ84],slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,D,3,R,2,A
