Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1483C-1H-1-A,0,16,0,0.16,,nannofossil clay [X363],nannofossil clay,,10YR 6/3 (pale brown),moderate [DB86],,,,,,brownish color in the topmost part of Hole C,,,,,,,,,,,,,363,U1483,C,1,H,1,A,
363-U1483C-1H-1-A,16,150,0.16,1.5,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,1,H,1,A,
363-U1483C-1H-2-A,0,150,1.5,3,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 5/1 (gray),heavy [DB86],,,,,,"gradual color change above 5Y 6/1 sediment, hollow burrow",,,,,,,,,,,,,363,U1483,C,1,H,2,A,
363-U1483C-1H-3-A,0,150,3,4.5,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,"gradual color change above 5Y 5/1 sediment, hollow burrow",,,,,,,,,,,,,363,U1483,C,1,H,3,A,
363-U1483C-1H-4-A,0,80,4.5,5.3,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,hollow burrow,,,,,,,,,,,,,363,U1483,C,1,H,4,A,
363-U1483C-1H-5-A,0,87,5.3,6.17,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,hollow burrow,,,,,,,,,,,,,363,U1483,C,1,H,5,A,
363-U1483C-1H-CC-A,0,16,6.17,6.33,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropods fragments,,,,,,,,,,,,,363,U1483,C,1,H,CC,A,
363-U1483C-2H-1-A,0,150,6.3,7.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,2,H,1,A,
363-U1483C-2H-2-A,0,150,7.8,9.3,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,2,H,2,A,
363-U1483C-2H-3-A,0,150,9.3,10.8,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,hollow burrow; also 6% diatoms but not an option,,,,,,,,,,,,,363,U1483,C,2,H,3,A,
