Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
353-U1448B-1H-1-A,0,5,0,0.05,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,5Y 6/3 (pale olive),gradational,,,,,,,,,,,,Oxidized sediments.,,,,353,U1448,B,1,H,1,A,,,,
353-U1448B-1H-1-A,5,150,0.05,1.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,353,U1448,B,1,H,1,A,,,,
353-U1448B-1H-2-A,0,36,1.5,1.86,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,,,,,,,,,353,U1448,B,1,H,2,A,,,,
353-U1448B-1H-2-A,36,40,1.86,1.9,,bioclastic,sand,,bioclastic sand,bioclastic sand,sand,,light gray,5Y 6/3 (pale olive),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1448,B,1,H,2,A,,,,
353-U1448B-1H-2-A,40,150,1.9,3,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Some shell fragments along the interval.,,,,353,U1448,B,1,H,2,A,,,,
353-U1448B-1H-3-A,0,150,3,4.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,Light gray bioclastic sandy blebs along the core.,,,,353,U1448,B,1,H,3,A,,,,
353-U1448B-1H-4-A,0,135,4.5,5.85,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),gradational,,,,,,,,mottling,,,,,,,,353,U1448,B,1,H,4,A,,,,
353-U1448B-1H-4-A,135,150,5.85,6,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/1 (light gray),,,,,,vitric,abundant,5,,,,,,,,,353,U1448,B,1,H,4,A,,,,
353-U1448B-1H-5-A,0,8.5,6,6.085,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/1 (light gray),erosive,sharp,horizontal,,,vitric,abundant,5,,,,,,,,,353,U1448,B,1,H,5,A,,,,
353-U1448B-1H-5-A,8.5,150,6.085,7.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Volcanic ash patch (flow-in from upper ash layer) between 93 and 98 cm.,,,,353,U1448,B,1,H,5,A,,,,
353-U1448B-1H-6-A,0,96,7.5,8.46,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,1,H,6,A,,,,
353-U1448B-1H-CC-A,0,14,8.46,8.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,1,H,CC,A,,,,
353-U1448B-2H-1-A,0,140,8.6,10,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,2,H,1,A,,,,
353-U1448B-2H-2-A,0,150,10,11.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,2,H,2,A,,,,
353-U1448B-2H-3-A,0,150,11.5,13,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,2,H,3,A,,,,
