Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],LITHOLOGY,REFERENCE,PREFIX,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE
323-U1342A-1H-1-A,323,U1342,A,1,1-1,H,1,A,0,9,0.0,0.09,foraminifer ooze,,diatom-bearing,diatom-bearing foraminifer ooze,100.0,soupy,5Y 4/4,,,,,,,,,,,,
323-U1342A-1H-1-A,323,U1342,A,1,1-1,H,1,A,9,23,0.09,0.23,nannofossil diatom ooze,Leg 323,foraminifer-rich,foraminifer-rich nannofossil diatom ooze,100.0,soft,2.5Y 3/2,,,,,bioturbated laminae?,,,,,,,
323-U1342A-1H-1-A,323,U1342,A,1,1-1,H,1,A,23,68,0.23,0.68,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,
323-U1342A-1H-1-A,323,U1342,A,1,1-1,H,1,A,68,155,0.68,1.55,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1342A-1H-CC-A,323,U1342,A,1,1-CC,H,CC,A,0,12,1.55,1.67,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,10Y 4/1,,,,,,,,,,,,
323-U1342A-2H-1-A,323,U1342,A,2,2-1,H,1,A,0,78,1.8,2.58,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5Y 3/2,,,,,,,,,,,,
323-U1342A-2H-1-A,323,U1342,A,2,2-1,H,1,A,78,90,2.58,2.7,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,
323-U1342A-2H-1-A,323,U1342,A,2,2-1,H,1,A,90,114,2.7,2.94,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5Y 3/2,,,,,,,,,,,,
323-U1342A-2H-1-A,323,U1342,A,2,2-1,H,1,A,114,136,2.94,3.16,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,
323-U1342A-2H-1-A,323,U1342,A,2,2-1,H,1,A,136,150,3.16,3.3,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5Y 3/2,,,,,,,,,,,,
323-U1342A-2H-1-A,323,U1342,A,2,2-1,H,1,A,150,150,3.3,3.3,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,
323-U1342A-2H-2-A,323,U1342,A,2,2-2,H,2,A,0,30,3.3,3.6,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,
323-U1342A-2H-2-A,323,U1342,A,2,2-2,H,2,A,30,60,3.6,3.9,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5Y 3/2,,,,,,,,,,,,
323-U1342A-2H-2-A,323,U1342,A,2,2-2,H,2,A,60,70,3.9,4.0,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,
323-U1342A-2H-2-A,323,U1342,A,2,2-2,H,2,A,70,83,4.0,4.13,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100.0,soft,5Y 3/2,,,,,,,,,,,,
323-U1342A-2H-2-A,323,U1342,A,2,2-2,H,2,A,83,93,4.13,4.23,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,
