Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
351-U1438B-7H-7-A,351,U1438,B,7,7-7,H,7,A,,0,96,62.9,63.86,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-7H-CC-A,351,U1438,B,7,7-CC,H,CC,A,,0,23,63.86,64.09,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-1-A,351,U1438,B,8,8-1,H,1,A,,0,15,64.2,64.35,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-1-A,351,U1438,B,8,8-1,H,1,A,,15,21,64.35,64.41,,,,,,ash [2014],with mud [2014],ash,ash with mud,ash with mud,,,5YR 5/2 (reddish gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-1-A,351,U1438,B,8,8-1,H,1,A,,21,34,64.41,64.54,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-1-A,351,U1438,B,8,8-1,H,1,A,,34,58,64.54,64.78,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-1-A,351,U1438,B,8,8-1,H,1,A,,58,147,64.78,65.67,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,0,21,65.67,65.88,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,21,25,65.88,65.92,,,,,mafic,ash [2014],with mud [2014],ash,ash with mud,ash with mud,,,10YR 2/2 (very dark brown),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,25,55,65.92,66.22,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,55,61,66.22,66.28,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,irregular,sharp,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,61,64,66.28,66.31,,,,,,ash [2014],with mud [2014],ash,ash with mud,ash with mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,irregular,sharp,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,64,66,66.31,66.33,,,,,,ash [2014],,ash,ash,ash,,,5Y 5/2 (olive gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,66,71,66.33,66.38,,,,,,ash [2014],,ash,ash,ash,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,71,74,66.38,66.41,,,,,,ash [2014],with mud [2014],ash,ash with mud,ash with mud,,,5Y 5/2 (olive gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,74,75,66.41,66.42,,,,,,ash [2014],,ash,ash,ash,,,5YR 6/1 (gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,75,87,66.42,66.54,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-2-A,351,U1438,B,8,8-2,H,2,A,,87,140,66.54,67.07,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5Y 5/2 (olive gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,0,7,67.17,67.24,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,7,20,67.24,67.37,,,,,,ash [2014],,ash,ash,ash,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,20,23,67.37,67.4,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5Y 3/2 (dark olive gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,sharp,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,23,28,67.4,67.45,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,sharp,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,28,30,67.45,67.47,,,,,,ash [2014],,ash,ash,ash,,,10Y 4/2 (grayish green),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,30,71,67.47,67.88,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,71,75,67.88,67.92,,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-A,351,U1438,B,8,8-3,H,3,A,,75,141,67.92,68.58,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-1-A,351,U1438,B,9,9-1,H,1,A,,0,150,73.7,75.2,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-2-A,351,U1438,B,9,9-2,H,2,A,,0,36,75.2,75.56,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-2-A,351,U1438,B,9,9-2,H,2,A,,36,60,75.56,75.8,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-2-A,351,U1438,B,9,9-2,H,2,A,,60,147,75.8,76.67,,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-2-A,351,U1438,B,9,9-2,H,2,A,,147,150,76.67,76.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-3-A,351,U1438,B,9,9-3,H,3,A,,0,101,76.7,77.71,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,sharp,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-3-A,351,U1438,B,9,9-3,H,3,A,,101,150,77.71,78.2,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-4-A,351,U1438,B,9,9-4,H,4,A,,0,140,78.2,79.6,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-5-A,351,U1438,B,9,9-5,H,5,A,,0,36,79.7,80.06,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-5-A,351,U1438,B,9,9-5,H,5,A,,36,115,80.06,80.85,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-5-A,351,U1438,B,9,9-5,H,5,A,,115,150,80.85,81.2,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-6-A,351,U1438,B,9,9-6,H,6,A,,0,20,81.2,81.4,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-6-A,351,U1438,B,9,9-6,H,6,A,,20,150,81.4,82.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-7-A,351,U1438,B,9,9-7,H,7,A,,0,59,82.7,83.29,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-CC-A,351,U1438,B,9,9-CC,H,CC,A,,0,30,83.29,83.59,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-10H-1-A,351,U1438,B,10,10-1,H,1,A,,0,95,83.2,84.15,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-1-A,351,U1438,B,10,10-1,H,1,A,,95,98,84.15,84.18,,,,,,mud [2014],with crystals [2014],mud,mud with crystals,mud with crystals,,,5YR 5/2 (reddish gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-1-A,351,U1438,B,10,10-1,H,1,A,,98,150,84.18,84.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-2-A,351,U1438,B,10,10-2,H,2,A,,0,150,84.7,86.2,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-3-A,351,U1438,B,10,10-3,H,3,A,,0,94,86.2,87.14,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-3-A,351,U1438,B,10,10-3,H,3,A,,94,108,87.14,87.28,,,,,,mud [2014],with crystals [2014],mud,mud with crystals,mud with crystals,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,wavy,horizontal,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-10H-3-A,351,U1438,B,10,10-3,H,3,A,,108,150,87.28,87.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-4-A,351,U1438,B,10,10-4,H,4,A,,0,140,87.7,89.1,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-5-A,351,U1438,B,10,10-5,H,5,A,,0,110,89.2,90.3,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-6-A,351,U1438,B,10,10-6,H,6,A,,0,72,90.3,91.02,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-10H-CC-A,351,U1438,B,10,10-CC,H,CC,A,,0,10,91.02,91.12,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,,
351-U1438B-11H-1-A,351,U1438,B,11,11-1,H,1,A,,0,150,92.7,94.2,,,,,,mud [2014],,mud,mud,mud,,,5YR 6/4 (light reddish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-2-A,351,U1438,B,11,11-2,H,2,A,,0,150,94.2,95.7,,,,,,mud [2014],,mud,mud,mud,,,5YR 6/4 (light reddish brown),,silt [W22_1],2.0,silt [W22_1],2.0,slight change in color to more dark stuff,,,,,poor [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-3-A,351,U1438,B,11,11-3,H,3,A,,0,150,95.7,97.2,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-4-A,351,U1438,B,11,11-4,H,4,A,,0,43,97.2,97.63,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-4-A,351,U1438,B,11,11-4,H,4,A,,44,135,97.64,98.55,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-5-A,351,U1438,B,11,11-5,H,5,A,,0,126,98.7,99.96,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-5-A,351,U1438,B,11,11-5,H,5,A,,126,142,99.96,100.12,,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,5YR 5/2 (reddish gray),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-5-A,351,U1438,B,11,11-5,H,5,A,,142,150,100.12,100.2,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-6-A,351,U1438,B,11,11-6,H,6,A,,0,121,100.2,101.41,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-11H-7-A,351,U1438,B,11,11-7,H,7,A,,0,76,101.41,102.17,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,poor [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-1-A,351,U1438,B,12,12-1,H,1,A,,0,109,102.2,103.29,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-1-A,351,U1438,B,12,12-1,H,1,A,,109,116,103.29,103.36,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-1-A,351,U1438,B,12,12-1,H,1,A,,116,150,103.36,103.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-2-A,351,U1438,B,12,12-2,H,2,A,,0,150,103.7,105.2,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-3-A,351,U1438,B,12,12-3,H,3,A,,0,38,105.2,105.58,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-3-A,351,U1438,B,12,12-3,H,3,A,,38,47,105.58,105.67,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-3-A,351,U1438,B,12,12-3,H,3,A,,47,150,105.67,106.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-4-A,351,U1438,B,12,12-4,H,4,A,,0,135,106.7,108.05,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-5-A,351,U1438,B,12,12-5,H,5,A,,0,90,108.2,109.1,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],non-graded,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-12H-5-A,351,U1438,B,12,12-5,H,5,A,,90,98,109.1,109.18,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,bioturbated,,,moderate [2014],non-graded,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
