Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
351-U1438B-1H-5-A,351,U1438,B,1,1-5,H,5,A,,0,12,3.0,3.12,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-5-A,351,U1438,B,1,1-5,H,5,A,,12,20,3.12,3.2,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-5-A,351,U1438,B,1,1-5,H,5,A,,20,93,3.2,3.93,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-5-A,351,U1438,B,1,1-5,H,5,A,,93,107,3.93,4.07,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-5-A,351,U1438,B,1,1-5,H,5,A,,107,120,4.07,4.2,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-5-A,351,U1438,B,1,1-5,H,5,A,,120,150,4.2,4.5,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-6-A,351,U1438,B,1,1-6,H,6,A,,0,10,4.5,4.6,,,,,radiolarian [2014b],mud [2014],with ash [2014],radiolarian mud,radiolarian mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-6-A,351,U1438,B,1,1-6,H,6,A,,10,70,4.6,5.2,,,,,radiolarian [2014b],mud [2014],with ash [2014],radiolarian mud,radiolarian mud with ash,mud with ash,,,5YR 5/2 (reddish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-6-A,351,U1438,B,1,1-6,H,6,A,,70,90,5.2,5.4,,,,,radiolarian [2014b],mud [2014],with ash [2014],radiolarian mud,radiolarian mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-6-A,351,U1438,B,1,1-6,H,6,A,,90,134,5.4,5.84,,,,,radiolarian [2014b],mud [2014],with ash [2014],radiolarian mud,radiolarian mud with ash,mud with ash,,,5YR 5/2 (reddish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-6-A,351,U1438,B,1,1-6,H,6,A,,134,138,5.84,5.88,,,,,,ash [2014],,ash,ash,ash,,,N 3 (very dark gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,
351-U1438B-1H-6-A,351,U1438,B,1,1-6,H,6,A,,138,143,5.88,5.93,,,,,,ash [2014],,ash,ash,ash,,,N 2.5 (black),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,,
351-U1438B-1H-6-A,351,U1438,B,1,1-6,H,6,A,,143,150,5.93,6.0,,,,,tuffaceous,mud [2014],with ash [2014],tuffaceous mud,tuffaceous mud with ash,mud with ash,,,5YR 4/1 (dark gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-7-A,351,U1438,B,1,1-7,H,7,A,,0,80,6.0,6.8,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5YR 4/1 (dark gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-7-A,351,U1438,B,1,1-7,H,7,A,,80,107,6.8,7.07,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5YR 5/2 (reddish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-1H-CC-A,351,U1438,B,1,1-CC,H,CC,A,,0,12,7.07,7.19,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,5YR 5/2 (reddish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-2H-1-A,351,U1438,B,2,2-1,H,1,A,,0,67,7.2,7.87,,,,,foraminifer [2014b],mud [2014],with nannofossils [2014],foraminifer mud,foraminifer mud with nannofossils,mud with nannofossils,,,5Y 4/1 (dark gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],carbonate matrix [2014],vitric matrix [2014],poor [2014],,,,,,,
351-U1438B-2H-1-A,351,U1438,B,2,2-1,H,1,A,,67,72,7.87,7.92,,,,,nannofossil [2014b],mud [2014],with foraminifers [2014],nannofossil mud,nannofossil mud with foraminifers,mud with foraminifers,,,10YR 6/2 (light brownish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],carbonate matrix [2014],vitric matrix [2014],poor [2014],,,,,,,
351-U1438B-2H-1-A,351,U1438,B,2,2-1,H,1,A,,72,83,7.92,8.03,,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,sharp,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],carbonate matrix [2014],vitric matrix [2014],poor [2014],,,,,,,
351-U1438B-2H-1-A,351,U1438,B,2,2-1,H,1,A,,83,150,8.03,8.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],carbonate matrix [2014],vitric matrix [2014],poor [2014],,,,,,,
351-U1438B-2H-2-A,351,U1438,B,2,2-2,H,2,A,,0,41,8.7,9.11,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-2-A,351,U1438,B,2,2-2,H,2,A,,41,95,9.11,9.65,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-2-A,351,U1438,B,2,2-2,H,2,A,,95,102,9.65,9.72,,,,,,nannofossil ooze [2014],with ash [2014],nannofossil ooze,nannofossil ooze with ash,nannofossil ooze with ash,,,10YR 6/2 (light brownish gray),,clay [W22_1],1.0,clay [W22_1],1.0,,planar,sharp,,,well [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-2-A,351,U1438,B,2,2-2,H,2,A,,102,150,9.72,10.2,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-3-A,351,U1438,B,2,2-3,H,3,A,,0,32,10.2,10.52,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-3-A,351,U1438,B,2,2-3,H,3,A,,32,45,10.52,10.65,,,,,tuffaceous,mud [2014],with nannofossils [2014],tuffaceous mud,tuffaceous mud with nannofossils,mud with nannofossils,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-3-A,351,U1438,B,2,2-3,H,3,A,,45,48,10.65,10.68,,,,,,ash [2014],with crystals [2014],ash,ash with crystals,ash with crystals,,,10YR 5/4 (yellowish brown),,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,,sharp,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-3-A,351,U1438,B,2,2-3,H,3,A,,48,69,10.68,10.89,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-3-A,351,U1438,B,2,2-3,H,3,A,,69,73,10.89,10.93,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-3-A,351,U1438,B,2,2-3,H,3,A,,73,150,10.93,11.7,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-4-A,351,U1438,B,2,2-4,H,4,A,,0,15,11.7,11.85,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,,,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-4-A,351,U1438,B,2,2-4,H,4,A,,15,44,11.85,12.14,,,,,,foraminiferal ooze [2014],with nannofossils [2014],foraminiferal ooze,foraminiferal ooze with nannofossils,foraminiferal ooze with nannofossils,,,10YR 6/2 (light brownish gray),,silt [W22_1],2.0,silt [W22_1],2.0,,,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,,,,
351-U1438B-2H-4-A,351,U1438,B,2,2-4,H,4,A,,44,100,12.14,12.7,,,,,tuffaceous,mud [2014],with fine sand [2014],tuffaceous mud,tuffaceous mud with fine sand,mud with fine sand,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
