Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],LITHOLOGY,REFERENCE,PREFIX,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data
323-U1343C-1H-1-A,323,U1343,C,1,1-1,H,1,A,0,25,0,0.25,diatom ooze,Leg 323,,diatom ooze,,soupy,5Y 4/3,,,,,,,,,,,,,
323-U1343C-1H-1-A,323,U1343,C,1,1-1,H,1,A,25,105,0.25,1.05,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1343C-1H-1-A,323,U1343,C,1,1-1,H,1,A,105,140,1.05,1.4,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,
323-U1343C-1H-1-A,323,U1343,C,1,1-1,H,1,A,140,150,1.4,1.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,5Y 4/1 ,,,,,mottled by bioturbation,,,,,,,,
323-U1343C-1H-1-A,323,U1343,C,1,1-1,H,1,A,140,150,1.4,1.5,diatom ooze,Leg 323,,diatom ooze,50,soft,5Y 4/2,,,,,mottled by bioturbation,,,,,,,,
323-U1343C-1H-2-A,323,U1343,C,1,1-2,H,2,A,0,20,1.5,1.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,5Y 4/1 ,,,,,mottled by bioturbation,,,,,,,,
323-U1343C-1H-2-A,323,U1343,C,1,1-2,H,2,A,0,20,1.5,1.7,diatom ooze,Leg 323,,diatom ooze,50,soft,5Y 4/2,,,,,mottled by bioturbation,,,,,,,,
323-U1343C-1H-2-A,323,U1343,C,1,1-2,H,2,A,20,60,1.7,2.1,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5Y 4/3,,,,,,,,,,,,,
323-U1343C-1H-2-A,323,U1343,C,1,1-2,H,2,A,60,125,2.1,2.75,diatom ooze,Leg 323,foraminifer-bearing,foraminifer-bearing diatom ooze,,soft,5Y 4/2,,,,,undulated to parallel lamination,,,,,,,,
323-U1343C-1H-2-A,323,U1343,C,1,1-2,H,2,A,125,150,2.75,3,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,
