Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
339-U1390B-1H-6-A,339.0,U1390,B,1.0,1-6,H,6,A,70.0,122.0,8.2,8.72,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,medium sand ,5.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,rare ,,Shell fragments forams and pyrite burrows present. ,100.0,100.0,,,,,,,,
339-U1390B-1H-CC-A,339.0,U1390,B,1.0,1-CC,H,CC,A,0.0,40.0,8.72,9.12,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,medium sand ,5.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,rare ,,Shell fragments forams and pyrite burrows present. ,100.0,100.0,,,,,,,,
339-U1390B-2H-1-A,339.0,U1390,B,2.0,2-1,H,1,A,0.0,129.0,9.1,10.39,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,sparse_339 ,2.0,rare ,,Forams present. Scaphopod at 115 cm.,100.0,100.0,,,,,,,,
339-U1390B-2H-1-A,339.0,U1390,B,2.0,2-1,H,1,A,129.0,132.0,10.39,10.42,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,normal grading,,,,,sparse_339 ,2.0,,,,100.0,100.0,,,,,,,,
339-U1390B-2H-1-A,339.0,U1390,B,2.0,2-1,H,1,A,132.0,138.0,10.42,10.48,,sandy mud ,with biogenic carbonate ,sandy mud ,sandy mud  with biogenic carbonate ,sandy mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,bioturbated boundary or contact,,,,,,sparse_339 ,2.0,rare ,,Shell fragments present.,100.0,100.0,,,,,,,,
339-U1390B-2H-1-A,339.0,U1390,B,2.0,2-1,H,1,A,138.0,150.0,10.48,10.6,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,,,Forams present. ,100.0,100.0,,,,,,,,
339-U1390B-2H-2-A,339.0,U1390,B,2.0,2-2,H,2,A,0.0,150.0,10.6,12.1,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,parallel lamination,,,,,slight_339 ,3.0,,,Forams present. Faint thin laminations between 75 and 95 cm. ,100.0,100.0,,,,,,,,
339-U1390B-2H-3-A,339.0,U1390,B,2.0,2-3,H,3,A,0.0,150.0,12.1,13.6,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,parallel lamination,,,,,slight_339 ,3.0,,,Forams and pyrite burrows present. Faint thin laminations between 76 and 83 cm. ,100.0,100.0,,,,,,,,
339-U1390B-2H-4-A,339.0,U1390,B,2.0,2-4,H,4,A,0.0,150.0,13.6,15.1,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,parallel lamination,,,,,slight_339 ,3.0,,,Forams and silt burrows present. Faint thin laminations between 8 and 24 cm. ,100.0,100.0,,,,,,,,
339-U1390B-2H-5-A,339.0,U1390,B,2.0,2-5,H,5,A,0.0,150.0,15.1,16.6,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,parallel lamination,,,,,slight_339 ,3.0,,,Forams and silt burrows present. Faint thin laminations between 15 and 70 cm. ,100.0,100.0,,,,,,,,
339-U1390B-2H-6-A,339.0,U1390,B,2.0,2-6,H,6,A,0.0,126.0,16.6,17.86,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,parallel lamination,,,,,slight_339 ,3.0,,,Forams and silt burrows present. Faint thin laminations between 15 and 70 cm. ,100.0,100.0,,,,,,,,
339-U1390B-2H-6-A,339.0,U1390,B,2.0,2-6,H,6,A,126.0,150.0,17.86,18.1,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,sparse_339 ,2.0,,,Forams present. ,100.0,100.0,,,,,,,,
339-U1390B-2H-7-A,339.0,U1390,B,2.0,2-7,H,7,A,0.0,10.0,18.1,18.2,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,sparse_339 ,2.0,,,Forams present. ,100.0,100.0,,,,,,,,
339-U1390B-2H-7-A,339.0,U1390,B,2.0,2-7,H,7,A,10.0,56.0,18.2,18.66,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,,,Forams present. ,100.0,100.0,,,,,,,,
339-U1390B-2H-CC-A,339.0,U1390,B,2.0,2-CC,H,CC,A,0.0,46.0,18.66,19.12,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,,,Forams present. ,100.0,100.0,,,,,,,,
339-U1390B-3H-1-A,339.0,U1390,B,3.0,3-1,H,1,A,0.0,35.0,18.6,18.95,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,,,Forams and pyrite filled burrows present.,100.0,100.0,,,,,,,,
339-U1390B-3H-1-A,339.0,U1390,B,3.0,3-1,H,1,A,35.0,114.0,18.95,19.74,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,inverse grading,,,,,slight_339 ,3.0,rare ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-1-A,339.0,U1390,B,3.0,3-1,H,1,A,114.0,150.0,19.74,20.1,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,normal grading,,,,,slight_339 ,3.0,rare ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-2-A,339.0,U1390,B,3.0,3-2,H,2,A,0.0,13.0,20.1,20.23,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,rare ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-2-A,339.0,U1390,B,3.0,3-2,H,2,A,13.0,150.0,20.23,21.6,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-3-A,339.0,U1390,B,3.0,3-3,H,3,A,0.0,101.0,21.6,22.61,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-3-A,339.0,U1390,B,3.0,3-3,H,3,A,101.0,125.0,22.61,22.85,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,,,Forams and pyrite filled burrows present.,100.0,100.0,,,,,,,,
339-U1390B-3H-3-A,339.0,U1390,B,3.0,3-3,H,3,A,125.0,128.0,22.85,22.88,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-3-A,339.0,U1390,B,3.0,3-3,H,3,A,128.0,150.0,22.88,23.1,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,,,Forams and pyrite filled burrows present.,100.0,100.0,,,,,,,,
339-U1390B-3H-4-A,339.0,U1390,B,3.0,3-4,H,4,A,0.0,42.0,23.1,23.52,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
