Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1404C-2H-1-A,342,U1404,C,2,2-1,H,1,A,4,140,16,17.5,,biosiliceous ooze [Leg339],with clay [Leg339],biosiliceous ooze  with clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous ooze ,biosiliceous ooze   with clay ,,,,,,
342-U1404C-2H-2-A,342,U1404,C,2,2-2,H,2,A,0,140,17.5,19,,biosiliceous ooze [Leg339],with clay [Leg339],biosiliceous ooze  with clay ,5GY 4/1 (dark greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous ooze ,biosiliceous ooze   with clay ,,,,,,
342-U1404C-2H-3-A,342,U1404,C,2,2-3,H,3,A,0,140,19,20.5,,biosiliceous ooze [Leg339],with clay [Leg339],biosiliceous ooze  with clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous ooze ,biosiliceous ooze   with clay ,,,,,,
342-U1404C-2H-4-A,342,U1404,C,2,2-4,H,4,A,0,140,20.5,22,,clay [Leg339],with biosilica [Leg339],clay  with biosilica ,10GY 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with biosilica ,,,,,,
342-U1404C-2H-5-A,342,U1404,C,2,2-5,H,5,A,0,140,22,23.5,,clay [Leg339],with biosilica [Leg339],clay  with biosilica ,10GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with biosilica ,,,,,,
342-U1404C-2H-6-A,342,U1404,C,2,2-6,H,6,A,0,140,23.5,25,,clay [Leg339],with biosilica [Leg339],clay  with biosilica ,10GY 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with biosilica ,,,,,,
342-U1404C-2H-7-A,342,U1404,C,2,2-7,H,7,A,0,76,25,25.76,,clay [Leg339],with biosilica [Leg339],clay  with biosilica ,10GY 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with biosilica ,,,,,,
342-U1404C-2H-CC-A,342,U1404,C,2,2-CC,H,CC,A,0,15,25.76,25.96,,clay [Leg339],with biosilica [Leg339],clay  with biosilica ,10GY 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with biosilica ,,,,,,
342-U1404C-3H-1-A,342,U1404,C,3,3-1,H,1,A,0,140,25.5,27,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-3H-2-A,342,U1404,C,3,3-2,H,2,A,0,140,27,28.5,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-3H-3-A,342,U1404,C,3,3-3,H,3,A,0,140,28.5,30,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-3H-4-A,342,U1404,C,3,3-4,H,4,A,0,140,30,31.5,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-3H-5-A,342,U1404,C,3,3-5,H,5,A,0,80,31.5,32.3,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-3H-6-A,342,U1404,C,3,3-6,H,6,A,0,123,32.3,33.73,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-3H-7-A,342,U1404,C,3,3-7,H,7,A,0,56,33.73,34.29,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-3H-CC-A,342,U1404,C,3,3-CC,H,CC,A,0,17,34.29,34.51,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-4H-1-A,342,U1404,C,4,4-1,H,1,A,0,140,35,36.5,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,Slightly lighter down 35cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-4H-2-A,342,U1404,C,4,4-2,H,2,A,0,140,36.5,38,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-4H-3-A,342,U1404,C,4,4-3,H,3,A,0,140,38,39.5,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-4H-4-A,342,U1404,C,4,4-4,H,4,A,0,140,39.5,41,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
342-U1404C-4H-5-A,342,U1404,C,4,4-5,H,5,A,0,140,41,42.5,biosiliceous [Leg339],clay [Leg339],,biosiliceous  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biosiliceous   clay ,clay ,,,,,,
