Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lithology prefix A,MAJ Principal lithology B,MAJ Lithology suffix C,MAJ Lithology ABC,MAJ Lithology abundance (%),MAJ Lithology color,Bottom contact definition,Clasts,Bioturbation intensity rank,Macrofossil abundance name,Diagenetic structure,Deformational structures,Bioturbation intensity,General interval comment,File Data,Extra Sample ID Data
336-U1383D-1H-1-A,336,U1383,D,1,1-1,H,1,A,0,63,0,0.63,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,"Bigger foraminifers when foraminifer nannofossil ooze, transition from foraminifer nannofossil ooze to nannofossil ooze",,
336-U1383D-1H-2-A,336,U1383,D,1,1-2,H,2,A,0,42,0.63,1.05,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 4/6 (strong brown),,,,,,,,Smaller foraminifer,,
336-U1383D-1H-3-A,336,U1383,D,1,1-3,H,3,A,0,10,2.04,2.14,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,5YR 5/4 (reddish brown),,,,,,,,>60% of foraminifer estimated,,
336-U1383D-1H-3-A,336,U1383,D,1,1-3,H,3,A,10,25.5,2.14,2.295,foraminifer and nannofossil rich,ooze ,,foraminifer and nannofossil rich ooze ,,Mixed color,diffuse,,,,,,,"Transitional zone, crude horizontal laminations underlined by change in color (mix colored between the upper section and the lower section) resulting of drilling disturbances, bottom of this section is tilted of about 10 degrees",,
336-U1383D-1H-3-A,336,U1383,D,1,1-3,H,3,A,25.5,33.5,2.295,2.375,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,5YR 5/4 (reddish brown),diffuse,,,,,,,Same description as for the section between 0 and 10 cm,,
336-U1383D-1H-3-A,336,U1383,D,1,1-3,H,3,A,33.5,51.5,2.375,2.555,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 5/4 (brown),,,,,,,,Same description as for the section between 0 and 10 cm,,
336-U1383D-1H-4-A,336,U1383,D,1,1-4,H,4,A,0,21,3.54,3.75,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 4/4 (brown),diffuse,,,,,,,"Crude horizontal laminations underlined by change of color, horizontal bottom contact",,
336-U1383D-1H-4-A,336,U1383,D,1,1-4,H,4,A,21,28,3.75,3.82,foraminifer and nannofossil rich,ooze ,,foraminifer and nannofossil rich ooze ,,Mixed color,diffuse,,,,,,,Transitional between the upper part and the lower part in composition,,
336-U1383D-1H-4-A,336,U1383,D,1,1-4,H,4,A,28,61.5,3.82,4.155,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,10YR 6/4 (light yellowish brown),,,,,,,,Very rich in foraminifer explaining the clearer brownish color,,
336-U1383D-1H-CC-A,336,U1383,D,1,1-CC,H,CC,A,0,20.5,4.94,5.145,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 5/4 (brown),,,,,,,,,,
336-U1383D-2H-1-A,336,U1383,D,2,2-1,H,1,A,0,16.5,5.1,5.265,foraminifer rich,ooze ,,foraminifer rich ooze ,,10YR 6/4 (light yellowish brown),sharp,,,,,,,Almost 100% of foraminifer,,
336-U1383D-2H-1-A,336,U1383,D,2,2-1,H,1,A,16.5,32,5.265,5.42,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 5/4 (yellowish brown),diffuse,,,,,,,Bottom contact underlined by volcanic clasts of fine to medium sand in grain size,,
336-U1383D-2H-1-A,336,U1383,D,2,2-1,H,1,A,32,36.5,5.42,5.465,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,10YR 6/4 (light yellowish brown),,,,,,,,,,
336-U1383D-2H-2-A,336,U1383,D,2,2-2,H,2,A,0,21.5,5.95,6.165,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),diffuse,,,,,,,,,
336-U1383D-2H-2-A,336,U1383,D,2,2-2,H,2,A,21.5,27,6.165,6.22,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,,diffuse,,,,,,,Transitional zone in composition and in color,,
336-U1383D-2H-2-A,336,U1383,D,2,2-2,H,2,A,27,140,6.22,7.35,foraminifer and nannofossil rich,ooze ,,foraminifer and nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,Variable among of foraminifer. This section is caracterized by few darker zones (richer in nannofossils),,
336-U1383D-2H-3-A,336,U1383,D,2,2-3,H,3,A,0,80.5,7.45,8.255,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),,,,,,,,Ooze poor in foraminifers. Alternation of clearer and darker parts are linked with lithology,,
336-U1383D-2H-4-A,336,U1383,D,2,2-4,H,4,A,0,20,8.95,9.15,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),diffuse,,,,,,,,,
336-U1383D-2H-4-A,336,U1383,D,2,2-4,H,4,A,20,30.5,9.15,9.255,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,,diffuse,,,,,,,"Transitional, less foraminifers than in section from 0 to 20 cm",,
336-U1383D-2H-4-A,336,U1383,D,2,2-4,H,4,A,30.5,38,9.255,9.33,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),sharp,,,,,,,Less foraminifers than in section between 20 cm and 30.5 cm,,
336-U1383D-2H-4-A,336,U1383,D,2,2-4,H,4,A,38,39.5,9.33,9.345,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 7/4 (very pale brown),sharp,,,,,,,Wavy limit,,
336-U1383D-2H-4-A,336,U1383,D,2,2-4,H,4,A,39.5,70,9.345,9.65,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-2H-5-A,336,U1383,D,2,2-5,H,5,A,0,27,10.45,10.72,foraminifer and nannofossil rich,ooze ,,foraminifer and nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),diffuse,,,,,,,,,
336-U1383D-2H-5-A,336,U1383,D,2,2-5,H,5,A,27,41,10.72,10.86,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,,diffuse,,,,,,,Transitional between two major lithologies,,
336-U1383D-2H-5-A,336,U1383,D,2,2-5,H,5,A,41,79.5,10.86,11.245,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),,,,,,,,,,
336-U1383D-2H-6-A,336,U1383,D,2,2-6,H,6,A,0,37,11.95,12.32,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),diffuse,,,,,,,Darker (7.5YR 5/4) to the bottom (more nannofossils),,
336-U1383D-2H-6-A,336,U1383,D,2,2-6,H,6,A,37,62,12.32,12.57,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-2H-6-A,336,U1383,D,2,2-6,H,6,A,62,83,12.57,12.78,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),diffuse,,,,,,,,,
336-U1383D-2H-6-A,336,U1383,D,2,2-6,H,6,A,83,85,12.78,12.8,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 7/4 (pink),sharp,,,,,,,More than 80% of foraminifers,,
336-U1383D-2H-6-A,336,U1383,D,2,2-6,H,6,A,85,140.5,12.8,13.355,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-2H-CC-A,336,U1383,D,2,2-CC,H,CC,A,0,11,13.45,13.56,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),diffuse,,,,,,,,,
336-U1383D-2H-CC-A,336,U1383,D,2,2-CC,H,CC,A,11,16,13.56,13.61,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,,,
336-U1383D-3H-1-A,336,U1383,D,3,3-1,H,1,A,0,51,14.6,15.11,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,"Foraminifer rich ooze (34-36cm) and darker color (10-24 cm, 7.5YR 6/4)",,
336-U1383D-3H-1-A,336,U1383,D,3,3-1,H,1,A,51,54.5,15.11,15.145,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),sharp,,,,,,,,,
336-U1383D-3H-1-A,336,U1383,D,3,3-1,H,1,A,54.5,79,15.145,15.39,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-1-A,336,U1383,D,3,3-1,H,1,A,79,87,15.39,15.47,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-3H-2-A,336,U1383,D,3,3-2,H,2,A,0,17,15.47,15.64,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-3H-2-A,336,U1383,D,3,3-2,H,2,A,17,51,15.64,15.98,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,slightly darker than above (0-17 cm),,
336-U1383D-3H-2-A,336,U1383,D,3,3-2,H,2,A,51,52,15.98,15.99,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),sharp,,,,,,,,,
336-U1383D-3H-2-A,336,U1383,D,3,3-2,H,2,A,52,62,15.99,16.09,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-3H-2-A,336,U1383,D,3,3-2,H,2,A,62,82,16.09,16.29,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-2-A,336,U1383,D,3,3-2,H,2,A,82,101,16.29,16.48,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,0,18,16.97,17.15,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,18,27,17.15,17.24,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),sharp,,,,,,,,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,27,62,17.24,17.59,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,62,89,17.59,17.86,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,89,95,17.86,17.92,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),sharp,,,,,,,,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,95,109,17.92,18.06,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,109,133,18.06,18.3,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,Alternation of 7.5YR 6/4 & 7/4,diffuse,,,,,,,Alternation of nannofossil/foraminifer rich ooze,,
336-U1383D-3H-3-A,336,U1383,D,3,3-3,H,3,A,133,140,18.3,18.37,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-3H-4-A,336,U1383,D,3,3-4,H,4,A,0,49.5,18.47,18.965,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,Alternation of 7.5YR 6/4 & 7/4,sharp,,,,,,,Alternation of foraminifer/nannofossil rich ooze,,
336-U1383D-3H-4-A,336,U1383,D,3,3-4,H,4,A,49.5,81,18.965,19.28,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-3H-5-A,336,U1383,D,3,3-5,H,5,A,0,19,19.97,20.16,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-5-A,336,U1383,D,3,3-5,H,5,A,19,49,20.16,20.46,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,Alternation of 7.5YR 7/4 & 6/4,diffuse,,,,,,,Alternation of foraminifer/nannofossil rich ooze,,
