Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data
349-U1431C-1H-1-A,0,18,0,0.18,,silty clay [MMK88],with sponge spicules [Leg339],silty clay ,silty clay with sponge spicules ,,5YR 5/3 (reddish brown),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-1-A,18,47,0.18,0.47,,silty clay [MMK88],with volcanic ash [Leg339],silty clay ,silty clay with volcanic ash ,,2.5YR 5/3 (reddish brown),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,gradational,curved,thin bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-1-A,47,128,0.47,1.28,,clay [Leg339],,clay ,clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-2-A,0,63,1.28,1.91,,clay [Leg339],,clay ,clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-2-A,63,92,1.91,2.2,,silty clay [MMK88],with volcanic ash [Leg339],silty clay ,silty clay with volcanic ash ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,irregular,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-2-A,92,125,2.2,2.53,,ash(tuff) [MMK88m],with clay [Leg339],ash(tuff) ,ash(tuff) with clay ,,2.5Y 6/1 (gray),very slightly consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,gradational,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-2-A,125,150,2.53,2.78,,clay [Leg339],,clay ,clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-3-A,0,104,2.78,3.82,,silty clay [MMK88],with volcanic ash [Leg339],silty clay ,silty clay with volcanic ash ,,2.5Y 5/1 (gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,gradational,horizontal,medium bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-3-A,104,120,3.82,3.98,,silty clay [MMK88],with volcanic ash [Leg339],silty clay ,silty clay with volcanic ash ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,gradational,curved,thin bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-4-A,0,12,3.98,4.1,,silty clay [MMK88],with biogenic components [Leg339],silty clay ,silty clay with biogenic components ,,2.5Y 6/1 (gray),very slightly consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,irregular,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-4-A,12,63,4.1,4.61,,clay [Leg339],,clay ,clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-1H-CC-A,0,13,4.61,4.74,,clay [Leg339],,clay ,clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-1-A,0,142,4.7,6.12,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,irregular,curved,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-1-A,142,150,6.12,6.2,,clayey silt [MMK88],with foraminifers [Leg339],clayey silt ,clayey silt with foraminifers ,,2.5Y 6/2 (light brownish gray),very slightly consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],fining upward,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-2-A,0,30,6.2,6.5,,silty sand [Leg339],with foraminifers [Leg339],silty sand ,silty sand with foraminifers ,,2.5Y 6/2 (light brownish gray),very slightly consolidated [B84],fine sand [W22_2],4,fine sand [W22_2],4,moderate [BP01],,,,,,,,,,,,,,irregular,horizontal,medium bed [B01],fining upward,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-2-A,30,150,6.5,7.7,,silty clay [MMK88],with volcanic ash [Leg339],silty clay ,silty clay with volcanic ash ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-3-A,0,150,7.7,9.2,,silty clay [MMK88],with volcanic ash [Leg339],silty clay ,silty clay with volcanic ash ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],P [A92],1,,,,,,,,,,,,,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-4-A,0,150,9.2,10.7,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-5-A,0,150,10.7,12.2,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1431C-2H-6-A,0,82,12.2,13.02,,silty clay [MMK88],,silty clay ,silty clay ,,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
