Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1403B-10H-1-A,342,U1403,B,10,10-1,H,1,A,0,118,72.9,74.08,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,moderate [DB91],4,,Concentration of pink-red (likely rhodocrosite) blebs at 59-60 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-10H-1-A,342,U1403,B,10,10-1,H,1,A,118,145,74.08,74.35,,radiolarian ooze [Leg339],,radiolarian ooze ,10GY 7/1 (light greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian ooze ,radiolarian ooze ,,,,,,,
342-U1403B-10H-2-A,342,U1403,B,10,10-2,H,2,A,0,7,74.35,74.42,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-10H-2-A,342,U1403,B,10,10-2,H,2,A,7,21,74.42,74.56,,radiolarian ooze [Leg339],,radiolarian ooze ,10GY 7/1 (light greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian ooze ,radiolarian ooze ,,,,,,,
342-U1403B-10H-2-A,342,U1403,B,10,10-2,H,2,A,21,29,74.56,74.64,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-10H-2-A,342,U1403,B,10,10-2,H,2,A,29,48,74.64,74.83,,radiolarian ooze [Leg339],,radiolarian ooze ,10GY 7/1 (light greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian ooze ,radiolarian ooze ,,,,,,,
342-U1403B-10H-2-A,342,U1403,B,10,10-2,H,2,A,48,110,74.83,75.45,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-10H-2-A,342,U1403,B,10,10-2,H,2,A,110,132,75.45,75.67,,radiolarian ooze [Leg339],,radiolarian ooze ,10GY 7/1 (light greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian ooze ,radiolarian ooze ,,,,,,,
342-U1403B-10H-2-A,342,U1403,B,10,10-2,H,2,A,132,147,75.67,75.82,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-10H-3-A,342,U1403,B,10,10-3,H,3,A,0,12,75.82,75.94,,radiolarian ooze [Leg339],,radiolarian ooze ,10GY 7/1 (light greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian ooze ,radiolarian ooze ,,,,,,,
