Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
363-U1488A-1H-1-A,0,58,0.0,0.58,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10YR 6/3 (pale brown),heavy [DB86],,,,,,"rounded pumice with worm (15-17 cm; 2 cm in diameter), 4 cm-long tooth shell",,,,,,,,,,,,,363,U1488,A,1,H,1,A,,,,
363-U1488A-1H-1-A,58,145,0.58,1.45,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1488,A,1,H,1,A,,,,
363-U1488A-1H-2-A,0,59,1.5,2.09,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,greenish color mottled (34-46 cm),,,,,,,,,,,,,363,U1488,A,1,H,2,A,,,,
363-U1488A-1H-2-A,59,145,2.09,2.95,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 8/1 (light greenish gray),heavy [DB86],,,,,,rounded pumice (116-120 cm; 4 cm in diameter),,,,,,,,,,,,,363,U1488,A,1,H,2,A,,,,
363-U1488A-1H-3-A,0,60,3.0,3.6,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 8/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1488,A,1,H,3,A,,,,
363-U1488A-1H-3-A,60,140,3.6,4.4,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,greenish color mottled (116-119 cm),,,,,,,,,,,,,363,U1488,A,1,H,3,A,,,,
363-U1488A-1H-4-A,0,65,4.5,5.15,clay-rich foraminifer-rich [X363],nannofossil ooze [Leg339],clay-rich foraminifer-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,greenish color mottled (48-56 cm),,,,,,,,,,,,,363,U1488,A,1,H,4,A,,,,
363-U1488A-1H-4-A,65,116,5.15,5.66,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 8/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1488,A,1,H,4,A,,,,
363-U1488A-1H-CC-A,0,18,5.66,5.84,,foraminifer-nannofossil ooze [X363],foraminifer-nannofossil ooze,,10Y 8/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1488,A,1,H,CC,A,,,,
363-U1488A-2H-1-A,0,145,5.9,7.35,foraminifer-bearing clay-rich [X363],nannofossil ooze [Leg339],foraminifer-bearing clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1488,A,2,H,1,A,,,,
