Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
356-U1461B-1H-1-A,0,150,0,1.5,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,green,,,,,,,,,Unlithified green skeletal packstone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,1,H,1,A,,,,
356-U1461B-1H-2-A,0,150,1.5,3,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,green,,,,,,,,,Unlithified green skeletal packstone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,1,H,2,A,,,,
356-U1461B-1H-3-A,0,130,3,4.3,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,green,,,,,,,,,Unlithified green skeletal packstone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,1,H,3,A,,,,
356-U1461B-1H-CC-A,0,10,4.3,4.4,,,,,,,,,,,,,,,,,ATP,,,,356,U1461,B,1,H,CC,A,,,,
356-U1461B-2H-1-A,0,143,4.4,5.83,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,green,,,,,,,,,Unlithified green skeletal packstone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,2,H,1,A,,,,
356-U1461B-2H-1-A,143,150,5.83,5.9,,,,,,,,,,,,,,,,,void,,,,356,U1461,B,2,H,1,A,,,,
356-U1461B-2H-2-A,0,150,5.9,7.4,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,green,,,,,,,,,Unlithified green skeletal packstone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,2,H,2,A,,,,
356-U1461B-2H-3-A,0,150,7.4,8.9,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,brown,bivalve,,,,,,,,Unlithified brown skeletal packstone with glauconite. Foraminifers are mostly small benthic. Some pilloids are visible.,,,,356,U1461,B,2,H,3,A,,,,
356-U1461B-2H-4-A,0,80,8.9,9.7,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,brown,,,,,,,gradational,inclined,Unlithified brown skeletal packstone with glauconite. Foraminifers are mostly small benthic. Some pellopids are visible.,,,,356,U1461,B,2,H,4,A,,,,
356-U1461B-2H-4-A,80,150,9.7,10.4,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,greenish gray,,,,,,,,,Unlithified greenish gray skeletal packstone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,2,H,4,A,,,,
356-U1461B-2H-5-A,0,90,10.4,11.3,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,greenish gray,,,,,,,,,Unlithified greenish gray skeletal packstone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,2,H,5,A,,,,
356-U1461B-2H-5-A,90,150,11.3,11.9,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,with glauconite [2014],skeletal wackestone with glauconite,hemipelagic,light green,,,,,,,,,Unlithified light green skeletal wackestone with glauconite. Foraminifers are mostly small benthic.,,,,356,U1461,B,2,H,5,A,,,,
356-U1461B-2H-6-A,0,102,11.9,12.92,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,with glauconite [2014],skeletal wackestone with glauconite,hemipelagic,light green,,,,,moderate [B06],3,,,Unlithified ljght green homogeneous skeletal wackestone with glauconite. Foraminifers are mostly small benthic. Bioturbation can be seen as gray patches throughout the section. bryozoan grooves(???) are present,,,,356,U1461,B,2,H,6,A,,,,
356-U1461B-2H-7-A,0,60,12.92,13.52,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,greenish gray,bivalve,,,,,,,,unlithified gray green skeletal packstone with foraminifers.,,,,356,U1461,B,2,H,7,A,,,,
356-U1461B-2H-CC-A,0,7,13.52,13.59,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,greenish gray,,,,,,,,,unlithified gray green skeletal packstone with foraminifers.,,,,356,U1461,B,2,H,CC,A,,,,
