Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1447A-1H-1-A,0.0,150.0,0.0,1.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,"Shell fragments between 46 and 49 cm. Foraminifer-rich sandy blebs at 75.5-76.5, 81.5-82.5 and 133.5-134.5 cm.",,,,353,U1447,A,1,H,1,A
353-U1447A-1H-2-A,0.0,120.0,1.5,2.7,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Foraminifer-rich sandy blebs between 107.5 and 108.5 cm.,,,,353,U1447,A,1,H,2,A
353-U1447A-1H-3-A,0.0,52.0,2.7,3.22,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Foraminifer-rich sandy blebs between 27 and 28 cm.,,,,353,U1447,A,1,H,3,A
353-U1447A-1H-CC-A,0.0,15.0,3.22,3.37,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,1,H,CC,A
353-U1447A-2H-1-A,0.0,93.5,3.3,4.235,,,sand,,sand,sand,sand,,light gray,5Y 6/3 (pale olive),erosive,sharp,horizontal,thick bed,normally graded,,,,mottling,Turbidite,,,"With coarse sand, many shell fragments and foraminifers.",,,,353,U1447,A,2,H,1,A
353-U1447A-2H-1-A,93.5,136.0,4.235,4.66,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,2,H,1,A
353-U1447A-2H-2-A,0.0,150.0,4.66,6.16,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Shell fragments at 35.5 cm. Foraminifer-rich sandy blebs between 98 and 99.5 cm.,,,,353,U1447,A,2,H,2,A
353-U1447A-2H-3-A,0.0,150.0,6.16,7.66,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Shell fragments at 106 cm. Foraminifer-rich sandy blebs between 27 and 28 cm.,,,,353,U1447,A,2,H,3,A
353-U1447A-2H-4-A,0.0,150.0,7.66,9.16,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,2,H,4,A
353-U1447A-2H-5-A,0.0,150.0,9.16,10.66,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,2,H,5,A
353-U1447A-2H-6-A,0.0,102.0,10.66,11.68,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Shell fragments at 49 and 66 cm. Foraminifer-rich sandy blebs between 41 and 43 cm.,,,,353,U1447,A,2,H,6,A
353-U1447A-2H-7-A,0.0,81.0,11.68,12.49,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,2,H,7,A
353-U1447A-2H-CC-A,0.0,23.0,12.49,12.72,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,2,H,CC,A
353-U1447A-3H-1-A,0.0,150.0,12.8,14.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,3,H,1,A
353-U1447A-3H-2-A,0.0,147.0,14.3,15.77,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,3,H,2,A
353-U1447A-3H-3-A,0.0,147.0,15.77,17.24,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,A,3,H,3,A
353-U1447A-3H-3-A,21.0,27.0,15.98,16.04,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/2 (light gray),erosive,sharp,horizontal,,,,,,,,,,Toba ash ?????,,,,353,U1447,A,3,H,3,A
353-U1447A-3H-3-A,27.0,147.0,16.04,17.24,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,3,H,3,A
353-U1447A-3H-4-A,0.0,146.0,17.24,18.7,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Foraminifer-rich sandy bleb at 64 cm.,,,,353,U1447,A,3,H,4,A
353-U1447A-3H-5-A,0.0,147.0,18.7,20.17,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Large nodule at 143 cm.,,,,353,U1447,A,3,H,5,A
353-U1447A-3H-6-A,0.0,150.0,20.17,21.67,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Large nodule at 132 cm. Shell fragments between 139 and 140 cm.,,,,353,U1447,A,3,H,6,A
353-U1447A-3H-7-A,0.0,78.0,21.67,22.45,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,3,H,7,A
353-U1447A-3H-CC-A,0.0,28.0,22.45,22.73,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,3,H,CC,A
353-U1447A-4H-1-A,0.0,150.0,22.3,23.8,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,4,H,1,A
353-U1447A-4H-2-A,0.0,150.0,23.8,25.3,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,White quartz blebs are present from this section.,,,,353,U1447,A,4,H,2,A
353-U1447A-4H-3-A,0.0,150.0,25.3,26.8,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,One nodule at 6.5 cm.,,,,353,U1447,A,4,H,3,A
353-U1447A-4H-4-A,0.0,150.0,26.8,28.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,4,H,4,A
353-U1447A-4H-5-A,0.0,150.0,28.3,29.8,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules at 2 cm and between 111 and 112 cm.,,,,353,U1447,A,4,H,5,A
353-U1447A-4H-6-A,0.0,121.0,29.8,31.01,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules between 46 and 49 cm.,,,,353,U1447,A,4,H,6,A
353-U1447A-4H-7-A,0.0,78.0,31.01,31.79,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,4,H,7,A
353-U1447A-4H-CC-A,0.0,49.0,31.79,32.28,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,One large nodule between 28 and 31 cm.,,,,353,U1447,A,4,H,CC,A
353-U1447A-5H-1-A,0.0,150.0,31.8,33.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Many nodules between 40 and 43 cm.,,,,353,U1447,A,5,H,1,A
353-U1447A-5H-2-A,0.0,147.0,33.3,34.77,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Many nodules between 111 and 112 cm.,,,,353,U1447,A,5,H,2,A
353-U1447A-5H-3-A,0.0,146.0,34.77,36.23,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,One large nodule between 28 and 31 cm.,,,,353,U1447,A,5,H,3,A
353-U1447A-5H-4-A,0.0,146.0,36.23,37.69,,biosilica rich,nannofossil ooze,with foraminifers,biosilica rich nannofossil ooze,biosilica rich nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,One nodule at 124 cm. Shell fragments at 125 cm.,,,,353,U1447,A,5,H,4,A
353-U1447A-5H-5-A,0.0,147.0,37.69,39.16,,biosilica rich,nannofossil ooze,with foraminifers,biosilica rich nannofossil ooze,biosilica rich nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,One nodule at 125 cm. Shell fragments and foraminifer-rich sandy bleb 138.5 and 139.5 cm,,,,353,U1447,A,5,H,5,A
353-U1447A-5H-6-A,0.0,150.0,39.16,40.66,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/5GY (greenish gray),,,,,,,,,mottling,,,,One nodule at 130.5 cm. Shell fragments at 29-30 cm.,,,,353,U1447,A,5,H,6,A
353-U1447A-5H-7-A,0.0,75.0,40.66,41.41,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some nodules at 11-13 and 71-72 cm.,,,,353,U1447,A,5,H,7,A
353-U1447A-5H-CC-A,0.0,26.0,41.41,41.67,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,One large nodule between 28 and 31 cm.,,,,353,U1447,A,5,H,CC,A
353-U1447A-6H-1-A,0.0,150.0,41.3,42.8,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some small nodules along the section.,,,,353,U1447,A,6,H,1,A
353-U1447A-6H-2-A,0.0,150.0,42.8,44.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,"Some small nodules along the section, especially between 51 and 53 cm.",,,,353,U1447,A,6,H,2,A
353-U1447A-6H-3-A,0.0,147.0,44.3,45.77,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Many shell fragments along the section.,,,,353,U1447,A,6,H,3,A
353-U1447A-6H-4-A,0.0,148.0,45.77,47.25,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/5GY (greenish gray),,,,,,,,,mottling,,,,"Large nodules at 2-3, 11-12 and 126-128 cm.",,,,353,U1447,A,6,H,4,A
353-U1447A-6H-5-A,0.0,147.0,47.25,48.72,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some small nodules along the section.,,,,353,U1447,A,6,H,5,A
353-U1447A-6H-6-A,0.0,150.0,48.72,50.22,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Dark gray blebs and band between 13 and 32 cm. Plant debris between 105 and 114 cm.,,,,353,U1447,A,6,H,6,A
353-U1447A-6H-7-A,0.0,72.0,50.22,50.94,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,6,H,7,A
353-U1447A-6H-CC-A,0.0,33.0,50.94,51.27,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,A,6,H,CC,A
353-U1447A-7H-1-A,0.0,150.0,50.8,52.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Many small nodules along the section.,,,,353,U1447,A,7,H,1,A
