Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1461D-2R-1-A,0,110,455.0,456.1,lithified [B84],,packstone [E&K72; D62],3,,packstone,,cream,bivalve,,,,common [B06],4,,,"Lithified, fine to medium grained packstone with bioturbation traces outlined by distinct greenish colors giving the rock a mouldy cream color.",,,,356,U1461,D,2,R,1,A
356-U1461D-2R-CC-A,0,16,456.1,456.26,lithified [B84],,packstone [E&K72; D62],3,,packstone,,cream,,,,,common [B06],4,,,"Lithified, fine to medium grained packstone with bioturbation traces outlined by distinct greenish colors giving the rock a mouldy cream color.",,,,356,U1461,D,2,R,CC,A
356-U1461D-2R-CC-A,16,26,456.26,456.36,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,D,2,R,CC,A
356-U1461D-3R-1-A,0,30,464.7,465.0,lithified [B84],,packstone [E&K72; D62],3,,packstone,neritic,light greenish gray,gastropod,low-angle cross-stratification,,,absent [B06],0,,,The fine sand sized packstone shows a low angle cross stratification. The greenish gray color is likely due to a higher glauconite content.,,,,356,U1461,D,3,R,1,A
356-U1461D-3R-1-A,30,63,465.0,465.33,lithified [B84],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,light greenish gray,foraminifera (small benthic),low-angle cross-stratification,,medium bedded [I54],absent [B06],0,gradational,inclined,The packstone shows a fining upward trend grading from a medium sand to a fine sand sized packstone. The glauconite and fossil fragment content is higher towards the base of the bed.,,,,356,U1461,D,3,R,1,A
356-U1461D-3R-1-A,30,63,465.0,465.33,,,,,,,,,bivalve,grading (normal),,,,,,,,,,,356,U1461,D,3,R,1,A
356-U1461D-3R-1-A,63,89,465.33,465.59,lithified [B84],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,light greenish gray,foraminifera (small benthic),low-angle cross-stratification,,medium bedded [I54],absent [B06],0,gradational,inclined,The packstone shows a fining upward trend grading from a medium sand to a fine sand sized packstone. The glauconite and fossil fragment content is higher towards the base of the bed.,,,,356,U1461,D,3,R,1,A
356-U1461D-3R-1-A,63,89,465.33,465.59,,,,,,,,,,grading (normal),,,,,,,,,,,356,U1461,D,3,R,1,A
356-U1461D-3R-2-A,0,15,465.59,465.74,lithified [B84],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,light greenish gray,foraminifera (small benthic),parallel lamination,,medium bedded [I54],absent [B06],0,sharp,sub-horizontal,The packstone shows a grading indicated by a change from medium to fine sand sized grains and a upward color change from greenish to very light grey.,,,,356,U1461,D,3,R,2,A
356-U1461D-3R-2-A,0,15,465.59,465.74,,,,,,,,,bivalve,grading (normal),,,,,,,,,,,356,U1461,D,3,R,2,A
356-U1461D-3R-2-A,15,85,465.74,466.44,lithified [B84],,mudstone [E&K72; D62],1,,mudstone,neritic,cream,foraminifera (small benthic),,,,slight [B06],2,,,Lithified cream colored mudstone with indistinct bioturbation,,,,356,U1461,D,3,R,2,A
356-U1461D-3R-3-A,0,54,466.44,466.98,lithified [B84],,mudstone [E&K72; D62],1,with non-skeletal grains,mudstone with non-skeletal grains,neritic,cream,foraminifera (small benthic),,,,slight [B06],2,,,Lithified cream colored mudstone with indistinct bioturbation,,,,356,U1461,D,3,R,3,A
356-U1461D-3R-3-A,54,74,466.98,467.18,lithified [B84],,wackestone [E&K72; D62],2,with non-skeletal grains,wackestone with non-skeletal grains,neritic,light gray,bivalve,,,,moderate [B06],3,bioturbated,sub-horizontal,Transitional interval between the cream colored mudstone above and the underlying gray colored wackestone.,,,,356,U1461,D,3,R,3,A
356-U1461D-3R-3-A,74,120,467.18,467.64,lithified [B84],,wackestone [E&K72; D62],2,,wackestone,neritic,gray,foraminifera (small benthic),,,,moderate [B06],3,,,Gray colored wackestone with some isolated moldic pores.,,,,356,U1461,D,3,R,3,A
356-U1461D-3R-CC-A,0,9,467.64,467.73,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,D,3,R,CC,A
356-U1461D-5R-1-A,0,145,503.0,504.45,lithified [B84],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,olive gray,foraminifera (planktic),,,,common [B06],4,,,"Olive gray wackestone, likely from glauconite. Common bioturbation",,,,356,U1461,D,5,R,1,A
356-U1461D-5R-1-A,0,145,503.0,504.45,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,D,5,R,1,A
356-U1461D-5R-2-A,0,147,504.45,505.92,lithified [B84],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light olive gray,foraminifera (planktic),,,,common [B06],4,,,"Olive gray wackestone, likely from glauconite. Common bioturbation",,,,356,U1461,D,5,R,2,A
356-U1461D-5R-2-A,0,147,504.45,505.92,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,D,5,R,2,A
356-U1461D-5R-3-A,0,90,505.92,506.82,lithified [B84],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light olive gray,foraminifera (planktic),,,,common [B06],4,,,"Olive gray wackestone, likely from glauconite. Towards the base of this interval there is a marked increase in the amount of smaller benthic forams.",,,,356,U1461,D,5,R,3,A
356-U1461D-5R-3-A,0,142,505.92,507.34,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,D,5,R,3,A
