Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1421C-1H-6-A,0,90,7.5,8.4,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],7,,,,,pebble [W22_2],subangular,bivalve,,,5mm bivalve shell @ 43cm (found under argillite clast); shell fragment @ 42cm; 2 metasiltstone clast;,,,,,
341-U1421C-1H-CC-A,0,17,8.4,8.57,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,,,,,,
341-U1421C-2H-CC-A,0,12,8.5,8.62,,,,,,,,,,,present [A79],1,,,,,pebble [W22_2],subangular,,,,8cm argillite cobble; very little mud matrix with granule remains,,,,,
341-U1421C-3H-1-A,0,88.5,18,18.885,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,"- mud with common clasts
- smear slide 52 cm: mud with sand; sub-rounded volcanic ash in the sand fraction
",gradational contact,,,,
341-U1421C-3H-1-A,88.5,94.5,18.885,18.945,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,gradational contact,,,,
341-U1421C-3H-1-A,94.5,150,18.945,19.5,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1421C-3H-2-A,0,16,19.5,19.66,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,gradational contact,,,,
341-U1421C-3H-2-A,16,150,19.66,21,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,few black mottles,,,,,
341-U1421C-3H-3-A,0,150,21,22.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"- mud with dispersed clasts
- few black mottles
- varying amounts of clasts

- smear slide 130 cm: mud with diatoms; very fine grained",,,,,
341-U1421C-3H-4-A,0,120,22.5,23.7,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,few black mottles,gradational contact,,,,
341-U1421C-3H-4-A,120,150,23.7,24,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1421C-3H-5-A,0,150,24,25.5,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,"fine, clayey mud",,,,,
341-U1421C-3H-6-A,0,150,25.5,27,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1421C-3H-7-A,0,57,27,27.57,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1421C-3H-CC-A,0,35,27.57,27.92,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,sand (quartz) grains and foraminifera? at the bottom of the cc,,,,,
341-U1421C-4H-1-A,0,110,27.5,28.6,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,"some color changes: two discontinuous, irregular intervals of 10Y 4/1 clayey mud at the lower part of this section",,,,,
