Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],LITHOLOGY,REFERENCE,PREFIX,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE
323-U1340A-1H-1-A,323,U1340,A,1,1-1,H,1,A,0,90,0,0.9,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/3,,,,,,,,,,,,
323-U1340A-1H-1-A,323,U1340,A,1,1-1,H,1,A,90,115.5,0.9,1.155,diatom ooze,United States Geological Survey,nannofossil-rich,nannofossil-rich diatom ooze,100,soft,5Y 5/4,,,,,foraminifera abundant,,,,,,,
323-U1340A-1H-1-A,323,U1340,A,1,1-1,H,1,A,115.5,125,1.155,1.25,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-1H-1-A,323,U1340,A,1,1-1,H,1,A,125,146,1.25,1.46,diatom ooze,United States Geological Survey,nannofossil-rich,nannofossil-rich diatom ooze,100,soft,5Y 5/4,,,,,foraminifera abundant,,,,,,,
323-U1340A-1H-1-A,323,U1340,A,1,1-1,H,1,A,146.5,150,1.465,1.5,diatom ooze,United States Geological Survey,nannofossil-rich,nannofossil-rich diatom ooze,50,soft,5Y 5/4,,,,,foraminifera abundant,,,,,,,
323-U1340A-1H-1-A,323,U1340,A,1,1-1,H,1,A,146.5,150,1.465,1.5,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,50,soft,5YR 4/1,,,,,3 cm ovoid plug,,,,,,,
323-U1340A-1H-1-A,323,U1340,A,1,1-1,H,1,A,150,150,1.5,1.5,diatom ooze,United States Geological Survey,nannofossil-rich,nannofossil-rich diatom ooze,100,soft,5Y 5/4,,,,,foraminifera abundant,,,,,,,
323-U1340A-1H-2-A,323,U1340,A,1,1-2,H,2,A,0,41,1.5,1.91,diatom ooze,United States Geological Survey,nannofossil-rich,nannofossil-rich diatom ooze,100,soft,5Y 5/4,,,,,foraminifera abundant,,,,,,,
323-U1340A-1H-2-A,323,U1340,A,1,1-2,H,2,A,41,150,1.91,3,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-1H-3-A,323,U1340,A,1,1-3,H,3,A,0,69,3,3.69,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-1H-CC-A,323,U1340,A,1,1-CC,H,CC,A,0,20,3.69,3.89,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-2H-1-A,323,U1340,A,2,2-1,H,1,A,0,150,3.9,5.4,diatom clay,"Shepard, 1954",,diatom clay,80,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-1-A,323,U1340,A,2,2-1,H,1,A,0,150,3.9,5.4,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,20,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-2-A,323,U1340,A,2,2-2,H,2,A,0,150,5.4,6.9,diatom clay,"Shepard, 1954",,diatom clay,80,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-2-A,323,U1340,A,2,2-2,H,2,A,0,150,5.4,6.9,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,20,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-3-A,323,U1340,A,2,2-3,H,3,A,0,150,6.9,8.4,diatom clay,"Shepard, 1954",,diatom clay,80,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-3-A,323,U1340,A,2,2-3,H,3,A,0,150,6.9,8.4,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,20,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-4-A,323,U1340,A,2,2-4,H,4,A,0,150,8.4,9.9,diatom clay,"Shepard, 1954",,diatom clay,80,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-4-A,323,U1340,A,2,2-4,H,4,A,0,150,8.4,9.9,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,20,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-5-A,323,U1340,A,2,2-5,H,5,A,0,66,9.9,10.56,diatom clay,"Shepard, 1954",,diatom clay,80,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-5-A,323,U1340,A,2,2-5,H,5,A,0,66,9.9,10.56,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,20,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-5-A,323,U1340,A,2,2-5,H,5,A,66,150,10.56,11.4,diatom clay,"Shepard, 1954",,diatom clay,30,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-5-A,323,U1340,A,2,2-5,H,5,A,66,150,10.56,11.4,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,70,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-6-A,323,U1340,A,2,2-6,H,6,A,0,150,11.4,12.9,diatom clay,"Shepard, 1954",,diatom clay,30,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-6-A,323,U1340,A,2,2-6,H,6,A,0,150,11.4,12.9,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,70,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-7-A,323,U1340,A,2,2-7,H,7,A,0,41,12.9,13.31,diatom clay,"Shepard, 1954",,diatom clay,30,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-7-A,323,U1340,A,2,2-7,H,7,A,0,41,12.9,13.31,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,70,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-7-A,323,U1340,A,2,2-7,H,7,A,41,75,13.31,13.65,diatom clay,"Shepard, 1954",,diatom clay,80,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-7-A,323,U1340,A,2,2-7,H,7,A,41,75,13.31,13.65,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,20,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-2H-CC-A,323,U1340,A,2,2-CC,H,CC,A,0,16,13.65,13.81,diatom clay,"Shepard, 1954",,diatom clay,80,soft,5Y 4/1 ,,,,,,,,,,,,
323-U1340A-2H-CC-A,323,U1340,A,2,2-CC,H,CC,A,0,16,13.65,13.81,diatom silt,"Shepard, 1954",nannofossil-rich,nannofossil-rich diatom silt,20,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-3H-1-A,323,U1340,A,3,3-1,H,1,A,0,70,13.4,14.1,diatom clay,"Shepard, 1954",,diatom clay,100,soft,5Y 5/1,,,,,,,,,,,,
323-U1340A-3H-1-A,323,U1340,A,3,3-1,H,1,A,70,105,14.1,14.45,diatom clay,"Shepard, 1954",,diatom clay,100,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-3H-1-A,323,U1340,A,3,3-1,H,1,A,105,116,14.45,14.56,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,
323-U1340A-3H-1-A,323,U1340,A,3,3-1,H,1,A,116,145,14.56,14.85,diatom clay,"Shepard, 1954",,diatom clay,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-3H-2-A,323,U1340,A,3,3-2,H,2,A,0,110,14.85,15.95,diatom clay,"Shepard, 1954",,diatom clay,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-3H-2-A,323,U1340,A,3,3-2,H,2,A,110,150,15.95,16.35,diatom clay,"Shepard, 1954",,diatom clay,60,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-3H-2-A,323,U1340,A,3,3-2,H,2,A,110,150,15.95,16.35,diatom ooze,United States Geological Survey,,diatom ooze,40,soft,5Y 4/2,,,,,foraminifera rich,,,,,,,
323-U1340A-3H-3-A,323,U1340,A,3,3-3,H,3,A,0,150,16.35,17.85,diatom clay,"Shepard, 1954",,diatom clay,60,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-3H-3-A,323,U1340,A,3,3-3,H,3,A,0,150,16.35,17.85,diatom ooze,United States Geological Survey,,diatom ooze,40,soft,5Y 4/2,,,,,foraminifera rich,,,,,,,
323-U1340A-3H-4-A,323,U1340,A,3,3-4,H,4,A,0,23,17.85,18.08,diatom clay,"Shepard, 1954",,diatom clay,60,soft,10Y 4/1,,,,,,,,,,,,
323-U1340A-3H-4-A,323,U1340,A,3,3-4,H,4,A,0,23,17.85,18.08,diatom ooze,United States Geological Survey,,diatom ooze,40,soft,5Y 4/2,,,,,foraminifera rich,,,,,,,
