Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1468A-1H-1-A,0,142,0,1.42,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,bivalve,,organic material,,,,,,,,,,,"Unlithified coursed-grained GRAINSTONE. Planktic foraminifera (A), Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid fragments (C). Organic matter (P). Fish teeth (R). Some bioclasts with a yellow stain. No fines or minor lithology.",,,,359,U1468,A,1,H,1,A,
359-U1468A-1H-2-A,0,100,1.48,2.48,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,bivalve,,organic material,,,,,,,,,,,"Unlithified coursed-grained GRAINSTONE. Planktic foraminifera (A), Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid fragments (C). Organic matter (P). Fish teeth (R). Some bioclasts with a yellow stain. No fines or minor lithology.",,,,359,U1468,A,1,H,2,A,
359-U1468A-1H-3-A,0,67,2.48,3.15,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,bivalve,,organic material,,,,,,,,,,,"Unlithified coursed-grained GRAINSTONE. Planktic foraminifera (A), Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid fragments (C). Organic matter (P). Fish teeth (R). Some bioclasts with a yellow stain. No fines or minor lithology.",,,,359,U1468,A,1,H,3,A,
359-U1468A-1H-CC-A,0,15,3.15,3.3,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,10YR 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,bivalve,,organic material,,,,,,,,,,,"Unlithified coursed-grained GRAINSTONE. Planktic foraminifera (A), Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid fragments (C). Organic matter (P). Fish teeth (R). Some bioclasts with a yellow stain. No fines or minor lithology. G. Ruber (pink) found in the core catcher.",,,,359,U1468,A,1,H,CC,A,
359-U1468A-2H-1-A,0,123,3.4,4.63,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5y 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),otoliths,pteropod,"shell fragments, otoliths",intraclast,stained grains,reverse grading,,,,,,,,,Unlithified planktic foraminifera-rich GRAINSTONE. well-sorted. Coarse- to very coarse-grained.,,,,359,U1468,A,2,H,1,A,
359-U1468A-2H-2-A,0,137,4.63,6,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5y 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,shell fragment,otoliths,,,intraclast,black grains,reverse grading,,,,,,,,,Unlithified planktic foraminifera-rich GRAINSTONE. Very well-sorted.,,,,359,U1468,A,2,H,2,A,
359-U1468A-2H-3-A,0,139,6,7.39,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),otoliths,,,intraclast,black grains,reverse grading,,,,,,,,,Unlithified planktic foraminifera-rich GRAINSTONE. Very well-sorted.,,,,359,U1468,A,2,H,3,A,
359-U1468A-2H-4-A,0,65,7.45,8.1,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),pteropods,,,intraclast,black grains,reverse grading,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich GRAINSTONE. Very well-sorted. Planktic foraminifera and benthic foraminifera (A), Pteropod (F), Halimeda (F), Bryozoan and echinoderm spines (R). Yellow stained grains (P). Black grains (R)",,,,359,U1468,A,2,H,4,A,
359-U1468A-2H-4-A,65,126,8.1,8.71,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 8/2 (pale yellow),medium sand,5,foraminifera (planktic),,foraminifera (benthic),pteropods,,,intraclast,black grains,reverse grading,,,,,,,,,"Unlithified planktic foraminifera-rich GRAINSTONE. Very well-sorted. Planktic foraminifera and benthic foraminifera (A), Pteropod (F), Halimeda (F), Bryozoan and echinoderm spines (R). Yellow stained grains (P). Black grains (R). Poorly washed gravel with minor mud component.",,,,359,U1468,A,2,H,4,A,
359-U1468A-2H-CC-A,0,7,8.71,8.78,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 8/2 (pale yellow),medium sand,5,foraminifera (planktic),,foraminifera (benthic),pteropods,,,intraclast,black grains,reverse grading,,,,,,,,,"Unlithified planktic foraminifera-rich GRAINSTONE. Very well-sorted. Planktic foraminifera and benthic foraminifera (A), Pteropod (F), Halimeda (F), Bryozoan and echinoderm spines (R). Yellow stained grains (P). Black grains (R). Poorly washed gravel with minor mud component.",,,,359,U1468,A,2,H,CC,A,
