Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
366-U1498A-1R-1-A,0,91,0,0.91,I,,,,curviplanar,gradational,inclined,muddy,silt,with sand,muddy silt with sand,10YR 3/3 (dark brown),massive,unconsolidated,silt,2,fine sand,4,Brown pelagic silt-mud. Some coarser sand grains. Moderately well sorted.,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,1,A,
366-U1498A-1R-1-A,91,150,0.91,1.5,I,,,,,,,muddy,silt,,muddy silt,10YR 5/3 (brown),massive,unconsolidated,silt,2,silt,2,"Lighter brown color, gradational contact.",well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,1,A,
366-U1498A-1R-2-A,0,13,1.5,1.63,I,,,,planar,gradational,horizontal,muddy,silt,,muddy silt,10YR 5/3 (brown),massive,unconsolidated,silt,2,silt,2,Continued from previous section,well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,2,A,
366-U1498A-1R-2-A,13,42,1.63,1.92,I,,,,planar,gradational,horizontal,sandy,silt,with foraminifers,sandy silt with foraminifers,10YR 5/8 (yellowish brown),massive,unconsolidated,silt,2,coarse sand,6,"Yellowish color from oxidized ultramafics, which form the sandy fraction of the sediment. Looks like a clast of serpentinized UM that weathered in place.",moderate,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,2,A,
366-U1498A-1R-2-A,42,100,1.92,2.5,I,,,,,,,muddy,silt,with foraminifers,muddy silt with foraminifers,10YR 5/4 (yellowish brown),massive,unconsolidated,silt,2,silt,2,Similar to section from o-13 cm,well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,2,A,
366-U1498A-1R-3-A,0,13,2.5,2.63,I,,,,curviplanar,gradational,sub-horizontal,muddy,silt,with foraminifers,muddy silt with foraminifers,10YR 5/4 (yellowish brown),massive,unconsolidated,silt,2,silt,2,,well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,3,A,
366-U1498A-1R-3-A,13,69,2.63,3.19,I,,,,,,,muddy,silt,with sand,muddy silt with sand,10YR 3/3 (dark brown),massive,unconsolidated,silt,2,silt,2,Small 2 cm pebble at top of layer. Probably highly altered and oxidized UM rock.,moderate,,,,ultramafic rock,1,pebble,10,pebble,9,,,,,,,,,"Highly altered UM rock - probably. Pale orange yellow, no visible grains, thin veins on margins.",,,,,,,,366,U1498,A,1,R,3,A,
366-U1498A-1R-3-A,69,125,3.19,3.75,I,,,,,,,,,,,,,,,,,,MBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,3,A,
366-U1498A-1R-4-A,0,38,3.75,4.13,I,,,,curviplanar,gradational,sub-horizontal,muddy,silt,with sand,muddy silt with sand,10YR 3/3 (dark brown),massive,unconsolidated,silt,2,fine sand,4,,well,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,4,A,
366-U1498A-1R-4-A,38,151,4.13,5.26,I,,,,,,,muddy,silt,with sand,muddy silt with sand,10YR 3/4 (dark yellowish brown),Massive,Unconsolidated,Silt,2,coarse sand,6,Coasrse sand size grains of serpentine.,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,4,A,
366-U1498A-1R-CC-A,0,5,5.26,5.31,I,,,,curviplanar,gradational,sub-horizontal,muddy,silt,with sand,muddy silt with sand,10YR 3/4 (dark yellowish brown),massive,unconsolidated,silt,2,coarse sand,6,Coasrse sand size grains of serpentine,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,1,R,CC,A,
366-U1498A-1R-CC-A,5,14,5.31,5.4,I,,,,,,,muddy,sand,with lithic clasts,muddy sand with lithic clasts,10YR 6/8 (brownish yellow),massive,Unconsolidated,Silt,2,coarse sand,6,One large UM clast comprises bottom half of CC.,,,,,ultramafic rock,25,pebble,10,pebble,9,,,,,,,,,Single large clast of black highly altered UM rock.,,,,,,,,366,U1498,A,1,R,CC,A,
366-U1498A-2R-CC-01,0,3.5,6.3,6.335,IIA,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,10YR 7/6 (yellow),massive,lithified,,,,,strongly weathered ultramafic clast,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,2,R,CC,01,
366-U1498A-2R-CC-02,0,5.5,6.335,6.39,IIA,,,,,,,"clast-supported, polymict",breccia,clast,"clast-supported, polymict breccia clast",10YR 7/6 (yellow),massive,lithified,,,,,Clasts are dominantly serpentinized ultramafic rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,2,R,CC,02,
366-U1498A-2R-CC-03,0,7,6.39,6.46,IIA,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,10YR 7/6 (yellow),massive,lithified,,,,,Clast is crosscut by oxidized serpentine veins,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,2,R,CC,03,
366-U1498A-2R-CC-04,0,6.5,6.46,6.525,IIA,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 3/5PB (very dark bluish gray),massive,lithified,,,,,Multiple serpentine veins. Some opx are altered to bastite serpentine.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,2,R,CC,04,
366-U1498A-2R-CC-05,0,3.5,6.525,6.56,IIA,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,10YR 7/6 (yellow),massive,lithified,,,,,Some calcite veins. 1-3 cm in size,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,2,R,CC,05,
366-U1498A-3R-1-A,0,12,16,16.12,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 5/5B (bluish gray),massive,unconsolidated,clay,1,granule,8,"Blue sandy clay with granules of black serpentine and orange oxidized serpentine. One clast about 8 mm, others all 1-2 mm.",poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,,,,,,,,Single oxidized orange clast; small granules of orange and black serpentine.,,,,,,,,366,U1498,A,3,R,1,A,
366-U1498A-3R-2-01,0,6,16.12,16.18,IIB,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 1 3/N (very dark gray),,lithified,,,,,"Five pieces >2 cm, several small pieces. Most peridotite but one breccia with carbonate cement may have volcanics.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,3,R,2,01,
366-U1498A-3R-2-02,0,11.5,16.18,16.295,IIB,,,,,,,serpentinized,harzburgite,,serpentinized harzburgite,GLEY 1 6/N (gray),,lithified,,,,,One large piece of partially serpentinized harzburgite cut by thin serpentine veins and two wider veins with dark gray haloes. Relatively fresh - may be less than 50% serpentine.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,A,3,R,2,02,
