Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1425E-1H-1-A,0,58,0,0.58,,clay ,with diatoms ,clay  with diatoms ,,,,,2.5Y 3/3 (dark olive brown),,,,,,,,,,,,,,,,,clay ,clay   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,1,A,
346-U1425E-1H-1-A,58,150,0.58,1.5,foraminifer rich,clay ,with diatoms ,foraminifer rich clay  with diatoms ,,,,color banding,2.5Y 3/3 (dark olive brown),2.5Y 3/3 (dark olive brown),,,,,,,,,,,,,,,,foraminifer rich  clay ,clay   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,1,A,
346-U1425E-1H-1-A,95,150,0.95,1.5,,,,,,,,lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,1,A,
346-U1425E-1H-2-A,0,43,1.5,1.93,,clay ,,clay ,,,,color banding,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,2,A,
346-U1425E-1H-2-A,43,52,1.93,2.02,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,2,A,
346-U1425E-1H-2-A,52,150,2.02,3,,clay ,,clay ,,,,color banding,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,2,A,
346-U1425E-1H-3-A,0,4,3,3.04,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,5Y 5/1 (gray),,,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,3,A,
346-U1425E-1H-3-A,4,5,3.04,3.05,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,3,A,
346-U1425E-1H-3-A,5,150,3.05,4.5,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,5Y 5/1 (gray),,,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,3,A,
346-U1425E-1H-4-A,0,103,4.5,5.53,,clay ,,clay ,,,,color banding,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1425,E,1,H,4,A,
