Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
355-U1457B-1H-1-A,0,38,0,0.38,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,brown,10YR 7/4 (very pale brown),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-1H-1-A,38,51,0.38,0.51,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light greenish gray,GLEY 1 7/5G (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-1H-1-A,51,126,0.51,1.26,,,nannofossil ooze,,nannofossil ooze,,,light green,GLEY 1 6/5GY (greenish gray),80,clay,1,clay,1,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 5/10Y (greenish gray),20,clay,1,clay,1,,100,planar,sharp,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-1H-1-A,126,152,1.26,1.52,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light greenish gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-1H-2-A,0,101,1.52,2.53,,,nannofossil ooze,,nannofossil ooze,,burrows,light green,GLEY 1 6/5GY (greenish gray),90,clay,1,clay,1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light green,GLEY 1 6/10Y (greenish gray),10,clay,1,clay,1,,100,,,,,,,,,,,,,,,,
355-U1457B-1H-3-A,0,32,2.53,2.85,,,nannofossil ooze,,nannofossil ooze,,,light green,GLEY 1 6/5GY (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-1H-3-A,32,50,2.85,3.03,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light greenish gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-1H-CC-A,0,13,3.03,3.16,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light greenish gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-2H-1-A,0,73,3.2,3.93,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/5GY (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-2H-1-A,73,147,3.93,4.67,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/5GY (light greenish grey),80,clay,1,clay,1,,clayey,silt,with nannofossils,clayey silt,clayey silt with nannofossils,silt with nannofossils,dark gray,GLEY 1 4/5GY (dark greenish gray),20,silt,2,silt,2,,100,,,,,,,,,,,,,,,,
355-U1457B-2H-2-A,0,51,4.67,5.18,,nannofossil rich,clay,,nannofossil rich clay,,,greenish gray,GLEY 1 6/10GY (greenish gray),80,clay,1,silt,2,,clayey,silt,with nannofossils,clayey silt,clayey silt with nannofossils,silt with nannofossils,dark gray,GLEY 1 4/5GY (dark greenish gray),20,silt,2,silt,2,,100,planar,sharp,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-2H-2-A,51,77,5.18,5.44,,nannofossil rich,clay,,nannofossil rich clay,,,greenish gray,GLEY 1 6/10GY (greenish gray),70,clay,1,silt,2,,clayey,silt,with nannofossils,clayey silt,clayey silt with nannofossils,silt with nannofossils,dark gray,GLEY 1 4/5GY (dark greenish gray),30,silt,2,silt,2,,100,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-2H-2-A,77,97,5.44,5.64,,sandy,silt,,sandy silt,,,dark gray,GLEY 1 4/5GY (dark greenish gray),70,very fine sand,3,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,greenish gray,GLEY 1 6/10GY (greenish gray),30,clay,1,clay,1,,100,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-2H-2-A,97,120,5.64,5.87,,nannofossil rich,clay,,nannofossil rich clay,,,greenish gray,GLEY 1 6/10GY (greenish gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),20,very fine sand,3,fine sand,4,,100,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-2H-2-A,120,146,5.87,6.13,,sandy,silt,,sandy silt,,,dark gray,GLEY 1 4/5GY (dark greenish gray),70,very fine sand,3,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,greenish gray,GLEY 1 6/10GY (greenish gray),30,clay,1,clay,1,,100,,,,,,,,,,,,,,,,
355-U1457B-2H-3-A,0,28,6.13,6.41,,nannofossil rich,clay,,nannofossil rich clay,,,greenish gray,GLEY 1 6/10GY (greenish gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),20,very fine sand,3,very fine sand,3,,100,planar,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-2H-3-A,28,58,6.41,6.71,,silty,sand,,silty sand,,,dark gray,GLEY 1 4/5GY (dark greenish gray),70,fine sand,4,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,greenish gray,GLEY 1 6/10GY (greenish gray),30,clay,1,silt,2,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1457B-2H-3-A,58,102,6.71,7.15,,nannofossil rich,clay,,nannofossil rich clay,,,greenish gray,GLEY 1 6/10GY (greenish gray),90,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),10,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-2H-3-A,102,129,7.15,7.42,,,nannofossil ooze,,nannofossil ooze,,,light green,GLEY 1 6/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-2H-3-A,129,146,7.42,7.59,,,nannofossil ooze,,nannofossil ooze,,,light green,GLEY 1 6/10Y (greenish gray),60,clay,1,silt,2,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,greenish gray,GLEY 1 4/5G (greenish gray),40,clay,1,silt,2,,100,,,,,,,,,,,,,,,,
355-U1457B-2H-4-A,0,111,7.59,8.7,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-2H-4-A,111,146,8.7,9.05,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),70,clay,1,silt,2,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,greenish gray,GLEY 1 4/5GY (dark greenish gray),30,clay,1,silt,2,,100,,,,,,,,,,,,,,,,
355-U1457B-2H-5-A,0,57,9.05,9.62,,,nannofossil ooze,,nannofossil ooze,,burrows,light green,GLEY 1 6/5GY (greenish gray),90,clay,1,clay,1,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 5/5GY (greenish gray),10,clay,1,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1457B-2H-5-A,57,92,9.62,9.97,,,nannofossil ooze,,nannofossil ooze,,,light green,GLEY 1 6/5GY (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-2H-5-A,92,105,9.97,10.1,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 5/10GY (greenish gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark green,GLEY 1 4/5GY (dark greenish gray),20,silt,2,very fine sand,3,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1457B-2H-5-A,105,147,10.1,10.52,,,nannofossil ooze,,nannofossil ooze,,,light green,GLEY 1 6/5GY (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-2H-6-A,0,79,10.52,11.31,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 8/5GY (light greenish gray),60,clay,1,clay,1,,clayey,silt,,clayey silt,clayey silt,silt,gray,GLEY 1 4/5GY (dark greenish gray),40,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1457B-2H-6-A,79,101,11.31,11.53,,,nannofossil ooze,,nannofossil ooze,,,light green,GLEY 1 5/10GY (greenish gray),90,clay,1,clay,1,,clayey,silt,,clayey silt,clayey silt,silt,gray,GLEY 1 4/5GY (dark greenish gray),10,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,
