Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Extra Sample ID Data
320-U1335A-1H-1-A,320,U1335,A,1,1-1,H,1,A,0,150,0,1.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,with foraminifers,Diatom nannofossil ooze with foraminifers,40,soft,2.5Y 6/2,,,
320-U1335A-1H-1-A,320,U1335,A,1,1-1,H,1,A,0,150,0,1.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,,Diatom nannofossil ooze,40,soft,10YR 4/3,,,
320-U1335A-1H-1-A,320,U1335,A,1,1-1,H,1,A,0,150,0,1.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Foraminifer nannofossil,,Foraminifer nannofossil ooze,20,soft,10YR 8/2,,,
320-U1335A-1H-2-A,320,U1335,A,1,1-2,H,2,A,0,150,1.5,3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,with foraminifers,Diatom nannofossil ooze with foraminifers,40,soft,2.5Y 6/2,,,
320-U1335A-1H-2-A,320,U1335,A,1,1-2,H,2,A,0,150,1.5,3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,,Diatom nannofossil ooze,40,soft,10YR 4/3,,,
320-U1335A-1H-2-A,320,U1335,A,1,1-2,H,2,A,0,150,1.5,3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Foraminifer nannofossil,,Foraminifer nannofossil ooze,20,soft,10YR 8/2,,,
320-U1335A-1H-3-A,320,U1335,A,1,1-3,H,3,A,0,150,3,4.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,with foraminifers,Diatom nannofossil ooze with foraminifers,40,soft,2.5Y 6/2,,,
320-U1335A-1H-3-A,320,U1335,A,1,1-3,H,3,A,0,150,3,4.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,,Diatom nannofossil ooze,40,soft,10YR 4/3,,,
320-U1335A-1H-3-A,320,U1335,A,1,1-3,H,3,A,0,150,3,4.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Foraminifer nannofossil,,Foraminifer nannofossil ooze,20,soft,10YR 8/2,,,
320-U1335A-1H-4-A,320,U1335,A,1,1-4,H,4,A,0,150,4.5,6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,with foraminifers,Diatom nannofossil ooze with foraminifers,40,soft,2.5Y 6/2,,,
320-U1335A-1H-4-A,320,U1335,A,1,1-4,H,4,A,0,150,4.5,6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,,Diatom nannofossil ooze,40,soft,10YR 4/3,,,
320-U1335A-1H-4-A,320,U1335,A,1,1-4,H,4,A,0,150,4.5,6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Foraminifer nannofossil,,Foraminifer nannofossil ooze,20,soft,10YR 8/2,,,
320-U1335A-1H-5-A,320,U1335,A,1,1-5,H,5,A,0,120,6,7.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,with foraminifers,Diatom nannofossil ooze with foraminifers,40,soft,2.5Y 6/2,,,
320-U1335A-1H-5-A,320,U1335,A,1,1-5,H,5,A,0,120,6,7.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,,Diatom nannofossil ooze,40,soft,10YR 4/3,,,
320-U1335A-1H-5-A,320,U1335,A,1,1-5,H,5,A,0,120,6,7.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Foraminifer nannofossil,,Foraminifer nannofossil ooze,20,soft,10YR 8/2,,,
320-U1335A-1H-6-A,320,U1335,A,1,1-6,H,6,A,0,148,7.2,8.68,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,with foraminifers,Diatom nannofossil ooze with foraminifers,40,soft,2.5Y 6/2,,,
320-U1335A-1H-6-A,320,U1335,A,1,1-6,H,6,A,0,148,7.2,8.68,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,,Diatom nannofossil ooze,40,soft,10YR 4/3,,,
320-U1335A-1H-6-A,320,U1335,A,1,1-6,H,6,A,0,148,7.2,8.68,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Foraminifer nannofossil,,Foraminifer nannofossil ooze,20,soft,10YR 8/2,,,
320-U1335A-1H-CC-A,320,U1335,A,1,1-CC,H,CC,A,0,12,8.68,8.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,with foraminifers,Diatom nannofossil ooze with foraminifers,40,soft,2.5Y 6/2,,,
320-U1335A-1H-CC-A,320,U1335,A,1,1-CC,H,CC,A,0,12,8.68,8.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Diatom nannofossil,,Diatom nannofossil ooze,40,soft,10YR 4/3,,,
320-U1335A-1H-CC-A,320,U1335,A,1,1-CC,H,CC,A,0,12,8.68,8.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Foraminifer nannofossil,,Foraminifer nannofossil ooze,20,soft,10YR 8/2,,,
320-U1335A-2H-1-A,320,U1335,A,2,2-1,H,1,A,0,150,8.9,10.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with foraminifers and diatoms,Clayey nannofossil ooze with foraminifers and diatoms,20,soft,10YR 4/1,,,
320-U1335A-2H-1-A,320,U1335,A,2,2-1,H,1,A,0,150,8.9,10.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with clay and diatoms and foraminifers,Nannofossil ooze with clay and diatoms and foraminifers,20,soft,10YR 4/2,,,
320-U1335A-2H-1-A,320,U1335,A,2,2-1,H,1,A,0,150,8.9,10.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and foraminifers,Nannofossil ooze with diatoms and foraminifers,60,soft,10YR 8/3,,,
320-U1335A-2H-2-A,320,U1335,A,2,2-2,H,2,A,0,150,10.4,11.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with foraminifers and diatoms,Clayey nannofossil ooze with foraminifers and diatoms,20,soft,10YR 4/1,,,
320-U1335A-2H-2-A,320,U1335,A,2,2-2,H,2,A,0,150,10.4,11.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with clay and diatoms and foraminifers,Nannofossil ooze with clay and diatoms and foraminifers,20,soft,10YR 4/2,,,
320-U1335A-2H-2-A,320,U1335,A,2,2-2,H,2,A,0,150,10.4,11.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and foraminifers,Nannofossil ooze with diatoms and foraminifers,60,soft,10YR 8/3,,,
320-U1335A-2H-3-A,320,U1335,A,2,2-3,H,3,A,0,150,11.9,13.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with foraminifers and diatoms,Clayey nannofossil ooze with foraminifers and diatoms,20,soft,10YR 4/1,,,
320-U1335A-2H-3-A,320,U1335,A,2,2-3,H,3,A,0,150,11.9,13.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with clay and diatoms and foraminifers,Nannofossil ooze with clay and diatoms and foraminifers,20,soft,10YR 4/2,,,
320-U1335A-2H-3-A,320,U1335,A,2,2-3,H,3,A,0,150,11.9,13.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and foraminifers,Nannofossil ooze with diatoms and foraminifers,60,soft,10YR 8/3,,,
320-U1335A-2H-4-A,320,U1335,A,2,2-4,H,4,A,0,150,13.4,14.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with foraminifers and diatoms,Clayey nannofossil ooze with foraminifers and diatoms,20,soft,10YR 4/1,,,
320-U1335A-2H-4-A,320,U1335,A,2,2-4,H,4,A,0,150,13.4,14.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with clay and diatoms and foraminifers,Nannofossil ooze with clay and diatoms and foraminifers,20,soft,10YR 4/2,,,
320-U1335A-2H-4-A,320,U1335,A,2,2-4,H,4,A,0,150,13.4,14.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and foraminifers,Nannofossil ooze with diatoms and foraminifers,60,soft,10YR 8/3,,,
320-U1335A-2H-5-A,320,U1335,A,2,2-5,H,5,A,0,150,14.9,16.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with foraminifers and diatoms,Clayey nannofossil ooze with foraminifers and diatoms,20,soft,10YR 4/1,,,
320-U1335A-2H-5-A,320,U1335,A,2,2-5,H,5,A,0,150,14.9,16.4,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with clay and diatoms and foraminifers,Nannofossil ooze with clay and diatoms and foraminifers,20,soft,10YR 4/2,,,
