Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
369-U1513B-1H-1-A,0,85,0.0,0.85,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/3 (very pale brown),massive [BJ84],,,,,clay [W22_1],1.0,,,,,"from 85 cm to 0 cm, here is a gradational color change uphole from light grey, to white and then to very pale yellow.",color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,1,A
369-U1513B-1H-1-A,85,146,0.85,1.46,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,1,A
369-U1513B-1H-1-A,146,150,1.46,1.5,I,,,,,calcareous ooze,,calcareous ooze,,,7.5YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,1,A
369-U1513B-1H-2-A,0,78,1.5,2.28,I,,,,,calcareous ooze,,calcareous ooze,,,7.5YR 8.5/2 (pinkish white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,2,A
369-U1513B-1H-2-A,78,150,2.28,3.0,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,2,A
369-U1513B-1H-3-A,0,76,3.0,3.76,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,3,A
369-U1513B-1H-3-A,76,150,3.76,4.5,I,,,,,calcareous ooze,,calcareous ooze,,,5YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,"This interval is enriched in foraminifera,",color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,3,A
369-U1513B-1H-4-A,0,76,4.5,5.26,I,,,,,calcareous ooze,,calcareous ooze,,,5YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,"From 76 cm to the top this interval of calcareous ooze, there is a gradational color change from light grey to white. This interval is enriched in foraminifera,",color boundary or contact,sharp,sharp,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,4,A
369-U1513B-1H-4-A,76,128,5.26,5.78,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,,,,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,4,A
369-U1513B-1H-5-A,0,150,6.0,7.5,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,"Between 24 and 34 cm, the calcareous ooze darkens to a light bluish gray.",,,,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,5,A
369-U1513B-1H-6-A,0,98,7.5,8.48,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,,,,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,6,A
369-U1513B-1H-CC-A,0,5,8.48,8.53,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,,,,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,CC,A
369-U1513B-1H-CC-A,5,7,8.53,8.55,I,,,,,,,,,,,,,,,,,,,,,,Void in the core.,,,,,,,,,,,,,,,369,U1513,B,1,H,CC,A
369-U1513B-1H-CC-A,7,18,8.55,8.66,I,,,,,calcareous ooze,,calcareous ooze,,,10YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,,,,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,1,H,CC,A
369-U1513B-2H-1-A,0,150,8.7,10.2,I,,,,,calcareous ooze,,calcareous ooze,,,7.5YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,,,,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,2,H,1,A
369-U1513B-2H-2-A,0,10,10.2,10.3,I,,,,,calcareous ooze,,calcareous ooze,,,7.5YR 8/1 (white),massive [BJ84],,,,,clay [W22_1],1.0,,,,,,color boundary or contact,gradational,gradational,,,,,,,calcareous ooze,calcareous ooze,,,,369,U1513,B,2,H,2,A
