Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
376-U1527A-4R-CC-A,0,1,29.1,29.11,,,,,,polymict,lapilli tephra,,polymict lapilli tephra,,2.5Y 4/2 (dark grayish brown),,granule,8,medium pebble,9,"pumice mixed with scoria, Pumice: dense, glass contains very elongated vesicles and plagioclase microlites. Scoria: brown glass with spherical vesicles.",,,,,poor,,,vitric,vitric,,,,,,,,pumice lapilli,subangular,scoria lapilli,subangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1527,A,4,R,CC,A,,,
376-U1527A-6R-1-A,114,119,49.64,49.69,,,,,,polymict,lapilli tephra,,polymict lapilli tephra,,2.5Y 4/2 (dark grayish brown),,granule,8,medium pebble,9,"vitric clasts: 1. black scoria 2. pumice - looks grey/green and more like scoria macroscopically, but SEM showed pumiceous texture",,,,,moderate,,,vitric,vitric,,,,,,,,scoria lapilli,subangular,pumice lapilli,subangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1527,A,6,R,1,A,,,
376-U1527A-9R-CC-A,0,1,67.8,67.81,,,,,,"polymict, fine",lapilli tephra,,"polymict, fine lapilli tephra",,2.5Y 4/2 (dark grayish brown),,granule,8,small pebble,9,mix of scoria and dense pumice,,,,,moderate,,,vitric,vitric,,,,,,,,scoria lapilli,subangular,pumice lapilli,subangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1527,A,9,R,CC,A,,,
