Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
354-U1449A-1H-1-A,0,38,0,0.38,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,1,A,,,,
354-U1449A-1H-1-A,38,143,0.38,1.43,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,2 intervals of foraminifer-rich sand at 57 and 75 cm (1-2 cm thick),,,,354,U1449,A,1,H,1,A,,,,
354-U1449A-1H-1-A,38,143,0.38,1.43,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,A,1,H,1,A,,,,
354-U1449A-1H-1-A,143,150,1.43,1.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,H,,,,,,greenish silt layer with foraminifers at 147-148 cm,,,,354,U1449,A,1,H,1,A,,,,
354-U1449A-1H-2-A,0,8,1.5,1.58,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,sub-horizontal,,,,H,,,,,,,,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-2-A,8,30,1.58,1.8,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,brown,gradational,horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-2-A,30,51,1.8,2.01,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,brown,bioturbated,horizontal,,,,A,,normally graded,,,,"silt, ash layer (Toba event?)",,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-2-A,51,67,2.01,2.17,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp irregular,inclined,,,,H,,,,,,,,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-2-A,67,73,2.17,2.23,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,brown,sharp irregular,sub-horizontal,,,,A,,,,,,"silty sand, ash layer (Toba event?)",,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-2-A,73,122,2.23,2.72,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp planar,horizontal,,,,H,,burrows,Zoophycos backfill structure 92-100 cm,,,,,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-2-A,122,133,2.72,2.83,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,horizontal,,,,H,,,,,,,,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-2-A,133,150,2.83,3,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,,,,,greenish layer,,,,354,U1449,A,1,H,2,A,,,,
354-U1449A-1H-3-A,0,11,3,3.11,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp planar,horizontal,,,,H,,patch or bleb,,,,Patch of ash (same material as Section 1H-2-A 67-73 cm,,,,354,U1449,A,1,H,3,A,,,,
354-U1449A-1H-3-A,11,44,3.11,3.44,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,3,A,,,,
