Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data
320-U1333A-5H-4-A,320,U1333,A,5,5-4,H,4,A,0,150,42.5,44,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,
320-U1333A-5H-4-A,320,U1333,A,5,5-4,H,4,A,0,150,42.5,44,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,
320-U1333A-5H-5-A,320,U1333,A,5,5-5,H,5,A,0,150,44,45.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,
320-U1333A-5H-5-A,320,U1333,A,5,5-5,H,5,A,0,150,44,45.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,
320-U1333A-5H-6-A,320,U1333,A,5,5-6,H,6,A,0,150,45.5,47,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,
320-U1333A-5H-6-A,320,U1333,A,5,5-6,H,6,A,0,150,45.5,47,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,
320-U1333A-5H-7-A,320,U1333,A,5,5-7,H,7,A,0,48,47,47.48,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,
320-U1333A-5H-7-A,320,U1333,A,5,5-7,H,7,A,0,48,47,47.48,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,
320-U1333A-5H-CC-A,320,U1333,A,5,5-CC,H,CC,A,0,17,47.48,47.65,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,
320-U1333A-5H-CC-A,320,U1333,A,5,5-CC,H,CC,A,0,17,47.48,47.65,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,
