Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
362-U1481A-2R-1-A,0,6,1149.7,1149.76,IIC,,silty clay [S54],with sand [2014],silty clay,silty clay with sand,silty clay with sand,,GLEY 1 3/N (very dark gray),,,,,,lithified [B84],fine sand [W22_2],4,non-graded,moderate [2014],,,fall in material,,,,,,,,,,,,,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,6,14,1149.76,1149.84,IIC,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,very fine sand [W22_2],3,non-graded,moderate [2014],,,,convolute bedded,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,14,17,1149.84,1149.87,IIC,,very fine sand [F54],with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,,partially lithified,very fine sand [W22_2],3,non-graded,poor [2014],,,,structureless,absent [DB91],1,,,,,,plant fragment,,mudstone [USGS],,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,17,20.5,1149.87,1149.905,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,thick lamina [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],silt [W22_1],clay [W22_1],,planar lamination,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,20.5,22,1149.905,1149.92,IIC,,fine sand [USGS],with silt [2014],fine sand,fine sand with silt,fine sand with silt,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,,partially lithified,fine sand [W22_2],4,non-graded,moderate [2014],,,,structureless,absent [DB91],1,,,,,,plant fragment,,,,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,22,70,1149.92,1150.4,IIC,,very fine sand [F54],with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 3/N (very dark gray),wavy,sharp,wavy sharp,horizontal,,partially lithified,fine sand [W22_2],4,normal grading,moderate [2014],fine sand [W22_2],silt [W22_1],sand is better sorted at base (67-70 cm). Mudclasts bigger than core liner at 38-41 and 62-67 cm. Cm-sized semiangular mudclasts at the top (22-37 cm).,convolute bedded,absent [DB91],1,,,,,,plant fragment,,mudstone [USGS],,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,70,97,1150.4,1150.67,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,normal grading,moderate [2014],silt [W22_1],clay [W22_1],"Base of individual beds at 76, 86, 91, 97 cm. very sand sand pod at 91-92 cm.",planar lamination,sparse [DB91],2,,,,sand pods,,plant fragment,,,,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,97,116,1150.67,1150.86,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,,partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,plant fragment,,,,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,116,120,1150.86,1150.9,IIC,,clay [S54],,clay,clay,clay,,GLEY 1 5/10Y (greenish gray),irregular,gradational,irregular gradational,sub-horizontal,,lithified [B84],clay [W22_1],1,non-graded,well [2014],,,black thin laminae at the top (116 cm). Agglutinated forams,structureless,heavy [DB91],4,,,,,,foraminifer,,,,,,,,,,362,U1481,A,2,R,1,A,
362-U1481A-2R-1-A,120,149,1150.9,1151.19,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),,,,,thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,alternation of dark and lighter color clay beds. Agglutinated forams,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,,,,,,,,,,362,U1481,A,2,R,1,A,
