Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1504A-3R-1-A,0,149,17.5,18.99,nannofossil rich,clay [Leg339],,nannofossil rich clay,nannofossil rich clay,,GLEY 1 4/10Y (dark greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,3,R,1,A,
368-U1504A-3R-2-A,0,140,18.99,20.39,nannofossil rich,clay [Leg339],,nannofossil rich clay,nannofossil rich clay,,GLEY 1 4/10Y (dark greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,3,R,2,A,
368-U1504A-3R-3-A,0,16,20.49,20.65,nannofossil rich,clay [Leg339],,nannofossil rich clay,nannofossil rich clay,,GLEY 1 4/10Y (dark greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,planar,horizontal,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,3,R,3,A,
368-U1504A-3R-3-A,16,82,20.65,21.31,clay rich,nannofossil ooze [Leg339],with biogenic silica,clay rich nannofossil ooze,clay rich nannofossil ooze with biogenic silica,,GLEY 1 5/10GY (greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,3,R,3,A,
368-U1504A-4R-1-A,0,65,27.2,27.85,nannofossil rich,clay [Leg339],,nannofossil rich clay,nannofossil rich clay,,GLEY 1 4/10Y (dark greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,irregular,curved,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,4,R,1,A,
368-U1504A-4R-1-A,65,151,27.85,28.71,,nannofossil ooze [Leg339],with biogenic silica,nannofossil ooze,nannofossil ooze with biogenic silica,,GLEY 1 5/10GY (greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,,,,massive [BJ84],moderate [DB86],2,contorted strata [BJ80],curved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,4,R,1,A,
368-U1504A-4R-2-A,0,140,28.71,30.11,,nannofossil ooze [Leg339],with biogenic silica,nannofossil ooze,nannofossil ooze with biogenic silica,,GLEY 1 5/10GY (greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,,,,massive [BJ84],moderate [DB86],2,contorted strata [BJ80],curved,,,,,,,,,,,,,,,,,,,,pteropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,4,R,2,A,
368-U1504A-4R-3-A,0,70,30.21,30.91,,nannofossil ooze [Leg339],with biogenic silica,nannofossil ooze,nannofossil ooze with biogenic silica,,GLEY 1 5/10GY (greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,irregular,curved,,massive [BJ84],moderate [DB86],2,contorted strata [BJ80],curved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,4,R,3,A,
368-U1504A-4R-3-A,70,139,30.91,31.6,nannofossil rich,clay [Leg339],,nannofossil rich clay,nannofossil rich clay,,GLEY 1 4/10Y (dark greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,4,R,3,A,
368-U1504A-4R-CC-A,0,10,31.6,31.7,nannofossil rich,clay [Leg339],,nannofossil rich clay,nannofossil rich clay,,GLEY 1 4/10Y (dark greenish gray),unlithified,clay [W22_1],1,silt [W22_1],2,very well [BP01],,,with minor forams,,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1504,A,4,R,CC,A,
