Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data
"339-U1390A-1H-1-A, 0-32",339,U1390,A,1,1-1,H,1,A,0,32,0,0.32,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,2.5Y 4/2 (dark grayish brown),clay ,1,fine sand ,4,,,,,,,,,,,,,100,color contact,,,,,,sparse_339 ,2,,,Forams present,100,100,
"339-U1390A-1H-1-A, 32-150",339,U1390,A,1,1-1,H,1,A,32,150,0.32,1.5,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,Shell fragments including echinoid spine and forams present.,100,100,
"339-U1390A-1H-2-A, 0-140",339,U1390,A,1,1-2,H,2,A,0,140,1.5,2.9,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,Shell fragments and forams present.,100,100,
"339-U1390A-1H-3-A, 0-51",339,U1390,A,1,1-3,H,3,A,0,51,2.9,3.41,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, forams present and pyrite filled burrow present.",100,100,
"339-U1390A-1H-CC-A, 0-22",339,U1390,A,1,1-CC,H,CC,A,0,22,3.41,3.63,,mud ,with biogenic carbonate ,mud ,mud  with biogenic carbonate ,mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, forams present and pyrite filled burrow present.",100,100,
"339-U1390A-2H-1-A, 0-152",339,U1390,A,2,2-1,H,1,A,0,152,3.6,5.12,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,very fine sand ,3,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, forams present and pyrite filled burrow present, Mottled.",100,100,
"339-U1390A-2H-2-A, 0-150",339,U1390,A,2,2-2,H,2,A,0,150,5.12,6.62,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,very fine sand ,3,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Shell fragments, forams present and pyrite filled burrow present, Mottled.",100,100,
"339-U1390A-2H-3-A, 0-150",339,U1390,A,2,2-3,H,3,A,0,150,6.62,8.12,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,very fine sand ,3,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,few ,,"Dispersed shell fragments, forams present and pyrite filled burrow present, Mottled.",100,100,
"339-U1390A-2H-4-A, 0-27",339,U1390,A,2,2-4,H,4,A,0,27,8.12,8.39,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,very fine sand ,3,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 ,3,,,Pyrite filled burrow present,100,100,
"339-U1390A-2H-4-A, 27-42",339,U1390,A,2,2-4,H,4,A,27,42,8.39,8.54,calcareous ,silty sand ,,calcareous   silty sand ,calcareous  silty sand ,silty sand ,100,5Y 4/2 (olive gray),very fine sand ,3,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,absent_339 ,1,,,"Well-sorted sand with fining upward (?), gastropod present at basal part (41cm)",100,100,
"339-U1390A-2H-4-A, 42-130",339,U1390,A,2,2-4,H,4,A,42,130,8.54,9.42,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,,100,100,
"339-U1390A-2H-4-A, 130-150",339,U1390,A,2,2-4,H,4,A,130,150,9.42,9.62,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,,normal grading,,,,,sparse_339 ,2,,,,100,100,
"339-U1390A-2H-5-A, 0-6",339,U1390,A,2,2-5,H,5,A,0,6,9.62,9.68,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,inverse grading,,,,,sparse_339 ,2,,,Gastropod present (4cm),100,100,
"339-U1390A-2H-5-A, 6-138",339,U1390,A,2,2-5,H,5,A,6,138,9.68,11,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,5Y 4/2 (olive gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,,,Small shell fragments present (22-34 and 123-136 cm),100,100,
"339-U1390A-2H-5-A, 138-151",339,U1390,A,2,2-5,H,5,A,138,151,11,11.13,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/2 (olive gray),silt ,2,very fine sand ,3,,,,,,,,,,,,,100,gradational contact,normal grading,,,,,sparse_339 ,2,,,,100,100,
