Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lithology prefix A,MAJ Principal lithology B,MAJ Lithology suffix C,MAJ Lithology ABC,MAJ Lithology abundance (%),MAJ Lithology color,Bottom contact definition,Clasts,Bioturbation intensity rank,Macrofossil abundance name,Diagenetic structure,Deformational structures,Bioturbation intensity,General interval comment,File Data,
336-U1383E-1H-2-A,336,U1383,E,1,1-2,H,2,A,0.0,16.0,1.5,1.66,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,5YR 5/4 (reddish brown),,,,,,,,,,
336-U1383E-1H-2-A,336,U1383,E,1,1-2,H,2,A,16.0,35.0,1.66,1.85,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,5YR 5/6 (yellowish red),,,,,,,,,,
336-U1383E-1H-2-A,336,U1383,E,1,1-2,H,2,A,35.0,50.0,1.85,2.0,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),,,,,,,,More foraminifers,,
336-U1383E-1H-CC-A,336,U1383,E,1,1-CC,H,CC,A,0.0,14.0,3.0,3.14,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,,,
336-U1383E-2H-1-A,336,U1383,E,2,2-1,H,1,A,0.0,22.0,3.1,3.32,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),diffuse,,,,,,,Laminations at the bottom due to coring disturbance,,
336-U1383E-2H-1-A,336,U1383,E,2,2-1,H,1,A,22.0,88.5,3.32,3.985,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,0.0,15.5,3.98,4.135,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,,,
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,15.5,33.5,4.135,4.315,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),sharp,,,,,,,Far less foraminifers,,
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,33.5,47.5,4.315,4.455,,,,,,,,,,,,,,Drilling disturbance,,
336-U1383E-2H-2-A,336,U1383,E,2,2-2,H,2,A,47.5,96.5,4.455,4.945,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,"A lot of foraminifers, some black clasts (volcanic rocks?) of fine sand in grain size",,
336-U1383E-2H-3-A,336,U1383,E,2,2-3,H,3,A,0.0,18.5,5.48,5.665,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),diffuse,,,,,,,"Very few foraminifers, contain clasts as 2H-2 (47.5 cm to 96.5 cm)",,
336-U1383E-2H-3-A,336,U1383,E,2,2-3,H,3,A,18.5,102.0,5.665,6.5,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,"More foraminifers than the section between 0 cm and 18.5 cm, the top of the section is transitional, arched strips could be seen due to coring disturbance",,
336-U1383E-2H-3-A,336,U1383,E,2,2-3,H,3,A,102.0,111.0,6.5,6.59,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,,,
336-U1383E-2H-3-A,336,U1383,E,2,2-3,H,3,A,111.0,140.0,6.59,6.88,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,,,
336-U1383E-2H-4-A,336,U1383,E,2,2-4,H,4,A,0.0,26.0,6.98,7.24,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 5/6 (strong brown),diffuse,,,,,,,,,
336-U1383E-2H-4-A,336,U1383,E,2,2-4,H,4,A,26.0,30.0,7.24,7.28,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,,,
336-U1383E-2H-4-A,336,U1383,E,2,2-4,H,4,A,30.0,60.0,7.28,7.58,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 6/4 (light brown),sharp,,,,,,,"Big foraminifers relatively to others, upward fining with less and less foraminifers, angular and well sorted black clasts coarse sand in grain size, maximum clast size is 0.8 cm",,
336-U1383E-2H-4-A,336,U1383,E,2,2-4,H,4,A,60.0,80.0,7.58,7.78,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,Rare black casts,,
336-U1383E-2H-4-A,336,U1383,E,2,2-4,H,4,A,80.0,128.5,7.78,8.265,,Void,,Void,,,,,,,,,,,,
336-U1383E-2H-4-A,336,U1383,E,2,2-4,H,4,A,128.5,150.0,8.265,8.48,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383E-2H-5-A,336,U1383,E,2,2-5,H,5,A,0.0,19.0,8.48,8.67,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),sharp,,,,,,,,,
336-U1383E-2H-5-A,336,U1383,E,2,2-5,H,5,A,19.0,25.0,8.67,8.73,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 5/6 (strong brown),sharp,,,,,,,Upward fining with a grading from foraminifer rich ooze at the bottom to foraminifer bearing nannofossil rich ooze to the top,,
336-U1383E-2H-5-A,336,U1383,E,2,2-5,H,5,A,25.0,80.5,8.73,9.285,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 4/6 (strong brown),,,,,,,,Arched top,,
