Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],List of pieces (read only),Lithological unit number,Degree of alteration,Lithology prefix,Principal lithology,Lithology suffix,Complete lithology name,Contact type,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Igneous texture 1,Igneous texture 2,Color,Texture comment,Groundmass modal percent [%],Groundmass crystal size [mm],Grain size distribution,Groundmass comments,Glass abundance (read only) [%],Altered glass (palagonite) abundance [%],Fresh glass,Glass preservation comment,Phenocryst 1 (most abundant),Phenocryst 1 abundance [%],Phenocryst 1 size MAX [mm],Phenocryst 1 size MODE [mm],Phenocryst 1 shape,Phenocryst 1 shape rank,Phenocryst 1 comments,Phenocryst 2 (2nd most abundant),Phenocryst 2 abundance [%],Phenocryst 2 size MAX [mm],Phenocryst 2 size MODE [mm],Phenocryst 2 shape,Phenocryst 2 shape rank,Phenocryst 2 comments,Phenocryst 3 (3rd most abundant),Phenocryst 3 abundance [%],Phenocryst 3 size MAX [mm],Phenocryst 3 size MODE [mm],Phenocryst 3 shape,Phenocryst 3 shape rank,Phenocryst 3 comments,Total phenocryst abundance [%],Accessory mineral 1 (<1 Vol. %),Accessory mineral 2 (<1 Vol. %),Accessory mineral (comments),Vesicle abundance,Vesicle size MAX [mm],Vesicle size MODE [mm],Vesicle roundness,Vesicle sphericity,Vesicle filling,Vesicle comments,Veins,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
376-U1529B-1R-1-A,0,32,0,0.32,,,unaltered,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,hypohyaline,GLEY 1 2.5/N (black),"glomerocryst of plagioclase, elongated vesicles, glassy matrix",65,,equigranular,fine-grain crystalline groundmass,,1,y,,plagioclase,15,3,1,subhedral,,glomerocryst and phenocryst plagioclase,,,,,,,,,,,,,,,15,,,,moderately vesicular,10,2,sub-rounded,low (elongate),absent,20% abundance,,,,,,,,,,,,,,,,,,,376,U1529,B,1,R,1,A,
376-U1529B-2R-1-A,0,22,15,15.22,,,unaltered,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,hypohyaline,GLEY 1 2.5/N (black),"glomerocryst of plagioclase, elongated vesicles, glassy matrix",55,,equigranular,fine-grain crystalline & glassy groundmass,,1,y,,plagioclase,20,2,1,subhedral,,glomerocryst and phenocryst plagioclase,,,,,,,,,,,,,,,20,,,,moderately vesicular,20,3,angular,low (elongate),absent,25% abundance,,,,,,,,,,,,,,,,,,,376,U1529,B,2,R,1,A,
376-U1529B-3R-1-A,0,12,24.7,24.82,,,slightly altered,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,hypohyaline,GLEY 1 2.5/N (black),"glomerocryst of plagioclase, cpx in the groundmass, elongated vesicles, glassy matrix",70,,equigranular,fine-grain crystalline & glassy groundmass,,,y,,plagioclase,12,2,0.5,euhedral,,glomerocryst and phenocryst plagioclase,clinopyroxene,3,1,0.5,subhedral,,cpx as phenocrysts and glomerocrysts?,,,,,,,,15,Fe-Ti oxide,Fe-Ti oxide,possibly magnetite in the glomerocrysts,moderately vesicular,10,1,sub-rounded,low (elongate),absent,oxidised pyrite? at the surface and in the vesicles,,,,,,,,,,,,,,,,,,,376,U1529,B,3,R,1,A,
