Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
352-U1440B-2R-1-A,0,110,102.3,103.4,,irregular,sharp,sub-horizontal,,mud,,mud,mud,mud,,7.5YR 3/2 (dark brown),,consolidated,silt,2,silt,2,,poor,non-graded,,slight,1.0,,manganese nodule,,,,,,,,,,,,,352,U1440,B,2,R,1,A
352-U1440B-2R-1-A,110,119,103.4,103.49,,,,,,lapilli-ash,,lapilli-ash,lapilli-ash,lapilli-ash,,10R 5/4 (weak red),,consolidated,fine sand,4,pebble,9,,moderate,,,slight,1.0,,manganese nodule,,,,,,,,,,,,,352,U1440,B,2,R,1,A
352-U1440B-2R-1-A,119,131,103.49,103.61,,irregular,sharp,sub-horizontal,,mud,,mud,mud,mud,,7.5YR 3/2 (dark brown),,consolidated,silt,2,silt,2,,poor,non-graded,,slight,1.0,,manganese nodule,,,,,,,,,,,,,352,U1440,B,2,R,1,A
352-U1440B-2R-1-A,131,150,103.61,103.8,,,,,silty,mud,with gravel,silty mud,silty mud with gravel,mud with gravel,,7.5YR 3/2 (dark brown),thick bed,consolidated,silt,2,granule,8,,poor,non-graded,,slight,1.0,scattered pumice,manganese nodule,,,volcanic intermediate,,angular,,,poor,,,,,352,U1440,B,2,R,1,A
352-U1440B-2R-2-A,0,134,103.8,105.14,,irregular,sharp,sub-horizontal,,mud,,mud,mud,mud,,7.5YR 3/2 (dark brown),,consolidated,silt,2,silt,2,,poor,non-graded,,slight,1.0,,manganese nodule,,,,,,,,,,,,,352,U1440,B,2,R,2,A
352-U1440B-2R-2-A,134,150,105.14,105.3,,,,,silty,mud,with gravel,silty mud,silty mud with gravel,mud with gravel,,7.5YR 3/2 (dark brown),thick bed,consolidated,silt,2,granule,8,,poor,non-graded,,slight,1.0,scattered pumice,manganese nodule,,,volcanic intermediate,,angular,,,poor,,,,,352,U1440,B,2,R,2,A
352-U1440B-2R-3-A,0,51,105.3,105.81,,,,,,mud,,mud,mud,mud,,7.5YR 3/3 (dark brown),,consolidated,silt,2,silt,2,,poor,non-graded,,slight,1.0,,manganese nodule,,,,,,,,,,,,,352,U1440,B,2,R,3,A
352-U1440B-2R-CC-A,0,18,105.81,105.99,,,,,,mud,,mud,mud,mud,,7.5YR 3/3 (dark brown),,consolidated,silt,2,silt,2,,poor,non-graded,,slight,1.0,,manganese nodule,,,,,,,,,,,,,352,U1440,B,2,R,CC,A
352-U1440B-3R-1-A,0,10,107.2,107.3,,irregular,sharp,horizontal,,mud,,mud,mud,mud,,7.5YR 3/3 (dark brown),,consolidated,silt,2,silt,2,,poor,non-graded,,slight,1.0,,manganese nodule,,,,,,,,,,,,,352,U1440,B,3,R,1,A
352-U1440B-3R-1-A,10,120,107.3,108.4,,irregular,gradational,sub-vertical,silty,nannofossil ooze,,silty nannofossil ooze,silty nannofossil ooze,nannofossil ooze,,7.5YR 7/3 (pink),thick bed,consolidated,clay,1,silt,2,,poor,non-graded,,moderate,2.0,,,,,,,,,,,,,,,352,U1440,B,3,R,1,A
