Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,Lithology Suffix
363-U1482C-1H-1-A,0,11,0,0.11,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10YR 5/4 (yellowish brown),moderate [DB86],,,,,,Brownish colored oxidized layer; fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,1,A,,,,,
363-U1482C-1H-1-A,11,80,0.11,0.8,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,1,A,,,,,
363-U1482C-1H-2-A,0,12,1.08,1.2,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,2,A,,,,,
363-U1482C-1H-2-A,12,150,1.2,2.58,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,2,A,,,,,
363-U1482C-1H-3-A,0,150,2.58,4.08,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,3,A,,,,,
363-U1482C-1H-4-A,0,28,4.08,4.36,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,4,A,,,,,
363-U1482C-1H-4-A,28,150,4.36,5.58,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),heavy [DB86],,,,,,fragments of pteropods common; high color contrast of burrows,,,,,,,,,,,,,363,U1482,C,1,H,4,A,,,,,
363-U1482C-1H-5-A,0,45,5.58,6.03,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),heavy [DB86],,,,,,fragments of pteropods common; high color contrast of burrows,,,,,,,,,,,,,363,U1482,C,1,H,5,A,,,,,
363-U1482C-1H-5-A,45,150,6.03,7.08,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,5,A,,,,,
363-U1482C-1H-6-A,0,40,7.08,7.48,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,6,A,,,,,
363-U1482C-1H-6-A,40,150,7.48,8.58,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,6,A,,,,,
363-U1482C-1H-7-A,0,26,8.58,8.84,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,7,A,,,,,
363-U1482C-1H-7-A,26,63,8.84,9.21,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,7,A,,,,,
