Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],LITHOLOGY,REFERENCE,PREFIX,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data
323-U1340D-1H-1-A,323,U1340,D,1,1-1,H,1,A,0,60,0,0.6,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,,soft,5Y 4/3,,,,,,,,,,,,,
323-U1340D-1H-1-A,323,U1340,D,1,1-1,H,1,A,60,110,0.6,1.1,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1340D-1H-1-A,323,U1340,D,1,1-1,H,1,A,110,150,1.1,1.5,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,,soft,5Y 4/3,,,,,,,,,,,,,
323-U1340D-1H-1-A,323,U1340,D,1,1-1,H,1,A,143,150,1.43,1.5,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,50,soft,5Y 4/3,,,,,laminated,,,,,,,,
323-U1340D-1H-1-A,323,U1340,D,1,1-1,H,1,A,143,150,1.43,1.5,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,50,soft,5Y 5/3,,,,,laminated,,,,,,,,
323-U1340D-1H-2-A,323,U1340,D,1,1-2,H,2,A,0,17,1.5,1.67,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,50,soft,5Y 4/3,,,,,laminated,,,,,,,,
323-U1340D-1H-2-A,323,U1340,D,1,1-2,H,2,A,0,17,1.5,1.67,diatom ooze,Leg 323,foraminifer-bearing nannofossil-rich,foraminifer-bearing nannofossil-rich diatom ooze,50,soft,5Y 5/3,,,,,laminated,,,,,,,,
323-U1340D-1H-2-A,323,U1340,D,1,1-2,H,2,A,17,150,1.67,3,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1340D-1H-3-A,323,U1340,D,1,1-3,H,3,A,0,110,3,4.1,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1340D-1H-3-A,323,U1340,D,1,1-3,H,3,A,110,130,4.1,4.3,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1340D-1H-3-A,323,U1340,D,1,1-3,H,3,A,130,150,4.3,4.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1340D-1H-4-A,323,U1340,D,1,1-4,H,4,A,0,40,4.5,4.9,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1340D-1H-4-A,323,U1340,D,1,1-4,H,4,A,40,87,4.9,5.37,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1340D-1H-4-A,323,U1340,D,1,1-4,H,4,A,87,142,5.37,5.92,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,90,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1340D-1H-4-A,323,U1340,D,1,1-4,H,4,A,87,142,5.37,5.92,diatom ooze,Leg 323,,diatom ooze,10,soft,5Y 4/2,,,,,coarse grained isolated laminae,,,,,,,,
323-U1340D-1H-4-A,323,U1340,D,1,1-4,H,4,A,142,150,5.92,6,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1340D-1H-5-A,323,U1340,D,1,1-5,H,5,A,0,7,6,6.07,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1340D-1H-5-A,323,U1340,D,1,1-5,H,5,A,4,103,6.04,7.03,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
323-U1340D-1H-5-A,323,U1340,D,1,1-5,H,5,A,7,14,6.07,6.14,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,
