Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
371-U1511B-2R-1-A,0,131,19.8,21.11,,,,,,clay [USGS],,clay,,,10YR 5/4 (moderate yellowish brown),,,,,,clay [W22_1],1,,,sparse [B06],1,faint lighter (10YR 6/6) patches and dark blebs (sulfide) appear sheared vertically.,,,,,,,,,,clay,clay,,,
371-U1511B-2R-2-A,0,41,21.11,21.52,,,,,,clay [USGS],,clay,,,10YR 6/4 (light yellowish brown),,,,,,clay [W22_1],1,,,sparse [B06],1,faint lighter (10YR 6/6) patches and dark blebs (sulfide) appear sheared vertically.,,,,,,,,,,clay,clay,,,
371-U1511B-2R-2-A,41,68,21.52,21.79,,,,,,clay [USGS],,clay,,,10YR 7/1 (light gray),,,,,,clay [W22_1],1,,,,,,,,,,,,,,,clay,clay,,,
371-U1511B-2R-2-A,68,110,21.79,22.21,,,,,,clay [USGS],,clay,,,10YR 6/4 (light yellowish brown),,,,,,clay [W22_1],1,,,sparse [B06],1,faint lighter (10YR 6/6) patches and dark blebs (sulfide) appear sheared vertically.,,,,,,,,,,clay,clay,,,
371-U1511B-2R-3-A,0,54,22.31,22.85,,,,,,clay [USGS],,clay,,,10YR 6/4 (light yellowish brown),,,,,,clay [W22_1],1,,,sparse [B06],1,dark blebs (sulfide) appear sheared vertically.,,,,,,,,,,clay,clay,,,
371-U1511B-2R-CC-A,0,5,22.85,22.9,,,,,,clay [USGS],,clay,,,10YR 6/4 (light yellowish brown),,,,,,clay [W22_1],1,,,sparse [B06],1,faint lighter (10YR 6/6) patches and dark blebs (sulfide) appear sheared vertically.,,,,,,,,,,clay,clay,,,
371-U1511B-3R-1-A,0,24,29.4,29.64,,,,,,clay [USGS],,clay,,,10YR 6/4 (light yellowish brown),,,,,,clay [W22_1],1,,,absent,0,Likely fall-in,,,,,,,,,,clay,clay,,,
371-U1511B-3R-1-A,24,108,29.64,30.48,,,,,,clay [USGS],,clay,,,GLEY 1 5/10Y (greenish gray),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-1-A,0,143,39,40.43,,,,,,clay [USGS],,clay,,,10YR 7/4 (very pale brown),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-2-A,0,150,40.43,41.93,,,,,,clay [USGS],,clay,,,10YR 7/4 (very pale brown),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
