Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,Maj Lith. Abundance (%),MAJ Lith. Ave. gran size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1405C-1H-1-A,342,U1405,C,1,1-1,H,1,A,0,8,0,0.08,sandy [Leg339],mud [Leg339],,sandy  mud ,10YR 5/3 (brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   mud ,mud ,,,,,,
342-U1405C-1H-1-A,342,U1405,C,1,1-1,H,1,A,8,99,0.08,0.99,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10YR 5/3 (brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1405C-1H-1-A,342,U1405,C,1,1-1,H,1,A,99,150,0.99,1.5,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1405C-1H-2-A,342,U1405,C,1,1-2,H,2,A,0,55,1.5,2.05,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1405C-1H-2-A,342,U1405,C,1,1-2,H,2,A,55,88,2.05,2.38,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,"with patches of 10YR 4/2, likely disseminated manganese",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1405C-1H-2-A,342,U1405,C,1,1-2,H,2,A,88,150,2.38,3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1405C-1H-3-A,342,U1405,C,1,1-3,H,3,A,0,46,3,3.46,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1405C-1H-3-A,342,U1405,C,1,1-3,H,3,A,46,150,3.46,4.5,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10YR 6/2 (light brownish gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-1H-4-A,342,U1405,C,1,1-4,H,4,A,0,16,4.5,4.66,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10YR 6/2 (light brownish gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-1H-4-A,342,U1405,C,1,1-4,H,4,A,16,126,4.66,5.76,,clay [Leg339],,clay ,10YR 5/3 (brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-1H-4-A,342,U1405,C,1,1-4,H,4,A,126,150,5.76,6,,clay [Leg339],,clay ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-1H-5-A,342,U1405,C,1,1-5,H,5,A,0,57,6,6.57,,clay [Leg339],,clay ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-1H-CC-A,342,U1405,C,1,1-CC,H,CC,A,0,9,6.57,6.71,,clay [Leg339],,clay ,10YR 6/3 (pale brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-2H-1-A,342,U1405,C,2,2-1,H,1,A,0,150,6.7,8.2,,clay [Leg339],,clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-2H-2-A,342,U1405,C,2,2-2,H,2,A,0,50,8.2,8.7,,clay [Leg339],,clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-2H-2-A,342,U1405,C,2,2-2,H,2,A,50,53,8.7,8.73,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-2-A,342,U1405,C,2,2-2,H,2,A,53,150,8.73,9.7,,clay [Leg339],,clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-2H-3-A,342,U1405,C,2,2-3,H,3,A,0,150,9.7,11.2,,clay [Leg339],,clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-2H-4-A,342,U1405,C,2,2-4,H,4,A,0,13,11.2,11.33,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-4-A,342,U1405,C,2,2-4,H,4,A,13,120,11.33,12.4,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-4-A,342,U1405,C,2,2-4,H,4,A,120,128,12.4,12.48,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/1 (gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-4-A,342,U1405,C,2,2-4,H,4,A,128,137,12.48,12.57,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-4-A,342,U1405,C,2,2-4,H,4,A,137,150,12.57,12.7,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-5-A,342,U1405,C,2,2-5,H,5,A,0,150,12.7,14.2,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-6-A,342,U1405,C,2,2-6,H,6,A,0,14,14.2,14.34,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/4 (light yellowish brown),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-6-A,342,U1405,C,2,2-6,H,6,A,14,148,14.34,15.68,silty [Leg339],clay [Leg339],,silty  clay ,5G 5/1 (greenish gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-2H-CC-A,342,U1405,C,2,2-CC,H,CC,A,0,9,15.68,15.82,silty [Leg339],clay [Leg339],,silty  clay ,5G 5/1 (greenish gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
