Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1505C-1H-1-A,0,24,0.0,0.24,biosiliceous rich,clay [Leg339],with nannofossils [2014],biosiliceous rich clay,biosiliceous rich clay with nannofossils,,10YR 5/2 (grayish brown),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,color lighter downward; with silt to very fine sand sized forams,gradational,curved,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,1,A,
368-U1505C-1H-1-A,24,107,0.24,1.07,biosiliceous rich,clay [Leg339],with nannofossils [2014],biosiliceous rich clay,biosiliceous rich clay with nannofossils,,GLEY 1 5/10Y (greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,color darker downward; with silt to very fine sand sized forams,gradational,curved,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,1,A,
368-U1505C-1H-1-A,107,151,1.07,1.51,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 4/5GY (dark greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,"with silt to very fine sand sized forams, and 8-10 mm sized circular to oval holes",,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,1,A,
368-U1505C-1H-2-A,0,145,1.51,2.96,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 4/5GY (dark greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,"with silt to very fine sand sized forams, and 8-10 mm sized circular to oval holes",,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,2,A,
368-U1505C-1H-3-A,0,151,3.01,4.52,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 4/5GY (dark greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,"with silt to very fine sand sized forams, and 8-10 mm sized circular to oval holes",,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,3,A,
368-U1505C-1H-4-A,0,145,4.52,5.97,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 4/5GY (dark greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,"with silt to very fine sand sized forams, and 8-10 mm sized circular to oval holes",,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,4,A,
368-U1505C-1H-5-A,0,18,6.02,6.2,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 4/5GY (dark greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,"with silt to very fine sand sized forams, and 1 big dark brownish gray patch(15*60 mm)",gradational,curved,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,5,A,
368-U1505C-1H-5-A,18,151,6.2,7.53,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 5/5GY (greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,"with silt to very fine sand sized forams, and 2 big dark brownish gray patches",,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,5,A,
368-U1505C-1H-6-A,0,50,7.53,8.03,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 5/5GY (greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,6,A,
368-U1505C-1H-CC-A,0,14,8.03,8.17,nannofossil rich,clay [Leg339],with biogenic silica,nannofossil rich clay,nannofossil rich clay with biogenic silica,,GLEY 1 5/5GY (greenish gray),unlithified,clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,massive [BJ84],heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,1,H,CC,A,
