dupes and comments,Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Drilling disturbance type,Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links
,344-U1414A-1H-1-A,344,U1414,A,1,1-1,H,1,A,0,soupy,51,0,0.51,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-1H-2-A,344,U1414,A,1,1-2,H,2,A,0,,111,0.61,1.72,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-1H-CC-A,344,U1414,A,1,1-CC,H,CC,A,0,,5,1.72,1.77,minimal [drilling disturbance],1,,clay [USGS],,5Y 5/2 (olive gray),clay ,clay ,clay [W22_2],1,fine silt [W22_2],3,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-1H-CC-A,344,U1414,A,1,1-CC,H,CC,A,5,,19,1.77,1.91,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-2H-1-A,344,U1414,A,2,2-1,H,1,A,0,,131,1.9,3.21,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with nannofossils ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-2H-1-A,344,U1414,A,2,2-1,H,1,A,131,,141,3.21,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1414A-2H-2-A,344,U1414,A,2,2-2,H,2,A,0,,47,3.31,3.78,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with nannofossils ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-2H-2-A,344,U1414,A,2,2-2,H,2,A,47,,49,3.78,3.8,minimal [drilling disturbance],1,,sand [USGS],,10BG 3/1 (dark greenish gray),sand ,sand ,,,,,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-2H-2-A,344,U1414,A,2,2-2,H,2,A,49,,64,3.8,3.95,minimal [drilling disturbance],1,silty,clay [USGS],with nannofossils [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with nannofossils ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,
,344-U1414A-2H-2-A,344,U1414,A,2,2-2,H,2,A,64,,66,3.95,3.97,minimal [drilling disturbance],1,,sand [USGS],,10BG 3/1 (dark greenish gray),sand ,sand ,,,,,,,,,,,,,,,,,common [B06],4,,,,
