Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color (name),Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,"Dominant grain size (Wentworth, 1922)",Clastic grain roundness,Lithification,Lithology comments,File Data,Unnamed: 24
334-U1380A-2R-1-A,334,U1380,A,2,2-1,R,1,A,0,162,397.0,398.62,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variably calcareous,,
334-U1380A-2R-2-A,334,U1380,A,2,2-2,R,2,A,0,150,398.62,400.12,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variably calcareous,,
334-U1380A-2R-3-A,334,U1380,A,2,2-3,R,3,A,0,150,400.12,401.62,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variably calcareous,,
334-U1380A-2R-4-A,334,U1380,A,2,2-4,R,4,A,0,110,401.62,402.72,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variably calcareous,,
334-U1380A-2R-CC-A,334,U1380,A,2,2-CC,R,CC,A,0,5,402.72,402.77,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variably calcareous,,
334-U1380A-3R-1-A,334,U1380,A,3,3-1,R,1,A,0,120,406.6,407.8,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variable calcareous,,
334-U1380A-3R-2-A,334,U1380,A,3,3-2,R,2,A,0,143,407.8,409.23,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variable calcareous,,
334-U1380A-3R-3-A,334,U1380,A,3,3-3,R,3,A,0,150,409.23,410.73,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variable calcareous,,
334-U1380A-3R-4-A,334,U1380,A,3,3-4,R,4,A,0,77,410.73,411.5,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variable calcareous,,
334-U1380A-3R-CC-A,334,U1380,A,3,3-CC,R,CC,A,0,5,411.5,411.55,10GY 3/1,,clayey siltstone [S54],"Shepard, 1954",,clayey siltstone,silt [U14W22],,lithified,variable calcareous,,
334-U1380A-4R-1-A,334,U1380,A,4,4-1,R,1,A,0,79,415.5,416.29,10GY 3/1,,sand-silt-claystone [S54],"Shepard, 1954",,sand-silt-claystone,clay [U14W22],,lithified,Frequent cm-thick coarse-sand horizons. Variably calcareous.,,
334-U1380A-4R-2-A,334,U1380,A,4,4-2,R,2,A,0,150,416.29,417.79,10GY 3/1,,sand-silt-claystone [S54],"Shepard, 1954",,sand-silt-claystone,clay [U14W22],,lithified,Frequent cm-thick coarse-sand horizons. Variably calcareous.,,
334-U1380A-4R-3-A,334,U1380,A,4,4-3,R,3,A,0,81,417.79,418.6,10GY 3/1,,sand-silt-claystone [S54],"Shepard, 1954",,sand-silt-claystone,clay [U14W22],,lithified,Frequent cm-thick coarse-sand horizons. Variably calcareous.,,
334-U1380A-4R-4-A,334,U1380,A,4,4-4,R,4,A,0,150,418.6,420.1,10GY 3/1,,sand-silt-claystone [S54],"Shepard, 1954",,sand-silt-claystone,clay [U14W22],,lithified,Frequent cm-thick coarse-sand horizons. Variably calcareous.,,
334-U1380A-4R-5-A,334,U1380,A,4,4-5,R,5,A,0,127,420.1,421.37,10GY 3/1,,sand-silt-claystone [S54],"Shepard, 1954",,sand-silt-claystone,clay [U14W22],,lithified,Frequent cm-thick coarse-sand horizons. Variably calcareous.,,
334-U1380A-4R-CC-A,334,U1380,A,4,4-CC,R,CC,A,0,20,421.37,421.57,10GY 3/1,,sand-silt-claystone [S54],"Shepard, 1954",,sand-silt-claystone,clay [U14W22],,lithified,Frequent cm-thick coarse-sand horizons. Variably calcareous.,,
334-U1380A-5R-1-A,334,U1380,A,5,5-1,R,1,A,0,150,425.2,426.7,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-2-A,334,U1380,A,5,5-2,R,2,A,0,130,426.7,428.0,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-3-A,334,U1380,A,5,5-3,R,3,A,0,113,428.0,429.13,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-4-A,334,U1380,A,5,5-4,R,4,A,0,150,429.13,430.63,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-5-A,334,U1380,A,5,5-5,R,5,A,0,29,430.63,430.92,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-5-A,334,U1380,A,5,5-5,R,5,A,29,34,430.92,430.97,10YR 6/3,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,lithified,,,
334-U1380A-5R-5-A,334,U1380,A,5,5-5,R,5,A,34,138,430.97,432.01,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-5-A,334,U1380,A,5,5-5,R,5,A,138,143,432.01,432.06,10YR 4/2,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,lithified,,,
334-U1380A-5R-5-A,334,U1380,A,5,5-5,R,5,A,143,147,432.06,432.1,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-6-A,334,U1380,A,5,5-6,R,6,A,0,72,432.1,432.82,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-5R-CC-A,334,U1380,A,5,5-CC,R,CC,A,0,20,432.82,433.02,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-6R-1-A,334,U1380,A,6,6-1,R,1,A,0,80,434.5,435.3,10GY 3/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,consolidated,,,
334-U1380A-6R-2-A,334,U1380,A,6,6-2,R,2,A,0,95,435.3,436.25,10GY 3/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,consolidated,,,
334-U1380A-6R-3-A,334,U1380,A,6,6-3,R,3,A,0,20,436.25,436.45,10GY 3/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,consolidated,,,
334-U1380A-6R-3-A,334,U1380,A,6,6-3,R,3,A,20,120,436.45,437.45,10GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,sand [U14W22],,consolidated,,,
334-U1380A-6R-4-A,334,U1380,A,6,6-4,R,4,A,0,62,437.45,438.07,10GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,sand [U14W22],,consolidated,,,
334-U1380A-6R-CC-A,334,U1380,A,6,6-CC,R,CC,A,0,20,438.07,438.27,10GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,sand [U14W22],,consolidated,,,
334-U1380A-7R-1-A,334,U1380,A,7,7-1,R,1,A,0,27,444.2,444.47,5GY 2.5/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,lithified,,,
334-U1380A-7R-1-A,334,U1380,A,7,7-1,R,1,A,27,100,444.47,445.2,5GY 2.5/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,lithified,,,
334-U1380A-7R-2-A,334,U1380,A,7,7-2,R,2,A,0,115,445.2,446.35,5GY 2.5/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,lithified,,,
334-U1380A-7R-3-A,334,U1380,A,7,7-3,R,3,A,0,27,446.35,446.62,5GY 2.5/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,lithified,,,
334-U1380A-7R-3-A,334,U1380,A,7,7-3,R,3,A,27,37,446.62,446.72,5GY 2.5/1,clay,silty sand [S54],"Shepard, 1954",,clay silty sand,fine sand [U14W22],,lithified,,,
334-U1380A-7R-3-A,334,U1380,A,7,7-3,R,3,A,37,135,446.72,447.7,5GY 2.5/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,lithified,,,
334-U1380A-7R-4-A,334,U1380,A,7,7-4,R,4,A,0,136,447.7,449.06,5GY 2.5/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,lithified,,,
334-U1380A-7R-5-A,334,U1380,A,7,7-5,R,5,A,0,87,449.06,449.93,5GY 2.5/1,sandy,clayey silt [S54],"Shepard, 1954",,sandy clayey silt,silt [U14W22],,lithified,,,
334-U1380A-7R-5-A,334,U1380,A,7,7-5,R,5,A,87,90,449.93,449.96,black,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,lithified,,,
334-U1380A-7R-5-A,334,U1380,A,7,7-5,R,5,A,90,143,449.96,450.49,5GY 2.5/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-7R-6-A,334,U1380,A,7,7-6,R,6,A,0,122,450.49,451.71,5GY 2.5/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-7R-7-A,334,U1380,A,7,7-7,R,7,A,0,77,451.71,452.48,5GY 2.5/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-7R-CC-A,334,U1380,A,7,7-CC,R,CC,A,0,18,452.48,452.66,5GY 2.5/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,lithified,,,
334-U1380A-8R-1-A,334,U1380,A,8,8-1,R,1,A,0,141,453.7,455.11,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-8R-2-A,334,U1380,A,8,8-2,R,2,A,0,139,455.11,456.5,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-8R-3-A,334,U1380,A,8,8-3,R,3,A,0,150,456.5,458.0,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-8R-4-A,334,U1380,A,8,8-4,R,4,A,0,120,458.0,459.2,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-8R-CC-A,334,U1380,A,8,8-CC,R,CC,A,0,5,459.2,459.25,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-9R-1-A,334,U1380,A,9,9-1,R,1,A,0,100,463.3,464.3,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-9R-2-A,334,U1380,A,9,9-2,R,2,A,0,130,464.3,465.6,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-9R-3-A,334,U1380,A,9,9-3,R,3,A,0,51,465.6,466.11,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-9R-CC-A,334,U1380,A,9,9-CC,R,CC,A,0,22,466.11,466.33,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,lithified,,,
334-U1380A-10R-1-A,334,U1380,A,10,10-1,R,1,A,0,130,472.8,474.1,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,silt [U14W22],,lithified,Section 1 contains fracture zones.,,
334-U1380A-10R-2-A,334,U1380,A,10,10-2,R,2,A,0,36,474.1,474.46,2.5YR 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,lithified,,,
334-U1380A-10R-2-A,334,U1380,A,10,10-2,R,2,A,36,65,474.46,474.75,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,silt [U14W22],,lithified,,,
334-U1380A-10R-3-A,334,U1380,A,10,10-3,R,3,A,0,72,474.75,475.47,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,silt [U14W22],,lithified,,,
334-U1380A-10R-4-A,334,U1380,A,10,10-4,R,4,A,0,150,475.47,476.97,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,silt [U14W22],,lithified,,,
334-U1380A-10R-5-A,334,U1380,A,10,10-5,R,5,A,0,120,476.97,478.17,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,silt [U14W22],,lithified,,,
334-U1380A-10R-6-A,334,U1380,A,10,10-6,R,6,A,0,146,478.17,479.63,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,silt [U14W22],,lithified,,,
334-U1380A-10R-CC-A,334,U1380,A,10,10-CC,R,CC,A,0,12,479.63,479.75,5GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,silt [U14W22],,lithified,,,
