Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
361,U1474,D,10,10-6,H,6,A,0,150,84.5,86,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"light diagenetic stratification, pyritized burrows at 2-5 and 78 cm",,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474D-10H-6-A,,,,
361,U1474,D,10,10-7,H,7,A,0,54,86,86.54,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, pyritized burrow at 27-29 cm",,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474D-10H-7-A,,,,
361,U1474,D,10,10-CC,H,CC,A,0,32,86.54,86.86,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,light diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474D-10H-CC-A,,,,
361,U1474,D,11,11-1,H,1,A,0,112,86.5,87.62,,,,,,,,,,,,,,,,,,,,,,burrows,slight,1,,,,,,,,,,361-U1474D-11H-1-A,,,,
361,U1474,D,11,11-1,H,1,A,0,112,86.5,87.62,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,Chondrites,slight,1,,mineral,pyrite,,,,,,,361-U1474D-11H-1-A,,,,
361,U1474,D,11,11-1,H,1,A,112,116,87.62,87.66,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,irregular,bioturbated,,,,,,,,,,,,,,,,,361-U1474D-11H-1-A,,,,
361,U1474,D,11,11-1,H,1,A,116,150,87.66,88,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,curviplanar,scoured,,,,,burrows,moderate,2,,,,,,,,,,361-U1474D-11H-1-A,,,,
361,U1474,D,11,11-2,H,2,A,0,150,88,89.5,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474D-11H-2-A,,,,
361,U1474,D,11,11-3,H,3,A,0,150,89.5,91,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474D-11H-3-A,,,,
361,U1474,D,11,11-4,H,4,A,0,150,91,92.5,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474D-11H-4-A,,,,
