Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,COMMENT,File Data,Unnamed: 24,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
317-U1352D-1H-1-A,317,U1352,D,1,1-1,H,1,A,0,135,0.0,1.35,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",p sorted v f to fine (mostly fine) calcareous sandy mud,,,,,
317-U1352D-1H-1-A,317,U1352,D,1,1-1,H,1,A,135,150,1.35,1.5,,Clay [S54] ,,Clay,,soft,,,,v f sandy clay,,,,,
317-U1352D-1H-2-A,317,U1352,D,1,1-2,H,2,A,0,116,1.5,2.66,,Clay [S54] ,,Clay,,soft,,,,v f sandy clay,,,,,
317-U1352D-1H-2-A,317,U1352,D,1,1-2,H,2,A,116,121,2.66,2.71,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision","micaceous, v f sandy mud with darker gray medium to fine well sorted sand and lighter clay layers.",,,,,
317-U1352D-1H-3-A,317,U1352,D,1,1-3,H,3,A,0,65,2.71,3.36,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision","micaceous, v f sandy mud with darker gray medium to fine well sorted sand and lighter clay layers.",,,,,
317-U1352D-1H-CC-A,317,U1352,D,1,1-CC,H,CC,A,0,18,3.36,3.54,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision","micaceous, v f sandy mud with darker gray medium to fine well sorted sand and lighter clay layers.",,,,,
317-U1352D-2H-1-A,317,U1352,D,2,2-1,H,1,A,0,150,3.5,5.0,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-2-A,317,U1352,D,2,2-2,H,2,A,0,150,5.0,6.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-3-A,317,U1352,D,2,2-3,H,3,A,0,34,6.5,6.84,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-3-A,317,U1352,D,2,2-3,H,3,A,34,44,6.84,6.94,,Clay [S54] ,,Clay,,,,,,more lighter gray clay.,,,,,
317-U1352D-2H-3-A,317,U1352,D,2,2-3,H,3,A,44,150,6.94,8.0,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-4-A,317,U1352,D,2,2-4,H,4,A,0,49,8.0,8.49,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-4-A,317,U1352,D,2,2-4,H,4,A,49,60,8.49,8.6,,Clay [S54] ,,Clay,,,,,,more lighter gray clay.,,,,,
317-U1352D-2H-4-A,317,U1352,D,2,2-4,H,4,A,60,150,8.6,9.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-5-A,317,U1352,D,2,2-5,H,5,A,0,36,9.5,9.86,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-5-A,317,U1352,D,2,2-5,H,5,A,36,46,9.86,9.96,,Clay [S54] ,,Clay,,,,,,more lighter gray clay.,,,,,
317-U1352D-2H-5-A,317,U1352,D,2,2-5,H,5,A,46,110,9.96,10.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-5-A,317,U1352,D,2,2-5,H,5,A,110,124,10.6,10.74,,Clay [S54] ,,Clay,,,,,,more lighter gray clay.,,,,,
317-U1352D-2H-5-A,317,U1352,D,2,2-5,H,5,A,124,150,10.74,11.0,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-6-A,317,U1352,D,2,2-6,H,6,A,0,52,11.0,11.52,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-6-A,317,U1352,D,2,2-6,H,6,A,52,74,11.52,11.74,,Clay [S54] ,,Clay,,,,,,more lighter gray clay.,,,,,
317-U1352D-2H-6-A,317,U1352,D,2,2-6,H,6,A,74,150,11.74,12.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-7-A,317,U1352,D,2,2-7,H,7,A,0,67,12.5,13.17,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-2H-CC-A,317,U1352,D,2,2-CC,H,CC,A,0,15,13.17,13.32,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","gray v.f. micaceous sandy mud; bioturbated alternated clay-richer sandy mud/ v.f. sandy mud (mm-5cm scale), no shells. ",,,,,
317-U1352D-3H-1-A,317,U1352,D,3,3-1,H,1,A,0,36,13.0,13.36,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",well sorted v f sandy mud. Non calcareous and lacking shells.,,,,,
317-U1352D-3H-1-A,317,U1352,D,3,3-1,H,1,A,36,39,13.36,13.39,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-1-A,317,U1352,D,3,3-1,H,1,A,39,90,13.39,13.9,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-1-A,317,U1352,D,3,3-1,H,1,A,90,93,13.9,13.93,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-1-A,317,U1352,D,3,3-1,H,1,A,93,146,13.93,14.46,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,0,8,14.47,14.55,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,8,11,14.55,14.58,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,11,16,14.58,14.63,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,16,30,14.63,14.77,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,30,32,14.77,14.79,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,32,52,14.79,14.99,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,52,54,14.99,15.01,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,54,79,15.01,15.26,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,79,81,15.26,15.28,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,81,88,15.28,15.35,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,88,104,15.35,15.51,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,104,117,15.51,15.64,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,117,119,15.64,15.66,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,119,129,15.66,15.76,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,129,130,15.76,15.77,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-2-A,317,U1352,D,3,3-2,H,2,A,130,150,15.77,15.97,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,0,5,15.97,16.02,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,5,15,16.02,16.12,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,15,17,16.12,16.14,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,17,38,16.14,16.35,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,38,70,16.35,16.67,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,70,85,16.67,16.82,,Clay [S54] ,,Clay,,soft,,,,,,,,,
