Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
354-U1450B-2R-1-A,0,74,608,608.74,,,silt [Leg210],with plant fragments [2014],silt,silt with plant fragments,silt with plant fragments,,gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1450,B,2,R,1,A,
354-U1450B-2R-1-A,74,150,608.74,609.5,,,clay [Leg210],,clay,clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1450,B,2,R,1,A,
354-U1450B-2R-2-A,0,100,609.5,610.5,,,clay [Leg210],,clay,clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1450,B,2,R,2,A,
354-U1450B-2R-3-A,0,35,610.5,610.85,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1450,B,2,R,3,A,
354-U1450B-2R-3-A,35,58,610.85,611.08,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,,,,,354,U1450,B,2,R,3,A,
354-U1450B-3R-1-A,0,19,617.8,617.99,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,,,,,,,,,354,U1450,B,3,R,1,A,
354-U1450B-3R-1-A,19,21,617.99,618.01,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1450,B,3,R,1,A,
354-U1450B-3R-1-A,21,23,618.01,618.03,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1450,B,3,R,1,A,
354-U1450B-4R-CC-A,0,12,627.5,627.62,,nannofossil rich,calcareous claystone,,nannofossil rich calcareous claystone,nannofossil rich calcareous claystone,calcareous claystone,,light gray,,,,,,,,burrows,,,,,,,,354,U1450,B,4,R,CC,A,
354-U1450B-7R-1-A,0,130,656.6,657.9,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,severley deforemed by coring.,,,,354,U1450,B,7,R,1,A,
354-U1450B-7R-1-A,130,150,657.9,658.1,,,clay [Leg210],with carbonates,clay,clay with carbonates,clay with carbonates,,gray,,,,,,,,,,,,,,,,354,U1450,B,7,R,1,A,
354-U1450B-7R-2-A,0,28,658.1,658.38,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1450,B,7,R,2,A,
354-U1450B-7R-2-A,28,40,658.38,658.5,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1450,B,7,R,2,A,
354-U1450B-7R-2-A,40,80,658.5,658.9,,,silt [Leg210],with plant fragments [2014],silt,silt with plant fragments,silt with plant fragments,,gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1450,B,7,R,2,A,
354-U1450B-7R-2-A,80,150,658.9,659.6,,,calcareous claystone,,calcareous claystone,calcareous claystone,calcareous claystone,,light gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,burrows,,,,,,,,354,U1450,B,7,R,2,A,
354-U1450B-7R-3-A,0,80,659.6,660.4,,,calcareous claystone,,calcareous claystone,calcareous claystone,calcareous claystone,,light gray,,,thin bed [B01],claystone [Leg210],thin bed [B01],,,burrows,,,,,,,,354,U1450,B,7,R,3,A,
354-U1450B-7R-CC-A,0,10,660.4,660.5,,,calcareous claystone,,calcareous claystone,calcareous claystone,calcareous claystone,,light gray,,,,,,,,burrows,,,,,,,,354,U1450,B,7,R,CC,A,
354-U1450B-8R-CC-A,0,9,666.3,666.39,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,T,,,,,,,,,,354,U1450,B,8,R,CC,A,
354-U1450B-9R-1-A,0,108,676,677.08,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,parallel lamination,,,,,,,,354,U1450,B,9,R,1,A,
354-U1450B-9R-2-A,0,71,677.08,677.79,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,parallel lamination,,,,,,,,354,U1450,B,9,R,2,A,
354-U1450B-9R-CC-A,0,15,677.79,677.94,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,parallel lamination,,,,,,,,354,U1450,B,9,R,CC,A,
354-U1450B-10R-1-A,0,52,685.7,686.22,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,parallel lamination,,,,,,,,354,U1450,B,10,R,1,A,
354-U1450B-10R-CC-A,0,5,686.22,686.27,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,parallel lamination,,,,,,,,354,U1450,B,10,R,CC,A,
354-U1450B-11R-1-A,0,11,695.4,695.51,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,bioturbated,sub-horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,parallel lamination,,,,,,,,354,U1450,B,11,R,1,A,
