Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
371-U1508A-1H-1-A,0,125,0,1.25,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,interval severely disturbed. Trace of bioclasts,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-1-A,0,117,1.3,2.47,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,"Very few black grains in top 40 cm. Faint lighter interval 60-66, but very disturbed.",,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-2-A,0,120,2.47,3.67,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-3-A,0,129,3.67,4.96,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-4-A,0,127,4.96,6.23,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-5-A,0,137,6.23,7.6,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-6-A,0,39,7.65,8.04,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-6-A,39,60,8.04,8.25,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,5Y 6/3 (pale olive),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-6-A,60,99,8.25,8.64,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-2H-CC-A,0,10,8.64,8.74,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-3H-1-A,0,112,10.8,11.92,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
371-U1508A-3H-2-A,0,112,11.92,13.04,,,,,,foraminiferal ooze [Leg339],with bioclasts,foraminiferal ooze with bioclasts,,,2.5Y 8/1 (white),,,,,,medium sand [W22_2],5,,,,,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with bioclasts,,,
