Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1430B-1H-6-A,33.0,59.0,7.83,8.09,,silty clay ,with foraminifers ,silty clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,6,A
346-U1430B-2H-1-A,0.0,27.0,8.3,8.57,calcareous bearing,silty clay ,,calcareous bearing silty clay ,,,,,5GY 7/1 (light greenish gray),,,,,,,,,,,,,,,,,calcareous bearing  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,1,A
346-U1430B-2H-1-A,27.0,65.0,8.57,8.95,,silty clay ,with foraminifers ,silty clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,1,A
346-U1430B-2H-1-A,65.0,74.0,8.95,9.04,,tephra ,,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,1,A
346-U1430B-2H-2-A,0.0,10.0,9.8,9.9,volcaniclastic bearing,clay ,,volcaniclastic bearing clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,volcaniclastic bearing  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,2,A
346-U1430B-2H-2-A,10.0,16.0,9.9,9.96,,tephra ,,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,2,A
346-U1430B-2H-2-A,16.0,131.0,9.96,11.11,volcaniclastic bearing,clay ,,volcaniclastic bearing clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,volcaniclastic bearing  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,2,A
346-U1430B-2H-2-A,131.0,141.0,11.11,11.21,,tephra ,,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,2,A
346-U1430B-2H-2-A,141.0,150.0,11.21,11.3,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,2,A
346-U1430B-2H-3-A,0.0,57.0,11.3,11.87,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,3,A
346-U1430B-2H-3-A,57.0,57.5,11.87,11.875,,silty clay ,with foraminifers ,silty clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,3,A
346-U1430B-2H-3-A,57.5,58.0,11.875,11.88,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,3,A
346-U1430B-2H-3-A,58.0,80.0,11.88,12.1,,silty clay ,with foraminifers ,silty clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,3,A
346-U1430B-2H-3-A,80.0,98.5,12.1,12.285,,silty clay ,,silty clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,3,A
346-U1430B-2H-3-A,98.5,99.0,12.285,12.29,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,3,A
346-U1430B-2H-3-A,99.0,150.0,12.29,12.8,,silty clay ,,silty clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,3,A
346-U1430B-2H-4-A,0.0,20.0,12.8,13.0,,clayey silt ,,clayey silt ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,2,H,4,A
