Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466B-2R-1-A,0,3,314.0,314.03,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/3 (pale yellow),medium sand,5,Calcareous bioclast,,,,,,,,,,,,complete,6,,,,Packstone. Well-sorted fine to medium-grained.,,,,359,U1466,B,2,R,1,A
359-U1466B-2R-1-A,3,19,314.03,314.19,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,gradational,horizontal,Packstone. Well-sorted fine to medium-grained.,,,,359,U1466,B,2,R,1,A
359-U1466B-2R-1-A,19,32,314.19,314.32,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 5/2 (grayish brown),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,foraminifera (planktic),,intraclast,Black grains.,,,,,complete,6,,bioturbated,horizontal,"Packstone. Fine- to medium-grained, well-sorted. Bioclatics (A), forams (Planktic and benthic) (C), black grains (Mn oxides) (P), distinct flattened ichnofossils.",,,,359,U1466,B,2,R,1,A
359-U1466B-2R-1-A,32,50,314.32,314.5,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,gradational,horizontal,"Packstone, re-crystallized, fine- to medium-grained, well-sorted, cemented, top appear to be more dolomitized, Reacts with HCl",,,,359,U1466,B,2,R,1,A
359-U1466B-2R-1-A,50,58,314.5,314.58,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,bioturbated,horizontal,"Packstone. Fine- to medium-grained, well-sorted, Abundant ichnofossils (compacted), Black grains.",,,,359,U1466,B,2,R,1,A
359-U1466B-2R-1-A,58,85,314.58,314.85,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,gradational,horizontal,"Recrystallized packstone. Fine- to medium-grains, well-sorted. Recrystallized cementation,",,,,359,U1466,B,2,R,1,A
359-U1466B-2R-1-A,85,133,314.85,315.33,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 5/3 (light olive brown),medium sand,5,,,,,,,,,,,,,complete,6,,gradational,horizontal,"Recrystallized packstone. Fine- to medium-grains, well-sorted. Recrystallized cementation,",,,,359,U1466,B,2,R,1,A
359-U1466B-2R-1-A,133,146,315.33,315.46,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 5/2 (grayish brown),very fine sand,3,foraminifera (benthic),,Calcareous bioclast,,foraminifera (planktic),,,,,,,,complete,6,,,,"Recrystallized grainstone. Fine- to medium-grains, well-sorted. Recrystallized cementation,",,,,359,U1466,B,2,R,1,A
359-U1466B-2R-2-A,0,86,315.47,316.33,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (benthic),,Bivalve,,,,,,,,,,moderate,3,Planolites,sharp,horizontal,"Recrystallized packstone. Ichnofossils (A), round and ellipsoidal burrows, Planolites (P).",,,,359,U1466,B,2,R,2,A
359-U1466B-2R-2-A,86,110,316.33,316.57,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/2 (light gray),medium sand,5,foraminifera (benthic),,,,,,,,,,,,moderate,3,,,,packstone. Partially dissolved bivalves shells (P),,,,359,U1466,B,2,R,2,A
