Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data
329-U1370F-1H-1-A,329.0,U1370,F,1.0,1-1,H,1,A,0.0,90.0,0.0,0.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-1H-1-A,329.0,U1370,F,1.0,1-1,H,1,A,140.0,150.0,1.4,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-1H-2-A,329.0,U1370,F,1.0,1-2,H,2,A,140.0,150.0,2.9,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-1H-3-A,329.0,U1370,F,1.0,1-3,H,3,A,10.0,20.0,3.1,3.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-1H-3-A,329.0,U1370,F,1.0,1-3,H,3,A,100.0,150.0,4.0,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-1H-4-A,329.0,U1370,F,1.0,1-4,H,4,A,50.0,150.0,5.0,6.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-1H-5-A,329.0,U1370,F,1.0,1-5,H,5,A,0.0,59.0,6.0,6.59,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-1H-CC-A,329.0,U1370,F,1.0,1-CC,H,CC,A,0.0,14.0,6.59,6.73,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-2H-1-A,329.0,U1370,F,2.0,2-1,H,1,A,0.0,60.0,6.7,7.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-2H-1-A,329.0,U1370,F,2.0,2-1,H,1,A,110.0,150.0,7.8,8.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-2H-2-A,329.0,U1370,F,2.0,2-2,H,2,A,0.0,150.0,8.2,9.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-2H-3-A,329.0,U1370,F,2.0,2-3,H,3,A,90.0,150.0,10.6,11.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-2H-4-A,329.0,U1370,F,2.0,2-4,H,4,A,0.0,150.0,11.2,12.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-2H-5-A,329.0,U1370,F,2.0,2-5,H,5,A,30.0,124.0,13.0,13.94,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-2H-CC-A,329.0,U1370,F,2.0,2-CC,H,CC,A,0.0,18.0,13.94,14.12,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-3H-1-A,329.0,U1370,F,3.0,3-1,H,1,A,0.0,150.0,16.2,17.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-3H-2-A,329.0,U1370,F,3.0,3-2,H,2,A,80.0,150.0,18.5,19.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-3H-3-A,329.0,U1370,F,3.0,3-3,H,3,A,0.0,150.0,19.2,20.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-3H-4-A,329.0,U1370,F,3.0,3-4,H,4,A,0.0,150.0,20.7,22.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-3H-5-A,329.0,U1370,F,3.0,3-5,H,5,A,40.0,120.0,22.6,23.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-3H-6-A,329.0,U1370,F,3.0,3-6,H,6,A,0.0,39.0,23.4,23.79,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-3H-CC-A,329.0,U1370,F,3.0,3-CC,H,CC,A,0.0,15.0,23.79,23.94,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-4H-1-A,329.0,U1370,F,4.0,4-1,H,1,A,0.0,150.0,25.7,27.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-4H-2-A,329.0,U1370,F,4.0,4-2,H,2,A,0.0,150.0,27.2,28.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-4H-3-A,329.0,U1370,F,4.0,4-3,H,3,A,0.0,150.0,28.7,30.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-4H-4-A,329.0,U1370,F,4.0,4-4,H,4,A,0.0,150.0,30.2,31.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-4H-5-A,329.0,U1370,F,4.0,4-5,H,5,A,0.0,133.0,31.7,33.03,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-4H-6-A,329.0,U1370,F,4.0,4-6,H,6,A,0.0,50.0,33.03,33.53,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-4H-CC-A,329.0,U1370,F,4.0,4-CC,H,CC,A,0.0,15.0,33.53,33.68,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-5H-1-A,329.0,U1370,F,5.0,5-1,H,1,A,0.0,150.0,35.2,36.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-5H-2-A,329.0,U1370,F,5.0,5-2,H,2,A,90.0,150.0,37.6,38.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-5H-3-A,329.0,U1370,F,5.0,5-3,H,3,A,0.0,140.0,38.2,39.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-5H-4-A,329.0,U1370,F,5.0,5-4,H,4,A,0.0,140.0,39.7,41.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-5H-5-A,329.0,U1370,F,5.0,5-5,H,5,A,0.0,20.0,41.2,41.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-5H-5-A,329.0,U1370,F,5.0,5-5,H,5,A,60.0,140.0,41.8,42.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
