Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name
363-U1484A-2H-4-A,35,40.0,9.85,9.9,,sand [Leg210],sand,normal grading,N 4 (dark gray),moderate [DB86],,,,,,sand layer with sharp bottom contact and normal grading,,,,,,,,,,,,,363,U1484,A,2,H,4,A,,,,
363-U1484A-2H-4-A,40,59.0,9.9,10.09,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,2,H,4,A,,,,
363-U1484A-2H-4-A,59,70.0,10.09,10.2,,sand [Leg210],sand,normal grading,N 4 (dark gray),moderate [DB86],,,,,,sand layer with sharp bottom contact and normal grading,,,,,,,,,,,,,363,U1484,A,2,H,4,A,,,,
363-U1484A-2H-4-A,70,150.0,10.2,11.0,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,2,H,4,A,,,,
363-U1484A-2H-5-A,0,150.0,11.0,12.5,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,sand layers 44-45 and 112-113 cm with sharp bottom contacts and normal grading,,,,,,,,,,,,,363,U1484,A,2,H,5,A,,,,
363-U1484A-2H-6-A,0,145.0,12.5,13.95,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,mottling [BJ80],5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,sand layers: 35-38 and 47-49 cm; layer from 47-49 cm has many shell fragments in sand layer; 87 cm to the base color mottles,,,,,,,,,,,,,363,U1484,A,2,H,6,A,,,,
363-U1484A-2H-7-A,0,66.0,14.0,14.66,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,mottling [BJ80],5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,2,H,7,A,,,,
363-U1484A-2H-CC-A,0,14.0,14.66,14.8,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,mottling [BJ80],5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,2,H,CC,A,,,,
363-U1484A-3H-1-A,0,151.0,14.5,16.01,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"sand layer 71-72 cm, sulfide minerals appear at 42 cm and continue throughout the rest of core",,,,,,,,,,,,,363,U1484,A,3,H,1,A,,,,
363-U1484A-3H-2-A,0,150.0,16.01,17.51,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"sand layer 58-61 cm; sulfide minerals, organic debris patch at 54 cm",,,,,,,,,,,,,363,U1484,A,3,H,2,A,,,,
