Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
354-U1452A-1H-1-A,0,33,0.0,0.33,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,bioturbated,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1452,A,1,H,1,A,,,
354-U1452A-1H-1-A,33,87,0.33,0.87,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,bioturbated,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1452,A,1,H,1,A,,,
354-U1452A-1H-1-A,87,101,0.87,1.01,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1452,A,1,H,1,A,,,
354-U1452A-1H-2-A,0,39,1.0,1.39,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1452,A,1,H,2,A,,,
354-U1452A-1H-2-A,39,53,1.39,1.53,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,sub-horizontal,,,,,,mottling [BJ80],,,,slightly lighter than layer above and below,,,,354,U1452,A,1,H,2,A,,,
354-U1452A-1H-2-A,53,79,1.53,1.79,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp planar,inclined,,,,,,mottling [BJ80],,,,,,,,354,U1452,A,1,H,2,A,,,
354-U1452A-1H-2-A,79,108,1.79,2.08,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,sharp planar,inclined,,,,,,normally graded,,,,layer disturbed and separated into three parts presumably by coring,,,,354,U1452,A,1,H,2,A,,,
354-U1452A-1H-2-A,108,126,2.08,2.26,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,bioturbated,sub-horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1452,A,1,H,2,A,,,
354-U1452A-1H-2-A,126,142,2.26,2.42,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,sub-horizontal,,,,,,mottling [BJ80],,,,single prominent burrows 131-136 cm,,,,354,U1452,A,1,H,2,A,,,
354-U1452A-1H-2-A,142,150,2.42,2.5,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1452,A,1,H,2,A,,,
