Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],List of pieces (read only),Lithological unit number,Degree of alteration,Lithology prefix,Principal lithology,Lithology suffix,Complete lithology name,Contact type,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Igneous texture 1,Igneous texture 2,Color,Texture comment,Groundmass modal percent [%],Groundmass crystal size [mm],Grain size distribution,Groundmass comments,Glass abundance (read only) [%],Altered glass (palagonite) abundance [%],Fresh glass,Glass preservation comment,Phenocryst 1 (most abundant),Phenocryst 1 abundance [%],Phenocryst 1 size MAX [mm],Phenocryst 1 size MODE [mm],Phenocryst 1 shape,Phenocryst 1 shape rank,Phenocryst 1 comments,Phenocryst 2 (2nd most abundant),Phenocryst 2 abundance [%],Phenocryst 2 size MAX [mm],Phenocryst 2 size MODE [mm],Phenocryst 2 shape,Phenocryst 2 shape rank,Phenocryst 2 comments,Phenocryst 3 (3rd most abundant),Phenocryst 3 abundance [%],Phenocryst 3 size MAX [mm],Phenocryst 3 size MODE [mm],Phenocryst 3 shape,Phenocryst 3 shape rank,Phenocryst 3 comments,Total phenocryst abundance [%],Accessory mineral 1 (<1 Vol. %),Accessory mineral 2 (<1 Vol. %),Accessory mineral (comments),Vesicle abundance,Vesicle size MAX [mm],Vesicle size MODE [mm],Vesicle roundness,Vesicle sphericity,Vesicle filling,Vesicle comments,Veins,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
376-U1528D-21R-1-A,0,139,152.9,154.29,,2b,moderately altered,plagioclase phyric,dacite,lava,plagioclase phyric dacite lava,,,,,glomeroporphyritic,,GLEY 2 3/5PB (very dark bluish gray),some pieces show aligned open vesicles that indicate a flow texture; the rock is intensely fractured by hydrothermal processes but fractures are thin and individual 'clasts' can be still tied together,95,,,"microcrystalline, patchy alteration",,,,,plagioclase,5,2,1.0,euhedral,,Probably fresh or only partially altered,,,,,,,,,,,,,,,5,,,,sparsely vesicular,5,1,sub-rounded,low (irregular),absent,Secondary minerals (anhydrite?) grow in the vesicles,,,,,,,,,,,,,,,,,,,376,U1528,D,21,R,1,A
376-U1528D-21R-2-A,0,46,154.4,154.86,,2b,moderately altered,plagioclase phyric,dacite,lava,plagioclase phyric dacite lava,,,,,glomeroporphyritic,,GLEY 2 3/5PB (very dark bluish gray),some pieces show aligned open vesicles that indicate a flow texture; the rock is intensely fractured by hydrothermal processes but fractures are thin and individual 'clasts' can be still tied together,95,,,"microcrystalline, patchy alteration",,,,,plagioclase,5,2,1.0,euhedral,,Probably fresh or only partially altered,,,,,,,,,,,,,,,5,,,,sparsely vesicular,5,1,sub-rounded,low (irregular),absent,Secondary minerals (anhydrite?) grow in the vesicles,,,,,,,,,,,,,,,,,,,376,U1528,D,21,R,2,A
376-U1528D-22R-1-A,0,146,157.7,159.16,,2b,highly altered,,volcanic,,volcanic,,,,,,,GLEY 2 4/10B (dark bluish gray),"Some pieces show plag pseudomorphs and open vesicles, partly coated with anhydrite? and pyrite; strongly altered with patches of variable alteration (allunite?); no primary minerals left, native sulfur is present",,,,patchy alteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsely vesicular,6,1,sub-rounded,,present,distinction between primary vesicles and secondary vugs diffcult,,,,,,,,,,,,,,,,,,,376,U1528,D,22,R,1,A
376-U1528D-22R-2-A,0,101,159.16,160.17,,2b,highly altered,,volcanic,,volcanic,,,,,,,GLEY 2 4/10B (dark bluish gray),"Some pieces show plag pseudomorphs and open vesicles, partly coated with anhydrite? and pyrite; strongly altered with patches of variable alteration (alunite?); no primary minerals left, native sulfur is present",,,,patchy alteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsely vesicular,5,1,subangular,low (irregular),present,probably secondary vugs rather than vesicles,,,,,,,,,,,,,,,,,,,376,U1528,D,22,R,2,A
376-U1528D-42R-1-A,0,144,253.7,255.14,,2c,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 5/N (gray),"hydrothermally completely overprinted, rich in disseminated pyrite, native sulfur, vugs and a cm-sized concretion-like feature at 105 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,42,R,1,A
376-U1528D-42R-2-A,0,63,255.14,255.77,,2c,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 7/N (light gray),"hydrothermally completely overprinted, rich in disseminated pyrite, native sulfur, vugs and a cm-sized concretion-like feature at 8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,42,R,2,A
376-U1528D-43R-1-A,0,132,258.5,259.82,,2c,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 7/N (light gray),"hydrothermally completely overprinted, rich in disseminated pyrite, with native sulfur and vugs; lighter chemical reaction rims common along rims and fractures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,43,R,1,A
376-U1528D-46R-1-A,0,53,272.9,273.43,,3,moderately altered,plagioclase-pyroxene phyric,dacite,,plagioclase-pyroxene phyric dacite,,,,,glomeroporphyritic,porphyritic,gley 1 6/N (gray),Moderate to highly altered volcanic rock with gray to white hydrothermal haloes around rocks.,95,,equigranular,Fine-grained often include vugs and some pyrite crystals.,,,n,,plagioclase,4,4,2.0,subhedral,,glomerocryst & phenocryst,pyroxene,1,1,0.5,,,occurs with plagioclase glomerocrysts,,,,,,,,5,,,,nonvesicular,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,46,R,1,A
376-U1528D-47R-1-A,0,114,277.7,278.84,,3,completely altered,,volcanic,,volcanic,,,,,,,gley 1 7/n (light gray),"A hydrothermally overprinted volcanic rock, rich in disseminated pyrite and crystals lined in some vugs; light gray to white alteration around the rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,47,R,1,A
376-U1528D-48R-1-A,0,150,282.5,284.0,,3,completely altered,,volcanic,,volcanic,,,,,,,gley 1 6/n (gray),"A hydrothermally overprinted volcanic rock, rich in pyrite-sulfate and crystals lined in some vugs; light gray minor alteration around some of the rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Preferred orientation of the elongated vugs. Veins with sulfate and sulfide minerals in the rock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,48,R,1,A
376-U1528D-48R-2-A,0,100,284.0,285.0,,3,completely altered,,volcanic,,volcanic,,,,,,,gley 1 6/n (gray),"A hydrothermally overprinted volcanic rock, rich in pyrite-sulfate and crystals lined in some vugs; light gray to pink minor alteration around some of the rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Preferred orientation of the elongated vugs. Veins with sulfate and sulfide minerals in the rock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,48,R,2,A
376-U1528D-48R-3-A,0,50,285.5,286.0,,3,completely altered,,volcanic,,volcanic,,,,,,,gley 1 6/n (gray),"A hydrothermally overprinted volcanic rock, rich in pyrite-sulfate and crystals lined in some vugs; light gray to pink minor alteration around some of the rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Preferred orientation of the round to elongated vugs. Veins with sulfate and sulfide minerals in the rock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,48,R,3,A
376-U1528D-49R-1-A,0,150,287.3,288.8,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 2 6/5PB (bluish gray),"A hydrothermally overprinted volcanic rock, rich in pyrite-sulfate with crystals lined in some vugs; light gray minor alteration around some fragments. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals in the rock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,49,R,1,A
376-U1528D-49R-2-A,0,139,288.8,290.19,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 2 6/5B (bluish gray),"A hydrothermally overprinted volcanic rock, rich in pyrite-sulfate with crystals lined in some vugs; light gray minor alteration around some fragments. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals in the rock. Locally, there a few rounded clast-like shapes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,49,R,2,A
376-U1528D-50R-1-A,0,50,292.1,292.6,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),"A hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals in the rock. Locally, there a few rounded clast-like shapes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,50,R,1,A
376-U1528D-51R-1-A,0,150,296.9,298.4,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),"Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals. Locally, there a few rounded, darker shapes of unknown origin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,51,R,1,A
376-U1528D-51R-2-A,0,150,298.4,299.9,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals. Alteration fronts parallel to veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,51,R,2,A
376-U1528D-51R-3-A,0,28,299.9,300.18,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals. Alteration fronts parallel to veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,51,R,3,A
376-U1528D-52R-1-A,0,150,301.7,303.2,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals. Alteration fronts parallel to veins. One dark clast at 80 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,52,R,1,A
376-U1528D-52R-2-A,0,39,303.2,303.59,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 4/N (dark gray),Hydrothermally overprinted volcanic rock. many vugs with pyrite in the open spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,52,R,2,A
376-U1528D-52R-2-A,39,143,303.59,304.63,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 5/N (gray),Hydrothermally overprinted volcanic rock. Possible occurrence of phenocryst pseudomorphs filled with secondary minerals. Veins with sulfate and sulfide minerals. Alteration fronts parallel to veins. Variable extend of alteration halos resulting in different shades of grey. A few clast-like features (color difference) but most likely only a result of alteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,52,R,2,A
376-U1528D-53R-1-A,0,28,306.5,306.78,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Vugs filled with sulfate and sulfide minerals. Native sulfur present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,53,R,1,A
