Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data
352-U1439A-5H-CC-A,0,32,36.9,37.22,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-6H-1-A,0,150,44.8,46.3,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,occasional bioturbated darker silt in dm-size,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-6H-2-A,0,132,46.3,47.62,IB,irregular,sharp,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 8/1 (white),,unconsolidated,clay,1,fine sand,4,occasional bioturbated darker silt in dm-size,poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,sub-rounded,"cm-sized, scattered",calcareous matrix,,,,,
352-U1439A-6H-2-A,132,150,47.62,47.8,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,fine sand,4,"occasional bioturbated sand, color gradation from grayish to pinkish downwards",poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-3-A,0,145,47.8,49.25,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,fine sand,4,"occasional bioturbated sand, color gradation from grayish to pinkish downwards",poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-3-A,145,150,49.25,49.3,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-6H-4-A,0,70,49.3,50,IB,irregular,sharp,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,5YR 8/3 (pink),,unconsolidated,clay,1,fine sand,4,"occasional bioturbated sand, color gradation from grayish to pinkish downwards",poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-4-A,70,74,50,50.04,IB,,,,,ash,,ash,ash,ash,,5YR 6/2 (pinkish gray),,unconsolidated,fine sand,4,medium sand,5,Disseminated ash layer,well,normally graded,,strong,3,,,,,,,,,,,,,,
352-U1439A-6H-4-A,74,113,50.04,50.43,IB,irregular,sharp,sub-horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,5YR 8/3 (pink),,unconsolidated,clay,1,fine sand,4,"occasional bioturbated sand, color gradation from grayish to pinkish downwards",poor,non-graded,,moderate,2,ash pods,cemented,,,"volcanic, felsic",,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-4-A,113,150,50.43,50.8,IIA,,,,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,cemented,,,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-5-A,0,89,50.8,51.69,IIA,,,,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,cemented,,,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-6-A,0,115,51.69,52.84,IIA,,,,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,cemented,,,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-6-A,115,116,52.84,52.85,IIA,planar,sharp,inclined,,ash,,ash,ash,ash,,2.5Y 4/1 (dark gray),thin bed,unconsolidated,fine sand,4,fine sand,4,,well,normally graded,,,,,,,,,,,,,,,,,
352-U1439A-6H-6-A,116,150,52.85,53.19,IIA,,,,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,cemented,,,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-7-A,0,88,53.19,54.07,IIA,,,,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,cemented,,,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-6H-CC-A,0,37,54.07,54.44,IIA,,,,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,cemented,,,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-1-A,0,150,54.3,55.8,IIA,,,,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,,foraminifer,C,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-2-A,0,94,55.8,56.74,IIA,irregular,bioturbated,sub-horizontal,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,,foraminifer,C,volcanic intermediate,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-2-A,94,104,56.74,56.84,IIA,irregular,bioturbated,sub-horizontal,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 8/2 (very pale brown),,unconsolidated,clay,1,silt,2,with prite dessiminated,moderate,non-graded,mottled layer,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-7H-2-A,104,132,56.84,57.12,IIA,irregular,bioturbated,sub-horizontal,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,,foraminifer,C,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-2-A,132,150,57.12,57.3,IIA,irregular,bioturbated,sub-horizontal,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 8/2 (very pale brown),,unconsolidated,clay,1,silt,2,with prite dessiminated,moderate,non-graded,mottled layer,moderate,2,,,,,,,,,calcareous matrix,,,,,
352-U1439A-7H-3-A,0,25,57.3,57.55,IIA,irregular,bioturbated,sub-horizontal,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,,foraminifer,C,volcanic intermediate,,rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-3-A,25,47,57.55,57.77,IIA,irregular,bioturbated,sub-horizontal,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 8/2 (very pale brown),,unconsolidated,clay,1,silt,2,with prite dessiminated,moderate,non-graded,mottled layer,moderate,2,ash pods,,,,"volcanic, felsic",,rounded,cm-sized,calcareous matrix,,,,,
352-U1439A-7H-3-A,47,108,57.77,58.38,IIA,irregular,bioturbated,sub-horizontal,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,,foraminifer,C,volcanic intermediate,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-3-A,108,109,58.38,58.39,IIA,curviplanar,sharp,sub-horizontal,tuffaceous,silt,,tuffaceous silt,tuffaceous silt,silt,,10YR 3/2 (very dark grayish brown),thin bed,unconsolidated,silt,2,fine sand,4,,moderate,normally graded,,none,0,,,,,,,,,,,,,,
352-U1439A-7H-3-A,109,145,58.39,58.75,IIA,irregular,bioturbated,sub-horizontal,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,,foraminifer,C,volcanic intermediate,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-3-A,145,150,58.75,58.8,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-7H-4-A,0,35,58.8,59.15,IIA,curviplanar,sharp,sub-horizontal,silty,mud,with foraminifers,silty mud,silty mud with foraminifers,mud with foraminifers,,7.5YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,alternating more and less muddy layers,poor,non-graded,,moderate,2,ash pods,,foraminifer,C,volcanic intermediate,,sub-rounded,mm-sized,calcareous matrix,,,,,
352-U1439A-7H-4-A,35,38,59.15,59.18,IIA,curviplanar,sharp,sub-horizontal,,ash,,ash,ash,ash,,10YR 2/1 (black),thin bed,unconsolidated,fine sand,4,medium sand,5,bioturbated disseminated mafic ash,well,normally graded,,strong,3,,,,,,,,,,,,,,
352-U1439A-7H-4-A,38,61,59.18,59.41,IIA,,,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 8/2 (very pale brown),,unconsolidated,clay,1,fine sand,4,nannofossil ooze strongly moddled with black ash pods,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mmm-sized loose pods,,,,,,
352-U1439A-7H-4-A,61,63,59.41,59.43,IIA,irregular,bioturbated,sub-horizontal,,ash,,ash,ash,ash,,10YR 5/1 (gray),thin bed,unconsolidated,fine sand,4,fine sand,4,,well,normally graded,,moderate,2,,,,,,,,,,,,,,
352-U1439A-7H-4-A,63,150,59.43,60.3,IIA,,,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 8/2 (very pale brown),,unconsolidated,clay,1,fine sand,4,nannofossil ooze strongly moddled with black ash pods,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mmm-sized loose pods,,,,,,
352-U1439A-7H-5-A,0,8,60.3,60.38,IIA,curviplanar,sharp,sub-horizontal,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 8/2 (very pale brown),,unconsolidated,clay,1,fine sand,4,nannofossil ooze strongly moddled with black ash pods,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mmm-sized loose pods,,,,,,
352-U1439A-7H-5-A,8,13,60.38,60.43,IIA,irregular,scoured,inclined,,ash,,ash,ash,ash,,10YR 2/1 (black),thin bed,unconsolidated,fine sand,4,medium sand,5,"slightlt disseminated on top, detached at a fault",well,normally graded,,moderate,2,,,,,,,,,,,,,,
352-U1439A-7H-5-A,13,144,60.43,61.74,IIA,curviplanar,sharp,sub-horizontal,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 8/2 (very pale brown),,unconsolidated,clay,1,fine sand,4,nannofossil ooze strongly moddled with black ash pods,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mmm-sized loose pods,,,,,,
352-U1439A-7H-5-A,144,150,61.74,61.8,IIA,,,,silty,mud,,silty mud,silty mud,mud,,10YR 5/3 (brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-7H-6-A,0,69,61.8,62.49,IIA,,,,silty,mud,,silty mud,silty mud,mud,,10YR 5/3 (brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-7H-6-A,69,71,62.49,62.51,IIA,irregular,bioturbated,sub-horizontal,,ash,,ash,ash,ash,,10YR 3/3 (dark brown),thin bed,consolidated,silt,2,fine sand,4,,,,,,,,,,,,,,,calcareous matrix,,,,,
352-U1439A-7H-6-A,71,103,62.51,62.83,IIA,,,,silty,mud,,silty mud,silty mud,mud,,10YR 5/3 (brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-7H-7-A,0,29,62.83,63.12,IIA,,,,silty,mud,,silty mud,silty mud,mud,,10YR 5/3 (brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-7H-7-A,29,47,63.12,63.3,IIA,irregular,bioturbated,sub-horizontal,sandy,mud,with foraminifers,sandy mud,sandy mud with foraminifers,mud with foraminifers,,10YR 5/2 (grayish brown),thin bed,unconsolidated,silt,2,medium sand,5,,,non-graded,,moderate,2,,,foraminifer,C,,,,,,,,,,
352-U1439A-7H-7-A,47,67,63.3,63.5,IIA,,,,silty,mud,,silty mud,silty mud,mud,,10YR 5/3 (brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-7H-7-A,67,74,63.5,63.57,IIA,irregular,bioturbated,sub-horizontal,sandy,mud,with foraminifers,sandy mud,sandy mud with foraminifers,mud with foraminifers,,10YR 5/2 (grayish brown),thin bed,unconsolidated,silt,2,medium sand,5,,,non-graded,,moderate,2,,,foraminifer,C,,,,,,,,,,
352-U1439A-7H-CC-A,0,5,63.57,63.62,IIA,,,,silty,mud,,silty mud,silty mud,mud,,10YR 5/3 (brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-1-A,0,150,63.8,65.3,IIA,,,,silty,mud,with nannofossils,silty mud,silty mud with nannofossils,mud with nannofossils,,10YR 5/3 (brown),,unconsolidated,silt,2,medium sand,5,,moderate,non-graded,mottled layer,moderate,2,ash pods,,foraminifer,c,volcanic intermediate,,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-2-A,0,4,65.3,65.34,IIA,,,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,,10YR 6/3 (pale brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, felsic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-2-A,4,5,65.34,65.35,IIA,curviplanar,sharp,sub-horizontal,,ash,,ash,ash,ash,,10YR 6/1 (gray),thin bed,unconsolidated,fine sand,4,fine sand,4,brownish due to oxidation,,,,none,0,,,,,,,,,,,,,,
352-U1439A-8H-2-A,5,150,65.35,66.8,IIA,,,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,,10YR 6/3 (pale brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, felsic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-3-A,0,145,66.8,68.25,IIA,,,,silty,clay,with nannofossils,silty clay,silty clay with nannofossils,clay with nannofossils,,10YR 6/3 (pale brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, felsic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-3-A,145,150,68.25,68.3,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-8H-4-A,0,89,68.3,69.19,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-4-A,89,93,69.19,69.23,IIA,,bioturbated,sub-horizontal,tuffaceous,fine sand,,tuffaceous fine sand,tuffaceous fine sand,fine sand,,10R 3/1 (dark reddish gray),,unconsolidated,fine sand,4,medium sand,5,,moderate,non-graded,,strong,3,scattered pumice,,,,"volcanic, felsic",,sub-rounded,cm-sized,,,,,,
352-U1439A-8H-4-A,93,138,69.23,69.68,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-4-A,138,141,69.68,69.71,IIA,planar,sharp,inclined,volcaniclastic,fine sand,,volcaniclastic fine sand,volcaniclastic fine sand,fine sand,,10YR 3/1 (very dark gray),thin bed,unconsolidated,fine sand,4,medium sand,5,,well,normally graded,,none,0,,,,,,,,,,,,,,
352-U1439A-8H-4-A,141,150,69.71,69.8,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-5-A,0,23,69.8,70.03,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-5-A,23,27,70.03,70.07,IIA,irregular,scoured,sub-horizontal,,tuff,,tuff,tuff,tuff,,10YR 5/1 (gray),thin bed,consolidated,fine sand,4,fine sand,4,,well,non-graded,,none,0,,cemented,,,,,,,other matrix,,,,,
352-U1439A-8H-5-A,27,40,70.07,70.2,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-5-A,40,50,70.2,70.3,IIA,,,,,void,,void,void,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352-U1439A-8H-5-A,50,148,70.3,71.28,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-5-A,148,150,71.28,71.3,IIA,,,,,ash,,ash,ash,ash,,10R 3/1 (dark reddish gray),,unconsolidated,fine sand,4,medium sand,5,bioturbated ash layer,well,non-graded,,strong,3,,,,,,,,,,,,,,
352-U1439A-8H-6-A,0,2,71.3,71.32,IIA,irregular,scoured,sub-horizontal,,tuff,,tuff,tuff,tuff,,10R 3/1 (dark reddish gray),,consolidated,fine sand,4,medium sand,5,bioturbated ash layer,well,non-graded,,strong,3,,,,,,,,,,,,,,
352-U1439A-8H-6-A,2,71,71.32,72.01,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-6-A,71,75,72.01,72.05,IIA,curviplanar,scoured,sub-horizontal,,tuff,,tuff,tuff,tuff,,10R 8/1 (white),thin bed,consolidated,silt,2,fine sand,4,,well,non-graded,,none,0,,cemented,,,,,,,other matrix,,,,,
352-U1439A-8H-6-A,75,122,72.05,72.52,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-8H-7-A,0,24,72.52,72.76,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,sub-rounded,"mm to cm sized; two large pieces of lithified tuff 24 to 28 cm, 52 to 54 cm",calcareous matrix,,,,,
352-U1439A-8H-7-A,24,27,72.76,72.79,IIA,irregular,scoured,sub-horizontal,,tuff,,tuff,tuff,tuff,,2.5YR 8/2 (pinkish white),,consolidated,fine sand,4,fine sand,4,"bioturbated, disseminated ash layer",well,non-graded,,strong,3,,,,,,,,,,,,,,
352-U1439A-8H-7-A,27,66,72.79,73.18,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,sub-rounded,"mm to cm sized; two large pieces of lithified tuff 24 to 28 cm, 52 to 54 cm",calcareous matrix,,,,,
352-U1439A-8H-CC-A,0,3,73.18,73.21,IIA,curviplanar,sharp,sub-horizontal,,tuff,,tuff,tuff,tuff,,7.5YR 5/1 (gray),thin bed,consolidated,fine sand,4,fine sand,4,,well,non-graded,,none,0,,cemented,,,,,,,other matrix,,,,,
352-U1439A-8H-CC-A,3,29,73.21,73.47,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,fine sand,4,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,,foraminifer,c,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-9H-1-A,0,3,73.3,73.33,IIA,irregular,sharp,sub-horizontal,,ash,,ash,ash,ash,,2.5YR 7/2 (pale red),,unconsolidated,fine sand,4,medium sand,5,,well,normally graded,,none,0,,,,,,,,,,,,,,
352-U1439A-9H-1-A,3,150,73.33,74.8,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,fine sand,4,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,cemented,,,"volcanic, mafic",,rounded,mm to cm sized,calcareous matrix,,,,,
352-U1439A-9H-2-A,0,102,74.8,75.82,IIA,,,,nannofossil-rich,mud,with sand,nannofossil-rich mud,nannofossil-rich mud with sand,mud with sand,,10YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,,poor,non-graded,mottled layer,strong,3,ash pods,cemented,,,"volcanic, mafic","volcanic, felsic",rounded,"mm to cm sized, one big pumice at 88 to 91 cm",calcareous matrix,,,,,
352-U1439A-9H-2-A,102,104,75.82,75.84,IIA,irregular,sharp,sub-horizontal,tuffaceous,fine sandstone,,tuffaceous fine sandstone,tuffaceous fine sandstone,fine sandstone,,7.5YR 5/4 (brown),,consolidated,fine sand,4,fine sand,4,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-9H-2-A,104,145,75.84,76.25,IIA,,,,nannofossil-rich,mud,with sand,nannofossil-rich mud,nannofossil-rich mud with sand,mud with sand,,10YR 5/3 (brown),,unconsolidated,silt,2,fine sand,4,,poor,non-graded,mottled layer,strong,3,ash pods,cemented,,,"volcanic, mafic",,rounded,"mm to cm sized, one big pumice at 88 to 91 cm",calcareous matrix,,,,,
352-U1439A-9H-2-A,145,150,76.25,76.3,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-9H-3-A,0,84,76.3,77.14,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 5/3 (brown),,unconsolidated,fine sand,4,fine sand,4,,poor,non-graded,mottled layer,strong,3,ash pods,cemented,,,"volcanic, mafic",,rounded,"mm to cm sized, one big pumice at 88 to 91 cm",calcareous matrix,,,,,
352-U1439A-9H-4-A,0,24,77.14,77.38,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,fine sand,4,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,cemented,,,"volcanic, mafic",,rounded,"mm to cm sized, one big pumice at 88 to 91 cm",calcareous matrix,,,,,
352-U1439A-9H-4-A,24,26,77.38,77.4,IIA,curviplanar,sharp,sub-horizontal,volcaniclastic,fine sandstone,,volcaniclastic fine sandstone,volcaniclastic fine sandstone,fine sandstone,,10YR 4/2 (dark grayish brown),,consolidated,fine sand,4,medium sand,5,,well,non-graded,,none,0,,,,,,,,,,,,,,
352-U1439A-9H-4-A,26,77,77.4,77.91,IIA,,,,sandy,mud,with nannofossils,sandy mud,sandy mud with nannofossils,mud with nannofossils,,10YR 4/3 (brown),,unconsolidated,fine sand,4,medium sand,5,,poor,non-graded,mottled layer,strong,3,ash pods,cemented,,,"volcanic, mafic",,rounded,"mm to cm sized, one big pumice at 88 to 91 cm",calcareous matrix,,,,,
352-U1439A-9H-5-A,0,150,77.91,79.41,IIA,,,,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 6/3 (pale brown),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,strong,3,ash pods,,,,volcanic intermediate,,rounded,"mm-sized, loose",calcareous matrix,,,,,
