Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data
352-U1439A-1H-4-A,100,108,5.46,5.54,IA,irregular,sharp,sub-horizontal,,ash,with foraminifers,ash,ash with foraminifers,ash with foraminifers,,10YR 7/2 (light gray),thin bed,unconsolidated,fine sand,4,fine sand,4,,well,non-graded,,none,0,,,foraminifer,C,,,,,,,,,,
352-U1439A-1H-4-A,108,146,5.54,5.92,IB,,,,silty,nannofossil ooze,with nannofossils,silty fine sand,silty fine sand with nannofossils,nannofossil ooze with fine sand,,10YR 6/2 (light brownish gray),,unconsolidated,silt,2,fine sand,4,,moderate,non-graded,mottled layer,moderate,2,,,foraminifer,C,,,,,calcareous matrix,,,,,
352-U1439A-1H-4-A,146,150,5.92,5.96,IB,,,,,,,,,,,,,,,,,,IW,,,,,,,,foraminifer,C,,,,,,,,,,
352-U1439A-1H-5-A,0,60,5.96,6.56,IB,,,,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 6/2 (light brownish gray),,unconsolidated,silt,2,fine sand,4,,moderate,non-graded,mottled layer,moderate,2,,,foraminifer,C,,,,,calcareous matrix,,,,,
352-U1439A-1H-CC-A,0,14,6.56,6.7,IB,,,,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 6/2 (light brownish gray),,unconsolidated,silt,2,fine sand,4,,moderate,non-graded,mottled layer,moderate,2,,,foraminifer,C,,,,,calcareous matrix,,,,,
352-U1439A-1H-CC-A,14,20,6.7,6.76,IB,,,,,,,,,,,,,unconsolidated,,,,,PAL,,,,,,,,foraminifer,C,,,,,,,,,,
352-U1439A-2H-1-A,0,125,6.8,8.05,IB,irregular,bioturbated,sub-horizontal,silty,nannofossil ooze,with fine sand,silty nannofossil ooze,silty nannofossil ooze with fine sand,nannofossil ooze with fine sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,very fine sand,3,,poor,non-graded,mottled layer,moderate,2,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-1-A,125,150,8.05,8.3,IB,,,,silty,nannofossil ooze,with medium to coarse sand,silty nannofossil ooze,silty nannofossil ooze with medium to coarse sand,nannofossil ooze with medium to coarse sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,medium sand,5,,poor,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-2-A,0,150,8.3,9.8,IB,,,,silty,nannofossil ooze,with medium to coarse sand,silty nannofossil ooze,silty nannofossil ooze with medium to coarse sand,nannofossil ooze with medium to coarse sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,medium sand,5,"alternating more muddy, brownish sandy and nannofossil-layers (decimeter-thick interbeds)",poor,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-3-A,0,145,9.8,11.25,IB,,,,silty,nannofossil ooze,with medium to coarse sand,silty nannofossil ooze,silty nannofossil ooze with medium to coarse sand,nannofossil ooze with medium to coarse sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,medium sand,5,"alternating more muddy, brownish sandy and nannofossil-layers (decimeter-thick interbeds)",poor,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-3-A,145,150,11.25,11.3,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,
352-U1439A-2H-4-A,0,91,11.3,12.21,IB,irregular,bioturbated,sub-horizontal,silty,nannofossil ooze,with medium to coarse sand,silty nannofossil ooze,silty nannofossil ooze with medium to coarse sand,nannofossil ooze with medium to coarse sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,medium sand,5,"alternating more muddy, brownish sandy and nannofossil-layers (decimeter-thick interbeds)",poor,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-4-A,91,101,12.21,12.31,IB,planar,sharp,horizontal,,ash,,ash,ash,ash,,10YR 5/2 (grayish brown),,unconsolidated,fine sand,4,medium sand,5,,well,normally graded,,none,0,,,,,,,,,,,,,,
