dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
,344-U1412C-2R-1-A,344,U1412,C,2,2-1,R,1,A,0,114,300.0,301.14,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-2R-CC-A,344,U1412,C,2,2-CC,R,CC,A,0,8,301.14,301.22,fall-in,high [drilling disturbance],6,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,
,344-U1412C-3R-1-A,344,U1412,C,3,3-1,R,1,A,0,150,309.5,311.0,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-3R-2-A,344,U1412,C,3,3-2,R,2,A,0,150,311.0,312.5,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-3R-3-A,344,U1412,C,3,3-3,R,3,A,0,150,312.5,314.0,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-3R-4-A,344,U1412,C,3,3-4,R,4,A,0,115,314.0,315.15,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-3R-CC-A,344,U1412,C,3,3-CC,R,CC,A,0,13,315.15,315.28,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-4R-1-A,344,U1412,C,4,4-1,R,1,A,0,118,319.1,320.28,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",calcareous claystone or tuff [Leg210],pebble [W22_2],spherical,,10YR 4/2 (dark grayish brown),subrounded,4,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-4R-2-A,344,U1412,C,4,4-2,R,2,A,0,98,320.28,321.26,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-4R-CC-A,344,U1412,C,4,4-CC,R,CC,A,0,24,321.26,321.5,fall-in,high [drilling disturbance],6,,nannofossil ooze [Leg339],with biosilica [Leg339],10YR 4/2 (dark grayish brown),nannofossil ooze ,nannofossil ooze  with biosilica ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,No internal stratigraphy visible.  Gradational sorting of drill cuttings. Some common greenish gray silty clay clasts probably fall in from upper part of hole.,,,,,,,
,344-U1412C-5R-1-A,344,U1412,C,5,5-1,R,1,A,0,36,328.8,329.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1412C-5R-2-A,344,U1412,C,5,5-2,R,2,A,0,73,329.16,329.89,fractured,high [drilling disturbance],6,silty,clay [USGS],with nannofossils [Leg339],10YR 4/2 (dark grayish brown),silty  clay ,silty clay  with nannofossils ,very fine silt [W22_2],2,very fine silt [W22_2],2,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,"Contains dominant nannofossils, common to rare diatoms and radiolarians.  Forams are common.  Mineral crsytals are rareamphiboles and feldspar.  Some glass.  Mineral frcation becomes a little bit more abundant.  lithic fragments common",,,,,,,
,344-U1412C-5R-3-A,344,U1412,C,5,5-3,R,3,A,0,10,329.89,329.99,fractured,high [drilling disturbance],6,silty,clay [USGS],with nannofossils [Leg339],10YR 4/2 (dark grayish brown),silty  clay ,silty clay  with nannofossils ,fine silt [W22_2],3,fine silt [W22_2],3,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,,,,,,,,
,344-U1412C-5R-3-A,344,U1412,C,5,5-3,R,3,A,10,77,329.99,330.66,,,,clayey,silt [USGS],with nannofossils [Leg339],10YR 4/2 (dark grayish brown),clayey  silt ,clayey silt  with nannofossils ,coarse silt [W22_2],5,coarse silt [W22_2],5,"Contains dominant nannofossils, common to rare diatoms and radiolarians.  Common forams. rare minerals amphiboles and feldspar.  Some glass.  Common detrital calcite crystals",,,,,,,,,,,,,,"Contains depositional alignment of fragments. some are black lithics clasts that are elongated and also contains  lithics of the surrounding silty clay
Mn scale lamination in section 2 0-60 and section 3 to 10 and 85 to 95 cm.  ",,,,,,,
,344-U1412C-5R-3-A,344,U1412,C,5,5-3,R,3,A,77,83,330.66,330.72,,,,silty,clay [USGS],with nannofossils [Leg339],10YR 4/2 (dark grayish brown),silty  clay ,silty clay  with nannofossils ,,,,,"nannos are lesw common but still abundant.  Diatom and sponge spicules are becoming more rare.  Detrital carbonate is more common.  rare amphibole, feldspar, glass,",,,,,,,,,,,,,,Mn scale lamination present,,,,,,,
,344-U1412C-5R-3-A,344,U1412,C,5,5-3,R,3,A,83,102,330.72,330.91,,,,clayey,silt [USGS],with nannofossils [Leg339],10YR 4/2 (dark grayish brown),clayey  silt ,clayey silt  with nannofossils ,coarse silt [W22_2],5,coarse silt [W22_2],5,"Contains dominant nannofossils, common to rare diatoms and radiolarians.  Common forams. rare minerals amphiboles and feldspar.  Some glass.  Common detrital calcite crystals",,,,,,,,,,,,,,"Contains depositional alignment of fragments. some are black lithics clasts that are elongated and also contains  lithics of the surrounding silty clay
Mn scale lamination in section 2 0-60 and section 3 to 10 and 85 to 95 cm.  ",,,,,,,
,344-U1412C-5R-CC-A,344,U1412,C,5,5-CC,R,CC,A,0,10,330.91,331.01,fractured,high [drilling disturbance],6,silty,clay [USGS],with nannofossils [Leg339],10YR 4/2 (dark grayish brown),silty  clay ,silty clay  with nannofossils ,very fine sand [W22_2],3,very fine sand [W22_2],3,"Contains dominant nannofossils, sponge spicules common to rare diatoms and radiolarians.  rare minerals amphiboles and feldspar.  Some glass",,,,,,,,,,,,,,,,,,,,,
,344-U1412C-5R-CC-A,344,U1412,C,5,5-CC,R,CC,A,10,15,331.01,331.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,
,344-U1412C-5R-CC-A,344,U1412,C,5,5-CC,R,CC,A,15,23,331.06,331.14,,,,calcareous [Leg339],sandstone [USGS],,,calcareous   sandstone ,calcareous  sandstone ,,,,,,carbonate rock [USGS],cobble [W22_2],spherical,,,,,"Carbonate and rare rock fragments, dolomitic",,,,,,Contains depositional alignment of fragments. some are black lithics clasts that are elongated and also contains  lithics of the surrounding silty clay,,,,,,,
,344-U1412C-6R-1-A,344,U1412,C,6,6-1,R,1,A,0,9,338.5,338.59,,moderate to high [drilling disturbance],5,calcareous [Leg339],sandstone [USGS],,N 5 (gray),calcareous   sandstone ,calcareous  sandstone ,,,,,dolomitic,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-1-A,344,U1412,C,6,6-1,R,1,A,9,19,338.59,338.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1412C-6R-1-A,344,U1412,C,6,6-1,R,1,A,19,56,338.69,339.06,,destroyed [drilling disturbance],8,,,,,,,,,,,"very dark greenish gray mud and rubble
",,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-1-A,344,U1412,C,6,6-1,R,1,A,56,67,339.06,339.17,,high [drilling disturbance],6,calcareous [Leg339],sandstone [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),calcareous   sandstone ,calcareous  sandstone  with biogenic components ,fine sand [W22_2],4,sand [W22_1],3,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-1-A,344,U1412,C,6,6-1,R,1,A,67,98,339.17,339.48,fragmented,high [drilling disturbance],6,,claystone [USGS],,10GY 3/1 (very dark greenish gray),claystone ,claystone ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-2-A,344,U1412,C,6,6-2,R,2,A,0,42,339.48,339.9,,destroyed [drilling disturbance],8,,,,,,,,,,,"very dark greenish gray mud and rubble
",,,,,,,,,,,,,,,,,,,,,
