Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (5),Grain size max (mm),Lithification,Comment,File Data
329-U1367C-1H-1-A,329.0,U1367,C,1.0,1-1,H,1,A,10.0,50.0,0.1,0.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1367C-1H-1-A,329.0,U1367,C,1.0,1-1,H,1,A,60.0,70.0,0.6,0.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1367C-1H-1-A,329.0,U1367,C,1.0,1-1,H,1,A,110.0,140.0,1.1,1.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1367C-1H-2-A,329.0,U1367,C,1.0,1-2,H,2,A,10.0,50.0,1.6,2.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1367C-1H-2-A,329.0,U1367,C,1.0,1-2,H,2,A,60.0,80.0,2.1,2.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1367C-1H-2-A,329.0,U1367,C,1.0,1-2,H,2,A,110.0,150.0,2.6,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1367C-1H-3-A,329.0,U1367,C,1.0,1-3,H,3,A,10.0,30.0,3.1,3.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1367C-1H-3-A,329.0,U1367,C,1.0,1-3,H,3,A,30.0,50.0,3.3,3.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1367C-1H-3-A,329.0,U1367,C,1.0,1-3,H,3,A,60.0,70.0,3.6,3.7,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1367C-1H-3-A,329.0,U1367,C,1.0,1-3,H,3,A,110.0,140.0,4.1,4.4,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1367C-1H-4-A,329.0,U1367,C,1.0,1-4,H,4,A,10.0,50.0,4.6,5.0,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1367C-1H-4-A,329.0,U1367,C,1.0,1-4,H,4,A,60.0,100.0,5.1,5.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1367C-1H-4-A,329.0,U1367,C,1.0,1-4,H,4,A,110.0,150.0,5.6,6.0,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-1H-5-A,329.0,U1367,C,1.0,1-5,H,5,A,10.0,50.0,6.1,6.5,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-1H-5-A,329.0,U1367,C,1.0,1-5,H,5,A,80.0,95.0,6.8,6.95,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-1H-CC-A,329.0,U1367,C,1.0,1-CC,H,CC,A,0.0,12.0,7.05,7.17,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-1-A,329.0,U1367,C,2.0,2-1,H,1,A,10.0,50.0,7.3,7.7,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-1-A,329.0,U1367,C,2.0,2-1,H,1,A,60.0,100.0,7.8,8.2,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-1-A,329.0,U1367,C,2.0,2-1,H,1,A,110.0,140.0,8.3,8.6,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-2-A,329.0,U1367,C,2.0,2-2,H,2,A,10.0,50.0,8.8,9.2,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-2-A,329.0,U1367,C,2.0,2-2,H,2,A,60.0,100.0,9.3,9.7,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-2-A,329.0,U1367,C,2.0,2-2,H,2,A,120.0,150.0,9.9,10.2,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-3-A,329.0,U1367,C,2.0,2-3,H,3,A,10.0,50.0,10.3,10.7,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-3-A,329.0,U1367,C,2.0,2-3,H,3,A,60.0,80.0,10.8,11.0,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-3-A,329.0,U1367,C,2.0,2-3,H,3,A,110.0,140.0,11.3,11.6,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-4-A,329.0,U1367,C,2.0,2-4,H,4,A,10.0,50.0,11.8,12.2,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-4-A,329.0,U1367,C,2.0,2-4,H,4,A,60.0,100.0,12.3,12.7,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-4-A,329.0,U1367,C,2.0,2-4,H,4,A,110.0,150.0,12.8,13.2,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-5-A,329.0,U1367,C,2.0,2-5,H,5,A,10.0,50.0,13.3,13.7,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-5-A,329.0,U1367,C,2.0,2-5,H,5,A,60.0,70.0,13.8,13.9,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-5-A,329.0,U1367,C,2.0,2-5,H,5,A,110.0,140.0,14.3,14.6,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-6-A,329.0,U1367,C,2.0,2-6,H,6,A,10.0,50.0,14.8,15.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-6-A,329.0,U1367,C,2.0,2-6,H,6,A,60.0,80.0,15.3,15.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-6-A,329.0,U1367,C,2.0,2-6,H,6,A,110.0,150.0,15.8,16.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
