Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,Lithology Suffix
323-U1339D-1H-1-A,323,U1339,D,1,1-1,H,1,A,0,150,0,1.5,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-1H-2-A,323,U1339,D,1,1-2,H,2,A,0,81,1.5,2.31,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-1H-2-A,323,U1339,D,1,1-2,H,2,A,81,90,2.31,2.4,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 2.5/1,,,,,,,,,,,,,,,,,
323-U1339D-1H-2-A,323,U1339,D,1,1-2,H,2,A,90,150,2.4,3,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-1H-3-A,323,U1339,D,1,1-3,H,3,A,0,4,3,3.04,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-1H-3-A,323,U1339,D,1,1-3,H,3,A,4,19,3.04,3.19,foraminifer diatom ooze,Leg 323,,foraminifer diatom ooze,100,soft,5Y 4/2,,,,,Olive grey (5Y 4/2) and olive (5Y 5/3) laminae,,,,,,,,,,,,
323-U1339D-1H-3-A,323,U1339,D,1,1-3,H,3,A,19,32,3.19,3.32,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 2.5/1,,,,,,,,,,,,,,,,,
323-U1339D-1H-3-A,323,U1339,D,1,1-3,H,3,A,32,100,3.32,4,diatom clay,"Shepard, 1954",'',diatom clay,95-100,soft,5Y 5/2,,,,,gradational change to diatom clay,,,,,,,,,,,,
323-U1339D-1H-3-A,323,U1339,D,1,1-3,H,3,A,100,150,4,4.5,diatom clay,"Shepard, 1954",'',diatom clay,95-100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-1H-4-A,323,U1339,D,1,1-4,H,4,A,0,150,4.5,6,diatom clay,"Shepard, 1954",'',diatom clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-1H-5-A,323,U1339,D,1,1-5,H,5,A,0,42,6,6.42,diatom clay,"Shepard, 1954",'',diatom clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-1H-CC-A,323,U1339,D,1,1-CC,H,CC,A,0,12,6.42,6.54,diatom clay,"Shepard, 1954",'',diatom clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
