Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
355-U1456C-1H,0,738.0,0.0,7.38,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,,,
355-U1456C-1H-1-A,0,27.0,0.0,0.27,,,nannofossil ooze,,nannofossil ooze,,burrows,brown,10YR 6/4 (light yellowish brown),,clay,1,clay,1,,,,,,,,,,,,,,,,,bioturbated,gradational,horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,1,H,1,A,
355-U1456C-1H-1-A,27,37.0,0.27,0.37,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),95,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,dark gray,GLEY 1 3/5G (very dark greenish green),5,coarse sand,6,coarse sand,6,,100,erosive,scoured,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,1,H,1,A,
355-U1456C-1H-1-A,37,64.0,0.37,0.64,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,1,A,
355-U1456C-1H-1-A,64,98.0,0.64,0.98,,,nannofossil ooze,,nannofossil ooze,,burrows,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,1,H,1,A,
355-U1456C-1H-1-A,98,150.0,0.98,1.5,,,nannofossil ooze,,nannofossil ooze,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,1,A,
355-U1456C-1H-2-A,0,21.0,1.5,1.71,,,nannofossil ooze,,nannofossil ooze,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,2,A,
355-U1456C-1H-2-A,21,54.0,1.71,2.04,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,very fine sand,3,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,2,A,
355-U1456C-1H-2-A,54,70.0,2.04,2.2,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,white,10YR 8/2 (very pale brown),,silt,2,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,2,A,
355-U1456C-1H-2-A,70,116.0,2.2,2.66,,,nannofossil ooze,,nannofossil ooze,,burrows,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,2,A,
