Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],LITHOLOGY,REFERENCE,PREFIX,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE
"323-U1343E-1H-1A, 0-20",323,U1343,E,1,1-1,H,1,A,0,20,0,0.2,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/3,,,,,,,,,,,,
"323-U1343E-1H-1A, 20-150",323,U1343,E,1,1-1,H,1,A,20,150,0.2,1.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5G 4/1,,,,,,,,,,,,
"323-U1343E-1H-2A, 0-150",323,U1343,E,1,1-2,H,2,A,0,150,1.5,3,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5G 4/1,,,,,,,,,,,,
"323-U1343E-1H-3A, 0-150",323,U1343,E,1,1-3,H,3,A,0,150,3,4.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5G 4/1,,,,,,,,,,,,
"323-U1343E-1H-4A, 0-150",323,U1343,E,1,1-4,H,4,A,0,150,4.5,6,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5G 4/1,,,,,,,,,,,,
"323-U1343E-1H-5A, 0-150",323,U1343,E,1,1-5,H,5,A,0,150,6,7.5,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5G 4/1,,,,,,,,,,,,
"323-U1343E-1H-6A, 0-59",323,U1343,E,1,1-6,H,6,A,0,59,7.5,8.09,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5G 4/1,,,,,,,,,,,,
"323-U1343E-1H-CCA, 0-6",323,U1343,E,1,1-CC,H,CC,A,0,6,8.09,8.15,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5G 4/1,,,,,,,,,,,,
"323-U1343E-2H-1A, 0-150",323,U1343,E,2,2-1,H,1,A,0,150,8.2,9.7,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-2H-2A, 0-150",323,U1343,E,2,2-2,H,2,A,0,150,9.7,11.2,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-2H-3A, 0-150",323,U1343,E,2,2-3,H,3,A,0,150,11.2,12.7,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-2H-4A, 0-150",323,U1343,E,2,2-4,H,4,A,0,150,12.7,14.2,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-2H-5A, 0-150",323,U1343,E,2,2-5,H,5,A,0,150,14.2,15.7,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-2H-6A, 0-150",323,U1343,E,2,2-6,H,6,A,0,150,15.7,17.2,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-2H-7A, 0-50",323,U1343,E,2,2-7,H,7,A,0,50,17.2,17.7,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-3H-1A, 0-150",323,U1343,E,3,3-1,H,1,A,0,150,17.7,19.2,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-3H-2A, 0-19",323,U1343,E,3,3-2,H,2,A,0,19,19.2,19.39,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-3H-2A, 19-150",323,U1343,E,3,3-2,H,2,A,19,150,19.39,20.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-3H-3A, 0-150",323,U1343,E,3,3-3,H,3,A,0,150,20.7,22.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-3H-4A, 0-150",323,U1343,E,3,3-4,H,4,A,0,150,22.2,23.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-3H-5A, 0-116",323,U1343,E,3,3-5,H,5,A,0,116,23.7,24.86,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-3H-5A, 116-150",323,U1343,E,3,3-5,H,5,A,116,150,24.86,25.2,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-3H-6A, 0-73",323,U1343,E,3,3-6,H,6,A,0,73,25.2,25.93,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-3H-6A, 73-100",323,U1343,E,3,3-6,H,6,A,73,100,25.93,26.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-3H-CCA, 0-10",323,U1343,E,3,3-CC,H,CC,A,0,10,26.2,26.3,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-1A, 0-150",323,U1343,E,4,4-1,H,1,A,0,150,27.2,28.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,
"323-U1343E-4H-2A, 0-130",323,U1343,E,4,4-2,H,2,A,0,130,28.7,30,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,
"323-U1343E-4H-2A, 130-150",323,U1343,E,4,4-2,H,2,A,130,150,30,30.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 3/1,,,,,,,,,,,,
"323-U1343E-4H-2A, 130-150",323,U1343,E,4,4-2,H,2,A,130,150,30,30.2,diatom silt,Leg 323,,diatom silt,50,soft,10Y 3/1,,,,,,,,,,,,
"323-U1343E-4H-2A, 150-150",323,U1343,E,4,4-2,H,2,A,150,150,30.2,30.2,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-4H-3A, 0-70",323,U1343,E,4,4-3,H,3,A,0,70,30.2,30.9,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-4H-3A, 70-90",323,U1343,E,4,4-3,H,3,A,70,90,30.9,31.1,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-4H-3A, 70-90",323,U1343,E,4,4-3,H,3,A,70,90,30.9,31.1,diatom silt,Leg 323,,diatom silt,50,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-4H-3A, 90-150",323,U1343,E,4,4-3,H,3,A,90,150,31.1,31.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-4A, 0-7",323,U1343,E,4,4-4,H,4,A,0,7,31.7,31.77,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-4A, 7-18",323,U1343,E,4,4-4,H,4,A,7,18,31.77,31.88,foraminifer silt,,diatom-bearing,diatom-bearing foraminifer silt,100,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-4H-4A, 18-144",323,U1343,E,4,4-4,H,4,A,18,144,31.88,33.14,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-4A, 144-150",323,U1343,E,4,4-4,H,4,A,144,150,33.14,33.2,foraminifer silt,,diatom-bearing,diatom-bearing foraminifer silt,100,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-4H-5A, 0-10",323,U1343,E,4,4-5,H,5,A,0,10,33.2,33.3,foraminifer silt,,diatom-bearing,diatom-bearing foraminifer silt,100,soft,10Y 4/1,,,,,,,,,,,,
"323-U1343E-4H-5A, 10-150",323,U1343,E,4,4-5,H,5,A,10,150,33.3,34.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-6A, 0-150",323,U1343,E,4,4-6,H,6,A,0,150,34.7,36.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-7A, 0-64",323,U1343,E,4,4-7,H,7,A,0,64,36.2,36.84,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-CCA, 0-20",323,U1343,E,4,4-CC,H,CC,A,0,20,36.84,37.04,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,5GY 4/1,,,,,,,,,,,,
"323-U1343E-4H-CCA, 20-33",323,U1343,E,4,4-CC,H,CC,A,20,33,37.04,37.17,clayey silt [S54],"Shepard, 1954",authigenic-carbonate-rich,authigenic-carbonate-rich clayey silt,100,soft,10Y 5/1,,,,,virtually >90% dolomite crystals,,,,,,,
"323-U1343E-5H-1A, 0-150",323,U1343,E,5,5-1,H,1,A,0,150,36.7,38.2,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,
"323-U1343E-5H-2A, 0-150",323,U1343,E,5,5-2,H,2,A,0,150,38.2,39.7,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,
"323-U1343E-5H-3A, 0-150",323,U1343,E,5,5-3,H,3,A,0,150,39.7,41.2,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,
"323-U1343E-5H-4A, 0-48",323,U1343,E,5,5-4,H,4,A,0,48,41.2,41.68,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,
"323-U1343E-5H-4A, 48-69",323,U1343,E,5,5-4,H,4,A,48,69,41.68,41.89,diatom clayey silt,"Shepard, 1954",foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,10GY 4/1,,,,,laminated with 5Y 4/2 10Y 4/1,,,,,,,
"323-U1343E-5H-4A, 69-100",323,U1343,E,5,5-4,H,4,A,69,100,41.89,42.2,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,
"323-U1343E-5H-5A, 0-59",323,U1343,E,5,5-5,H,5,A,0,59,42.2,42.79,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,
"323-U1343E-5H-CCA, 0-18",323,U1343,E,5,5-CC,H,CC,A,0,18,42.79,42.97,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,
"323-U1343E-6H-1A, 0-75",323,U1343,E,6,6-1,H,1,A,0,75,46.2,46.95,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5Y 5/1,,,,,,,,,,,,
"323-U1343E-6H-1A, 75-116",323,U1343,E,6,6-1,H,1,A,75,116,46.95,47.36,silt [S54],,diatom-rich,diatom-rich silt,100,soft,5Y 3/2,,,,,,,,,,,,
