Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
359-U1471C-1H-1-A,0,42,0,0.42,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-1-A,42,122,0.42,1.22,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-1-A,122,150,1.22,1.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-2-A,0,34,1.5,1.84,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-2-A,34,150,1.84,3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-3-A,0,49,3,3.49,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-3-A,49,51,3.49,3.51,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-3-A,51,150,3.51,4.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-4-A,0,32,4.5,4.82,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-4-A,32,150,4.82,6,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
