Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1423B-1H-1-A,0.0,3.0,0.0,0.03,,silt ,,silt ,,,,,5YR 4/4 (reddish brown),,,,,,,,,,,,,,,,,silt ,silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,1,A
346-U1423B-1H-1-A,3.0,12.0,0.03,0.12,,silty clay ,,silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,1,A
346-U1423B-1H-1-A,12.0,17.0,0.12,0.17,sandy ,tephra ,,sandy  tephra ,,,,,5YR 4/4 (reddish brown),,,,,,,,,,,,,,,,,sandy   tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,1,A
346-U1423B-1H-1-A,17.0,146.0,0.17,1.46,biosiliceous rich,silty clay ,,biosiliceous rich silty clay ,,,,mottling ,5Y 3/2 (dark olive gray),heavy ,3.0,,,,,,,,,,,,,,,biosiliceous rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,1,A
346-U1423B-1H-1-A,146.0,150.0,1.46,1.5,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,layering,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,1,A
346-U1423B-1H-2-A,0.0,56.0,1.5,2.06,,silty clay ,,silty clay ,,,,mottling ,5Y 3/2 (dark olive gray),slight ,1.0,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,2,A
346-U1423B-1H-2-A,56.0,57.0,2.06,2.07,,tephra ,,tephra ,scoria,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,2,A
346-U1423B-1H-2-A,57.0,67.0,2.07,2.17,,silty clay ,,silty clay ,,,,mottling ,5Y 3/2 (dark olive gray),slight ,1.0,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,2,A
346-U1423B-1H-2-A,67.0,70.0,2.17,2.2,,silty clay ,,silty clay ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,2,A
346-U1423B-1H-2-A,70.0,71.0,2.2,2.21,,tephra ,,tephra ,scoria,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,B,1,H,2,A
