Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1496B-1F-1-A,0,12,0.0,0.12,I,,,,curviplanar,scoured,,serpentinite,mud,with foraminifers,serpentinite mud with foraminifers,5PB 3/1 (dark bluish gray),,,clay,1,medium sand,5,"dark bluish black mus, with brown mud intermixed, probably few faraminifera",,,,,,,,,,,,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,1,F,1,A
366-U1496B-1F-1-A,12,40,0.12,0.4,II,,,,,,,serpentinite,mud,,serpentinite mud,10B 3/1 (dark bluish gray),,,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,B,1,F,1,A
366-U1496B-1F-1-A,40,96,0.4,0.96,II,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,B,1,F,1,A
366-U1496B-1F-2-A,0,59,0.96,1.55,IIIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1,very fine sand,3,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,1,F,2,A
366-U1496B-1F-2-A,59,74,1.55,1.7,IIIA,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,B,1,F,2,A
366-U1496B-1F-CC-A,0,23,1.7,1.93,IIIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1,very fine sand,3,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,1,F,CC,A
366-U1496B-2F-1-A,0,31,1.9,2.21,IIIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10BG 7/1 (light greenish gray),,,clay,1,granule,8,,poor,,,,ultramafic rock,1,very fine sand,3,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,2,F,1,A
366-U1496B-2F-1-A,31,87,2.21,2.77,IIIA,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,B,2,F,1,A
366-U1496B-2F-2-A,0,109,2.77,3.86,IIIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1,very fine sand,3,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,2,F,2,A
366-U1496B-2F-CC-A,0,23,3.86,4.09,IIIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1,very fine sand,3,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,2,F,CC,A
366-U1496B-3F-1-A,0,39,6.6,6.99,IIIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,1,very fine sand,3,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,3,F,1,A
366-U1496B-3F-2-A,0,74,6.99,7.73,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,3,very fine sand,3,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,3,F,2,A
366-U1496B-3F-2-A,74,139,7.73,8.38,IIIA,,,,,,,,,,,,,,,,,,"LLOY, MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,B,3,F,2,A
366-U1496B-3F-3-A,0,90,8.38,9.28,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,3,medium sand,5,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,3,F,3,A
366-U1496B-3F-3-A,90,105,9.28,9.43,IIIA,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1496,B,3,F,3,A
366-U1496B-3F-4-A,0,43,9.43,9.86,IIIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 7/1 (light greenish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,2,medium sand,5,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1496,B,3,F,4,A
